Comunidade_ID,Homem,Mulher,Total_Comunidade
0,10,28,38
1,10,8,18
2,24,2,26
3,1,16,17
4,19,17,36
5,6,1,7
6,8,1,9
7,3,18,21
8,9,12,21
9,4,2,6
10,32,6,38
11,35,2,37
12,34,4,38
13,49,14,63
14,31,12,43
15,22,17,39
16,10,2,12
17,16,5,21
18,30,7,37
