Autor,Grau (Centralidade),Gênero
Luis Rivero,0.0488,Homem
Carla Silva,0.0236,Homem
Andrea Charão,0.0236,Mulher
André Du Bois,0.0202,Homem
Luciana Foss,0.0202,Mulher
Christiane G. von Wangenheim,0.0185,Mulher
João Pinheiro,0.0168,Homem
Andre R. Ortoncelli,0.0168,Homem
Lucas F. Silva,0.0168,Homem
Carlos R. Beleti Junior,0.0168,Homem
Dorgival Netto,0.0168,Homem
Daniela Brauner,0.0152,Mulher
Marcos Henrique A. da Silva,0.0135,Homem
Igor N. dos Santos,0.0135,Homem
Aline M. Araújo,0.0135,Mulher
Matheus Maranhão R. Praxedes,0.0135,Homem
Paulo R. P. da Silva,0.0135,Homem
Diego Filipe S. de Lima,0.0135,Homem
Diogo V. Dantas,0.0135,Homem
Bianca Karla A. de S. Melo,0.0135,Mulher
Diego Hoss,0.0135,Homem
Gil Andrade,0.0135,Homem
Matheus Lima M. de Araújo,0.0135,Homem
Elisa de Fátima Andrade Soares,0.0118,Mulher
Katia Salles,0.0118,Mulher
Raimundo Neto,0.0118,Homem
Nathasha Pinto,0.0118,Mulher
Alana Araujo,0.0118,Mulher
Daniel Alves Gomes,0.0118,Homem
Wilton Silva dos Santos Júnior,0.0118,Homem
Fabiano Oliveira,0.0118,Homem
Lígia Maria de Souza Dantas Batista,0.0118,Mulher
Rommel Wladimir de Lima,0.0118,Homem
Álvaro Gabriel Gomes de Oliveira,0.0118,Homem
Daniel Pinto,0.0118,Homem
Giovanna Pavani,0.0118,Mulher
Estephane Mendes,0.0118,Mulher
Julia Godinho,0.0118,Mulher
Janaína Gomide,0.0118,Mulher
Jaelson Castro,0.0118,Homem
Ana Carla Holanda,0.0118,Mulher
André Calisto,0.0118,Homem
Fabiola G. Nakamura,0.0118,Mulher
Luis Galonetti,0.0118,Homem
Paulo Nardi,0.0118,Homem
Rhuan Costa,0.0118,Homem
Murylo Lopes,0.0118,Homem
Giani Petri,0.0118,Mulher
Simone A. C. Cavalheiro,0.0118,Mulher
Renata H. S. Reiser,0.0118,Mulher
Hígor Santos,0.0118,Homem
Marilton S. de Aguiar,0.0118,Homem
Yuri Weisshahn,0.0118,Homem
Clause de Brum Piana,0.0118,Mulher
Ana M. Pernas,0.0118,Mulher
Mayara Santos,0.0118,Mulher
Eduarda Chagas,0.0118,Mulher
Bruno Lima,0.0118,Homem
Fabio Q. B. Silva,0.0118,Homem
