Autor,Grau (Centralidade),Gênero
Rosiane Freitas,0.0445,Mulher
Aleteia Patrícia F. de Araújo,0.0401,Mulher
Silvia Amelia Bim,0.0401,Mulher
Luciana B. Frigo,0.0379,Mulher
Cristiano Maciel,0.0356,Homem
Mirella M. Moro,0.0312,Mulher
Maristela Holanda,0.0312,Mulher
Eliane Pozzebon,0.029,Mulher
Larissa Pessoa,0.0267,Mulher
Giorgia Mattos,0.0267,Mulher
Kalinka Castelo Branco,0.0245,Mulher
Tanara Lauschner,0.0245,Mulher
Vanessa Dantas,0.0223,Mulher
Renata V. de Figueiredo,0.0223,Mulher
Silvia A. Bim,0.02,Mulher
Fernanda Pires,0.02,Mulher
Maria Emília T. Walter,0.02,Mulher
Luciana Salgado,0.02,Mulher
Josilene A. Moreira,0.02,Mulher
Reinaldo B. Braga,0.02,Homem
Clara Marques Bodart,0.0178,Mulher
Marília A. Amaral,0.0178,Mulher
Juliana M. Oliveira dos Santos,0.0178,Mulher
Márcia Gonçalves Oliveira,0.0178,Mulher
Ana Luíza S. Milson,0.0178,Mulher
Julia M. M. Gonçalves,0.0178,Mulher
Marcella D. Ferreira,0.0178,Mulher
Karina Mochetti,0.0178,Mulher
Michele A. Brandão,0.0178,Mulher
Izabela A. Andrade,0.0178,Mulher
Luísa M. Laboissiere,0.0178,Mulher
Indra Matsiendra C. D. Ribeiro,0.0178,Mulher
Daniel H. Dalip,0.0178,Homem
Sunny Kelma Oliveira Miranda,0.0156,Mulher
Ester de Lima Pontes Andrade,0.0156,Mulher
Kamila Almeida Benevides,0.0156,Mulher
Kelly Bianca Araujo Silva,0.0156,Mulher
Eliana Almeida,0.0156,Mulher
Letícia Medeiros,0.0156,Mulher
Natália C. Louzada,0.0156,Mulher
João Bernado,0.0156,Homem
Jean Rangel,0.0156,Homem
Ramayane B. Braga,0.0156,Mulher
Karen da Silva Figueiredo,0.0156,Mulher
Natália de Assis Sousa,0.0156,Mulher
