Autor,Grau (Centralidade),Gênero
Adenauer C. Yamin,0.1173,Homem
Jorge Barbosa,0.0617,Homem
Cláudio Geyer,0.0494,Homem
João Lopes,0.0494,Homem
Denis Rosário,0.0463,Homem
Ana M. Pernas,0.0401,Mulher
Ana Marilza Pernas,0.0401,Mulher
Fabrício A. Silva,0.037,Homem
Andre L. L. Aquino,0.037,Homem
Cristiano A. da Costa,0.0309,Homem
Patrícia Davet,0.0309,Mulher
Rossana M. C. Andrade,0.0309,Mulher
Alexsander V. Canez,0.0278,Homem
Regina Barwaldt,0.0278,Mulher
Gisele M. Simas,0.0278,Mulher
Ricardo N. Rodrigues,0.0278,Homem
Matheus C. Corrêa,0.0278,Homem
Henrique de S. Conceição,0.0278,Homem
Mariana P. Fernandes,0.0278,Mulher
Marlon R. C. Franco,0.0278,Homem
Jônatas D. Fraga,0.0278,Homem
Igor P. Maurell,0.0278,Homem
Gerson Cavalheiro,0.0278,Homem
Erika Rosas,0.0247,Mulher
Augusto V. Neto,0.0247,Homem
Eduardo Grampín,0.0247,Homem
Rodrigo S. Miani,0.0247,Homem
Rafael Gomes,0.0247,Homem
Andre Aquino,0.0247,Homem
Rodrigo da Rosa Righi,0.0247,Homem
Rafael Pasquini,0.0247,Homem
Martín Gutiérrez,0.0247,Homem
