Autor,Grau (Centralidade),Gênero
Adenauer C. Yamin,0.0747,Homem
João Lopes,0.0622,Homem
Thais Batista,0.0622,Mulher
Ana Marilza Pernas,0.0539,Mulher
Leonardo João,0.0498,Homem
Felipe Rocha,0.0415,Homem
Everton Cavalcante,0.0373,Homem
Alan Fernandes,0.0373,Homem
Lucas Xavier,0.0332,Homem
Huberto Kaiser Filho,0.0332,Homem
Patrícia Davet,0.0332,Mulher
Nelsi Warken,0.0332,Mulher
Roger Machado,0.0332,Homem
Rodrigo Souza,0.0332,Homem
Paulo H. A. Pereira,0.0332,Homem
Diego L. Cardoso,0.0332,Homem
Igor W. A. Falcão,0.0332,Homem
Rafael F. Vieira,0.0332,Homem
Bruna Soares,0.029,Mulher
Oswaldo de Oliveira,0.029,Homem
Sâmela Ferreira,0.029,Mulher
Igor M. Pereira,0.029,Homem
Bruno Matias,0.029,Homem
Verônica Tabim,0.029,Mulher
