Autor,Grau (Centralidade),Gênero
Jayme L. Szwarcfiter,0.0586,Homem
Orlando Lee,0.0495,Homem
Flavio Miyazawa,0.045,Homem
Eduardo C. Xavier,0.045,Homem
Rosiane Freitas,0.045,Mulher
Fábio Protti,0.0405,Homem
Rafael C. S. Schoeury,0.0405,Homem
Flávio K. Miyazawa,0.036,Homem
Fabiano Oliveira,0.036,Homem
Ueverton Souza,0.036,Homem
Marcelo Benedito,0.036,Homem
Fábio Botler,0.036,Homem
Diane Castonguay,0.0315,Mulher
Rafael Cano,0.0315,Homem
Ulysses Rocha,0.0315,Homem
Lucas Melo,0.0315,Homem
André Silva,0.0315,Homem
Natanael Ramos,0.0315,Homem
Yoshiharu Kohayakawa,0.0315,Homem
Raul Lopes,0.027,Homem
Paulo E. D. Pinto,0.027,Homem
Fabiano de S. Oliveira,0.027,Homem
