Autor,Grau (Centralidade),Gênero
Vinicius F. dos Santos,0.0309,Homem
Alex Borges Vieira,0.0247,Homem
Anderson Rocha,0.0247,Homem
Marcus Ritt,0.0185,Homem
Marcos André Gonçalves,0.0185,Homem
Marcos Yukio Siraichi,0.0185,Homem
Nelson L. S. da Fonseca,0.0185,Homem
Antonio A. F. Loureiro,0.0185,Homem
Luciana S. Buriol,0.0185,Mulher
Erickson R. Nascimento,0.0185,Homem
Mario F. M. Campos,0.0185,Homem
Caroline Collange,0.0185,Mulher
Fernando Magno Quintão Pereira,0.0185,Homem
André C. P. L. F. de Carvalho,0.0185,Homem
Manuel M. Oliveira,0.0185,Homem
Raphael C. S. Machado,0.0123,Homem
