Autor,Grau (Centralidade),Gênero
Daniel Menasch,0.082,Homem
Francisco Airton Silva,0.0656,Homem
Alex B. Vieira,0.0451,Homem
Paulo A. L. Rego,0.041,Homem
Danielo G. Gomes,0.041,Homem
Iure Fé,0.0328,Homem
Laécio Rodrigues,0.0328,Homem
Philippe O. A. Navaux,0.0328,Homem
Artur Ziviani,0.0328,Homem
Edson L. Padoin,0.0328,Homem
Rodrigo Gandra,0.0287,Homem
André Yokoyama,0.0287,Homem
Vinicius Klõh,0.0287,Homem
Mariza Ferro,0.0287,Mulher
Ricardo Bragança,0.0287,Homem
Andre Bulcão,0.0287,Homem
Gabrieli Silva,0.0287,Mulher
Jairo Panetta,0.0287,Homem
Bruno Schulze,0.0287,Homem
Lucas Mello Schnorr,0.0246,Homem
Carla Delgado,0.0246,Mulher
Italo Cunha,0.0246,Homem
Daniel Figueiredo,0.0246,Homem
Arnaud Legrand,0.0205,Homem
