Autor,Grau (Centralidade),Gênero
Adenauer C. Yamin,0.0171,Homem
Luis Rivero,0.0136,Homem
Rosiane Freitas,0.0136,Mulher
Daniel Menasch,0.0097,Homem
Ana Marilza Pernas,0.0089,Mulher
João Lopes,0.0089,Homem
Ana M. Pernas,0.0078,Mulher
Jorge Barbosa,0.0078,Homem
Leonardo Rocha,0.0074,Homem
Denis Rosário,0.007,Homem
Emanuel Coutinho,0.007,Homem
Thais Batista,0.007,Mulher
Cristiano Maciel,0.007,Homem
Aleteia Patrícia F. de Araújo,0.007,Mulher
Davi Viana,0.007,Homem
Silvia Amelia Bim,0.007,Mulher
Mirella M. Moro,0.0066,Mulher
Carla Silva,0.0066,Homem
Luciana B. Frigo,0.0066,Mulher
Francisco Airton Silva,0.0062,Homem
Cláudio Geyer,0.0062,Homem
Fabiola G. Nakamura,0.0058,Mulher
Reinaldo B. Braga,0.0058,Homem
Danielo G. Gomes,0.0058,Homem
Fabiano Oliveira,0.0058,Homem
Renata Reiser,0.0054,Mulher
Fabrício A. Silva,0.0054,Homem
Patrícia Davet,0.0054,Mulher
Maristela Holanda,0.0054,Mulher
Andrea Charão,0.0054,Mulher
Paulo A. L. Rego,0.0054,Homem
Orlando Lee,0.005,Homem
Anderson Cardoso,0.005,Homem
Rodrigo Pereira dos Santos,0.005,Homem
Luciana Foss,0.005,Mulher
Jayme L. Szwarcfiter,0.005,Homem
Carina Oliveira,0.005,Mulher
Gerson Cavalheiro,0.005,Homem
Eliane Pozzebon,0.005,Mulher
Rodrigo Souza,0.005,Homem
Roger Machado,0.005,Homem
Francisco A. Silva,0.005,Homem
Larissa Pessoa,0.0047,Mulher
Vanessa Dantas,0.0047,Mulher
Josilene A. Moreira,0.0047,Mulher
Giorgia Mattos,0.0047,Mulher
Cristiano A. da Costa,0.0047,Homem
André Du Bois,0.0047,Homem
Rossana M. C. Andrade,0.0047,Mulher
Leonardo João,0.0047,Homem
Andre L. L. Aquino,0.0047,Homem
Silvia A. Bim,0.0047,Mulher
Juliana M. Oliveira dos Santos,0.0043,Mulher
Everton Cavalcante,0.0043,Homem
Claudia Motta,0.0043,Mulher
Tanara Lauschner,0.0043,Mulher
Fernanda Pires,0.0043,Mulher
Alex B. Vieira,0.0043,Homem
Nádia P. Kozievitch,0.0043,Mulher
Kalinka Castelo Branco,0.0043,Mulher
Eduardo Cerqueira,0.0043,Homem
André G. Pereira,0.0043,Homem
Vinicius F. dos Santos,0.0043,Homem
Christiane G. von Wangenheim,0.0043,Mulher
Kalinka Branco,0.0043,Mulher
Rafael C. S. Schoeury,0.0043,Homem
Thaíse Costa,0.0039,Mulher
Felipe Rocha,0.0039,Homem
Dorgival Netto,0.0039,Homem
Renata V. de Figueiredo,0.0039,Mulher
Andre R. Ortoncelli,0.0039,Homem
Heremita Lima,0.0039,Mulher
Flavio Miyazawa,0.0039,Homem
Rafael Escalfoni,0.0039,Homem
Artur Ziviani,0.0039,Homem
Ecivaldo Matos,0.0039,Homem
Carlos R. Beleti Junior,0.0039,Homem
Philippe O. A. Navaux,0.0039,Homem
Cleidson Souza,0.0039,Homem
João Pinheiro,0.0039,Homem
Rodrigo da Rosa Righi,0.0039,Homem
Lucas F. Silva,0.0039,Homem
Eduardo C. Xavier,0.0039,Homem
Tatiana Tavares,0.0035,Mulher
Huberto Kaiser Filho,0.0035,Homem
Karin Komati,0.0035,Mulher
Renato Dilli,0.0035,Homem
Luciana Salgado,0.0035,Mulher
Raquel Bravo,0.0035,Mulher
Maria Emília T. Walter,0.0035,Mulher
Regina Barwaldt,0.0035,Mulher
Rodrigo Santos,0.0035,Homem
Daniela Brauner,0.0035,Mulher
Eliana Almeida,0.0035,Mulher
Sandra Oliveira,0.0035,Homem
Helder Oliveira,0.0035,Homem
Mariana P. Fernandes,0.0035,Mulher
Marlon R. C. Franco,0.0035,Homem
André Silva,0.0035,Homem
Fábio Botler,0.0035,Homem
Henrique de S. Conceição,0.0035,Homem
Ricardo N. Rodrigues,0.0035,Homem
Gisele M. Simas,0.0035,Mulher
Bruno F. Gadelha,0.0035,Homem
Fábio Protti,0.0035,Homem
Lucas Santos,0.0035,Homem
Felipe Assis,0.0035,Homem
Alan Fernandes,0.0035,Homem
Débora Abdalla Santos,0.0035,Mulher
Flavia C. Delicato,0.0035,Mulher
Igor P. Maurell,0.0035,Homem
Jônatas D. Fraga,0.0035,Homem
Andre Aquino,0.0035,Homem
Matheus C. Corrêa,0.0035,Homem
Alexsander V. Canez,0.0035,Homem
Indra Matsiendra C. D. Ribeiro,0.0031,Mulher
Ana Flávia C. Moura,0.0031,Mulher
Marcelo Benedito,0.0031,Homem
Matheus Maranhão R. Praxedes,0.0031,Homem
Daniel H. Dalip,0.0031,Homem
Márcia Oliveira,0.0031,Mulher
Izabela A. Andrade,0.0031,Mulher
Marília A. Amaral,0.0031,Mulher
Gil Andrade,0.0031,Homem
Diego Hoss,0.0031,Homem
Bianca Karla A. de S. Melo,0.0031,Mulher
Diego Filipe S. de Lima,0.0031,Homem
Diogo V. Dantas,0.0031,Homem
Igor N. dos Santos,0.0031,Homem
Ecivaldo de Souza Matos,0.0031,Homem
Matheus Lima M. de Araújo,0.0031,Homem
Marcos Henrique A. da Silva,0.0031,Homem
Aline M. Araújo,0.0031,Mulher
Iure Fé,0.0031,Homem
Nelsi Warken,0.0031,Mulher
Paulo R. P. da Silva,0.0031,Homem
Ueverton Souza,0.0031,Homem
Rita C. G. Berardi,0.0031,Mulher
Joel J. P. C. Rodrigues,0.0031,Homem
Rafael Gomes,0.0031,Homem
Luísa M. Laboissiere,0.0031,Mulher
Marcella D. Ferreira,0.0031,Mulher
Simone A. C. Cavalheiro,0.0031,Mulher
Julia M. M. Gonçalves,0.0031,Mulher
Rhayane S. Monteiro,0.0031,Mulher
Flávio K. Miyazawa,0.0031,Homem
Laécio Rodrigues,0.0031,Homem
Erika Rosas,0.0031,Mulher
Javier Baliosian,0.0031,Homem
Martín Gutiérrez,0.0031,Homem
Paulo H. A. Pereira,0.0031,Homem
Rafael F. Vieira,0.0031,Homem
Eduardo Grampín,0.0031,Homem
Michele A. Brandão,0.0031,Mulher
Paulo R. Coelho,0.0031,Homem
Augusto V. Neto,0.0031,Homem
Rafael Pasquini,0.0031,Homem
Rodrigo S. Miani,0.0031,Homem
Igor W. A. Falcão,0.0031,Homem
Diego L. Cardoso,0.0031,Homem
Clara Marques Bodart,0.0031,Mulher
Italo Cunha,0.0031,Homem
Edson L. Padoin,0.0031,Homem
Márcia Gonçalves Oliveira,0.0031,Mulher
Nicolás Hidalgo,0.0031,Homem
Marcela Pessoa,0.0031,Mulher
Diórgenes Y. L. da Rosa,0.0031,Homem
Alexandre Wolf,0.0031,Homem
Thalia S. Santana,0.0031,Mulher
Ricardo Almeida,0.0031,Homem
João C. P. da Silva,0.0031,Homem
Ana Luíza S. Milson,0.0031,Mulher
Karina Mochetti,0.0031,Mulher
Leonardo Moreira,0.0031,Homem
Lucas Xavier,0.0031,Homem
Tainã Carvalho,0.0031,Mulher
Julia Luiza da Conceição,0.0027,Mulher
Natália C. Louzada,0.0027,Mulher
Claiton Correa,0.0027,Homem
Verônica Tabim,0.0027,Mulher
Aline Vieira de Mello,0.0027,Mulher
Hígor Santos,0.0027,Homem
André Pinheiro,0.0027,Homem
Andre Bulcão,0.0027,Homem
Karen da Silva Figueiredo,0.0027,Mulher
Jerffeson Souza,0.0027,Homem
Natália de Assis Sousa,0.0027,Mulher
Sunny Kelma Oliveira Miranda,0.0027,Mulher
Natanael Ramos,0.0027,Homem
Rafael Cano,0.0027,Homem
Ester de Lima Pontes Andrade,0.0027,Mulher
Kamila Almeida Benevides,0.0027,Mulher
Kelly Bianca Araujo Silva,0.0027,Mulher
Letícia Medeiros,0.0027,Mulher
Luana Júlia Nunes Ferreira,0.0027,Mulher
Yuri Weisshahn,0.0027,Homem
Lucas Melo,0.0027,Homem
Janaína Gomide,0.0027,Mulher
Julia Godinho,0.0027,Mulher
Ana Carla Holanda,0.0027,Mulher
André Calisto,0.0027,Homem
Fabio Q. B. Silva,0.0027,Homem
Heitor Costa,0.0027,Homem
Helena Cristina Bastos,0.0027,Mulher
Jaelson Castro,0.0027,Homem
Mayara Santos,0.0027,Mulher
José Neuman de Souza,0.0027,Homem
Karla Pereira,0.0027,Mulher
Ulysses Rocha,0.0027,Homem
Nathasha Pinto,0.0027,Mulher
Raimundo Neto,0.0027,Homem
Diane Castonguay,0.0027,Mulher
Igor M. Pereira,0.0027,Homem
Ricardo A. R. Oliveira,0.0027,Homem
Jairo Panetta,0.0027,Homem
Vicente J. P. Amorim,0.0027,Homem
Rhuan Costa,0.0027,Homem
César D. Silva,0.0027,Homem
Luis Galonetti,0.0027,Homem
Wilton Silva dos Santos Júnior,0.0027,Homem
Álvaro Gabriel Gomes de Oliveira,0.0027,Homem
Fernando Mourão,0.0027,Homem
Clause de Brum Piana,0.0027,Mulher
Marilton S. de Aguiar,0.0027,Homem
Renata H. S. Reiser,0.0027,Mulher
Kennedy Nunes,0.0027,Homem
Ricardo Anchieta,0.0027,Homem
Tercio Sousa,0.0027,Homem
Alexandre Aragão,0.0027,Homem
Ariel Teles,0.0027,Homem
Arlindo da Conceição,0.0027,Homem
Lucas Brangança,0.0027,Homem
Luiz F. M. Vieira,0.0027,Homem
Marcos A. M. Vieira,0.0027,Homem
Thales T. Almeida,0.0027,Homem
Francisco Lima,0.0027,Homem
Rafael Antônio,0.0027,Homem
Jose G. R. Júnior,0.0027,Homem
José A. M. Nacif,0.0027,Homem
Raquel Frizera Vassallo,0.0027,Mulher
Luis Silva,0.0027,Homem
Alexandre Pereira do Carmo,0.0027,Homem
Felippe Mendonça de Queiroz,0.0027,Homem
Simara Rocha,0.0027,Mulher
Daniel Alves Gomes,0.0027,Homem
Giovana Lorena Costa de Andrade,0.0027,Mulher
Leonardo Bandeira de Lucena,0.0027,Homem
Lígia Maria de Souza Dantas Batista,0.0027,Mulher
Rommel Wladimir de Lima,0.0027,Homem
Nubia Rosa da Silva,0.0027,Mulher
André Yokoyama,0.0027,Homem
Bruno Schulze,0.0027,Homem
Gabrieli Silva,0.0027,Mulher
Ricardo Bragança,0.0027,Homem
Rodrigo Gandra,0.0027,Homem
Vinicius Klõh,0.0027,Homem
Yoshiharu Kohayakawa,0.0027,Homem
