Autor1,Autor2,Evento
Jessica Viana,Melissa Zanatta,ENCompIF
André Oliveira,Fernanda Campos,SEMISH
André Oliveira,Lucas Bressan,SEMISH
André Oliveira,Regina Braga,SEMISH
Fernanda Campos,Lucas Bressan,SEMISH
Fernanda Campos,Regina Braga,SEMISH
Lucas Bressan,Regina Braga,SEMISH
Jorge Barbosa,Rodrigo Bavaresco,SBCUP
Luiza S. Pontello,Mário W. Pereira,WEI
Carlos A. Silva,Gabriel A. D. Miranda,ENCompIF
Carlos A. Silva,Gustavo Y. S. Azevedo,ENCompIF
Carlos A. Silva,Lillia S. B. Silva,ENCompIF
Carlos A. Silva,Matheus S. Garofolo,ENCompIF
Gabriel A. D. Miranda,Gustavo Y. S. Azevedo,ENCompIF
Gabriel A. D. Miranda,Lillia S. B. Silva,ENCompIF
Gabriel A. D. Miranda,Matheus S. Garofolo,ENCompIF
Gustavo Y. S. Azevedo,Lillia S. B. Silva,ENCompIF
Gustavo Y. S. Azevedo,Matheus S. Garofolo,ENCompIF
Lillia S. B. Silva,Matheus S. Garofolo,ENCompIF
Fabíola Pantoja O. Araújo,Rebeca Hilda Furtado Costa,WIT
Fabíola Pantoja O. Araújo,Sara das Mercês Silva,WIT
Rebeca Hilda Furtado Costa,Sara das Mercês Silva,WIT
Andreu Carminati,Bruno Dourado Miranda,WPerformance
Andreu Carminati,Romulo Silva de Oliveira,WPerformance
Bruno Dourado Miranda,Romulo Silva de Oliveira,WPerformance
Alex Vieira,Francisco Airton Silva,WPerformance
Alex Vieira,Glauber Dias Gonçalves,WPerformance
Alex Vieira,Jussara Almeida,WPerformance
Alex Vieira,Samuel de Oliveira Ribeiro,WPerformance
Francisco Airton Silva,Glauber Dias Gonçalves,WPerformance
Francisco Airton Silva,Jussara Almeida,WPerformance
Francisco Airton Silva,Samuel de Oliveira Ribeiro,WPerformance
Glauber Dias Gonçalves,Jussara Almeida,WPerformance
Glauber Dias Gonçalves,Samuel de Oliveira Ribeiro,WPerformance
Jussara Almeida,Samuel de Oliveira Ribeiro,WPerformance
Beatriz A. de Miranda,Ivyna R. S. Alves,WIT
Beatriz A. de Miranda,Lívia M. R. S. Campos,WIT
Beatriz A. de Miranda,Marcella M. S. C. de Almeida,WIT
Ivyna R. S. Alves,Lívia M. R. S. Campos,WIT
Ivyna R. S. Alves,Marcella M. S. C. de Almeida,WIT
Lívia M. R. S. Campos,Marcella M. S. C. de Almeida,WIT
Carolina Aguilar,Gisele Marinho,WIT
Carolina Aguilar,Simone Fagundes,WIT
Gisele Marinho,Simone Fagundes,WIT
Inácio G. Medeiros,Soraya R. S. Medeiros,WIT
Anelise Lemke Kologeski,Natália Bernardo Nunes,ENCompIF
André Pereira,Eduardo Souto,WEI
André Pereira,Leandro Carvalho,WEI
Eduardo Souto,Leandro Carvalho,WEI
Hugo Kuribayashi,Isaac Barros,WPerformance
Hugo Kuribayashi,João Barbosa,WPerformance
Hugo Kuribayashi,João Carmona,WPerformance
Hugo Kuribayashi,Warley Junior,WPerformance
Hugo Kuribayashi,Wendel Serra,WPerformance
Isaac Barros,João Barbosa,WPerformance
Isaac Barros,João Carmona,WPerformance
Isaac Barros,Warley Junior,WPerformance
Isaac Barros,Wendel Serra,WPerformance
João Barbosa,João Carmona,WPerformance
João Barbosa,Warley Junior,WPerformance
João Barbosa,Wendel Serra,WPerformance
João Carmona,Warley Junior,WPerformance
João Carmona,Wendel Serra,WPerformance
Warley Junior,Wendel Serra,WPerformance
Edson Midorikawa,Felipe V. de Almeida,WPerformance
Edson Midorikawa,Liria M. Sato,WPerformance
Edson Midorikawa,Tatiana T. Torres,WPerformance
Felipe V. de Almeida,Liria M. Sato,WPerformance
Felipe V. de Almeida,Tatiana T. Torres,WPerformance
Liria M. Sato,Tatiana T. Torres,WPerformance
Daniel Menasch,Leandro P. de Aguiar,WPerformance
Daniel Menasch,Matheus Martins,WPerformance
Daniel Menasch,Miguel A. Bicudo,WPerformance
Leandro P. de Aguiar,Matheus Martins,WPerformance
Leandro P. de Aguiar,Miguel A. Bicudo,WPerformance
Matheus Martins,Miguel A. Bicudo,WPerformance
Diego Carvalho,Leonardo Rocha,CTIC
Diego Carvalho,Nícollas Silva,CTIC
Diego Carvalho,Tiago Trotta,CTIC
Leonardo Rocha,Nícollas Silva,CTIC
Leonardo Rocha,Tiago Trotta,CTIC
Nícollas Silva,Tiago Trotta,CTIC
Alan Xavier,Denis Carvalho,ENCompIF
Alan Xavier,Fábio Martins,ENCompIF
Alan Xavier,Ricardo Pimentel,ENCompIF
Denis Carvalho,Fábio Martins,ENCompIF
Denis Carvalho,Ricardo Pimentel,ENCompIF
Fábio Martins,Ricardo Pimentel,ENCompIF
Adenauer Yamin,Bruno Mota,SBCUP
Adenauer Yamin,Jorge Barbosa,SBCUP
Adenauer Yamin,João Tavares,SBCUP
Adenauer Yamin,Rodrigo Real,SBCUP
Bruno Mota,Jorge Barbosa,SBCUP
Bruno Mota,João Tavares,SBCUP
Bruno Mota,Rodrigo Real,SBCUP
Jorge Barbosa,João Tavares,SBCUP
Jorge Barbosa,Rodrigo Real,SBCUP
João Tavares,Rodrigo Real,SBCUP
Glácio S. Araújo,Joel J. P. C. Rodrigues,SBCUP
Glácio S. Araújo,Mário W. L. Moreira,SBCUP
Glácio S. Araújo,Rhayane S. Monteiro,SBCUP
Glácio S. Araújo,Victor Hugo C. de Albuquerque,SBCUP
Joel J. P. C. Rodrigues,Mário W. L. Moreira,SBCUP
Joel J. P. C. Rodrigues,Rhayane S. Monteiro,SBCUP
Joel J. P. C. Rodrigues,Victor Hugo C. de Albuquerque,SBCUP
Mário W. L. Moreira,Rhayane S. Monteiro,SBCUP
Mário W. L. Moreira,Victor Hugo C. de Albuquerque,SBCUP
Rhayane S. Monteiro,Victor Hugo C. de Albuquerque,SBCUP
Douglas Cordeiro,Maicon Lima,ETC
Douglas Cordeiro,Melque Henrique Castro,ETC
Douglas Cordeiro,Nubia Rosa da Silva,ETC
Douglas Cordeiro,Thiago Leite,ETC
Maicon Lima,Melque Henrique Castro,ETC
Maicon Lima,Nubia Rosa da Silva,ETC
Maicon Lima,Thiago Leite,ETC
Melque Henrique Castro,Nubia Rosa da Silva,ETC
Melque Henrique Castro,Thiago Leite,ETC
Nubia Rosa da Silva,Thiago Leite,ETC
Anderson Passos de Aragão,João Victor da Costa,ENCompIF
Eduardo C. Almeida,Erick Takeshi Moraes,SEMISH
Eduardo C. Almeida,Larissa Mukuno,SEMISH
Eduardo C. Almeida,Rafael Mansur Haddad,SEMISH
Erick Takeshi Moraes,Larissa Mukuno,SEMISH
Erick Takeshi Moraes,Rafael Mansur Haddad,SEMISH
Larissa Mukuno,Rafael Mansur Haddad,SEMISH
Manuel Iori,Vítor Gomes Chagas,ETC
Hiran Ferreira,Tiago Cherchiglia,ENCompIF
Hiran Ferreira,Vinícius Alves Silva,ENCompIF
Tiago Cherchiglia,Vinícius Alves Silva,ENCompIF
Rosiane Freitas,Simone Gama,ETC
Rosiane Freitas,Ueverton Souza,ETC
Simone Gama,Ueverton Souza,ETC
Allan Veras,Bruno Merlin,WEI
Allan Veras,Heleno Fülber,WEI
Allan Veras,João Ferreira,WEI
Allan Veras,Leonardo Zamprogno,WEI
Bruno Merlin,Heleno Fülber,WEI
Bruno Merlin,João Ferreira,WEI
Bruno Merlin,Leonardo Zamprogno,WEI
Heleno Fülber,João Ferreira,WEI
Heleno Fülber,Leonardo Zamprogno,WEI
João Ferreira,Leonardo Zamprogno,WEI
Fernando Magno Quintão Pereira,Gleison Souza Diniz Mendonça,CTD
Christiane G. von Wangenheim,Matheus A. Pereira,WEI
Christiane G. von Wangenheim,Nathalia da Cruz Alves,WEI
Matheus A. Pereira,Nathalia da Cruz Alves,WEI
Claudomiro Sales,Reginaldo Santos,WEI
Claudomiro Sales,Renan Cunha,WEI
Reginaldo Santos,Renan Cunha,WEI
Eloi Favero,João Santos,WEI
Felipe A. L. Soares,Henrique C. Freitas,WPerformance
Felipe A. L. Soares,Humberto T. Marques-Neto,WPerformance
Felipe A. L. Soares,Tiago B. Silveira,WPerformance
Henrique C. Freitas,Humberto T. Marques-Neto,WPerformance
Henrique C. Freitas,Tiago B. Silveira,WPerformance
Humberto T. Marques-Neto,Tiago B. Silveira,WPerformance
Larissa F. S. Britto,Luciano D. S. Pacífico,CTIC
Larissa F. S. Britto,Teresa B. Ludermir,CTIC
Luciano D. S. Pacífico,Teresa B. Ludermir,CTIC
Alessandra Martins Coelho,Luiza Rosa de Moura,ENCompIF
Alessandra Martins Coelho,Matheus de Freitas Oliveira Baffa,ENCompIF
Luiza Rosa de Moura,Matheus de Freitas Oliveira Baffa,ENCompIF
David Menotti,Rayson Laroca,CTD
Lucas Moreira e Silva Alves,Marcos Henrique Alves da Silva,SEMISH
Lucas Moreira e Silva Alves,Rostand Edson Oliveira Costa,SEMISH
Lucas Moreira e Silva Alves,Samuel de Moura Moreira,SEMISH
Lucas Moreira e Silva Alves,Tiago Maritan Ugulino de Araújo,SEMISH
Marcos Henrique Alves da Silva,Rostand Edson Oliveira Costa,SEMISH
Marcos Henrique Alves da Silva,Samuel de Moura Moreira,SEMISH
Marcos Henrique Alves da Silva,Tiago Maritan Ugulino de Araújo,SEMISH
Rostand Edson Oliveira Costa,Samuel de Moura Moreira,SEMISH
Rostand Edson Oliveira Costa,Tiago Maritan Ugulino de Araújo,SEMISH
Samuel de Moura Moreira,Tiago Maritan Ugulino de Araújo,SEMISH
Carlos Brito,Francisco Airton Silva,WPerformance
Carlos Brito,Guto Leoni,WPerformance
Carlos Brito,Iure Fé,WPerformance
Carlos Brito,Laécio Rodrigues,WPerformance
Francisco Airton Silva,Guto Leoni,WPerformance
Francisco Airton Silva,Iure Fé,WPerformance
Francisco Airton Silva,Laécio Rodrigues,WPerformance
Guto Leoni,Iure Fé,WPerformance
Guto Leoni,Laécio Rodrigues,WPerformance
Iure Fé,Laécio Rodrigues,WPerformance
Brena Santos,Daniel Carvalho,WPerformance
Brena Santos,Francisco Airton Silva,WPerformance
Brena Santos,Iure Fé,WPerformance
Daniel Carvalho,Francisco Airton Silva,WPerformance
Daniel Carvalho,Iure Fé,WPerformance
Francisco Airton Silva,Iure Fé,WPerformance
Francisco Airton Silva,Paulo Henrique Rocha,WPerformance
Cesar A. C. Marcondes,Diego F. Pedroso,WPerformance
Cesar A. C. Marcondes,Emerson R. A. Barea,WPerformance
Cesar A. C. Marcondes,Hermes Senger,WPerformance
Diego F. Pedroso,Emerson R. A. Barea,WPerformance
Diego F. Pedroso,Hermes Senger,WPerformance
Emerson R. A. Barea,Hermes Senger,WPerformance
Alex B. Vieira,Edelberto Franco,WPerformance
Alex B. Vieira,Frederico O. Sales,WPerformance
Edelberto Franco,Frederico O. Sales,WPerformance
Giorgia O. Mattos,Josilene A. Moreira,WIT
Giorgia O. Mattos,Laura L. A. O. Campos,WIT
Giorgia O. Mattos,Luyza E. D. Nascimento,WIT
Giorgia O. Mattos,Maria L. M. Calixto,WIT
Giorgia O. Mattos,Tiago E. S. Araujo,WIT
Giorgia O. Mattos,Vanessa G. L. Pessoa,WIT
Josilene A. Moreira,Laura L. A. O. Campos,WIT
Josilene A. Moreira,Luyza E. D. Nascimento,WIT
Josilene A. Moreira,Maria L. M. Calixto,WIT
Josilene A. Moreira,Tiago E. S. Araujo,WIT
Josilene A. Moreira,Vanessa G. L. Pessoa,WIT
Laura L. A. O. Campos,Luyza E. D. Nascimento,WIT
Laura L. A. O. Campos,Maria L. M. Calixto,WIT
Laura L. A. O. Campos,Tiago E. S. Araujo,WIT
Laura L. A. O. Campos,Vanessa G. L. Pessoa,WIT
Luyza E. D. Nascimento,Maria L. M. Calixto,WIT
Luyza E. D. Nascimento,Tiago E. S. Araujo,WIT
Luyza E. D. Nascimento,Vanessa G. L. Pessoa,WIT
Maria L. M. Calixto,Tiago E. S. Araujo,WIT
Maria L. M. Calixto,Vanessa G. L. Pessoa,WIT
Tiago E. S. Araujo,Vanessa G. L. Pessoa,WIT
Carlo Rodrigues,Vladimir Rocha,WPerformance
Matheus Guedes,Vinicius F. dos Santos,ETC
Maria Dayane Almeida Araújo,Rhyan Ximenes de Brito,ENCompIF
Aleteia P. F. Araujo,Ana Júlia L. Briceño,WIT
Aleteia P. F. Araujo,Ana Sofia S. Silvestre,WIT
Aleteia P. F. Araujo,Bianca P. Castro,WIT
Aleteia P. F. Araujo,Carla Cavalcante Koike,WIT
Aleteia P. F. Araujo,Carla D. Castanho,WIT
Aleteia P. F. Araujo,Maristela Holanda,WIT
Aleteia P. F. Araujo,Roberta B. Oliveira,WIT
Aleteia P. F. Araujo,Tais A. Oliveira,WIT
Aleteia P. F. Araujo,Thamires P. Silva,WIT
Ana Júlia L. Briceño,Ana Sofia S. Silvestre,WIT
Ana Júlia L. Briceño,Bianca P. Castro,WIT
Ana Júlia L. Briceño,Carla Cavalcante Koike,WIT
Ana Júlia L. Briceño,Carla D. Castanho,WIT
Ana Júlia L. Briceño,Maristela Holanda,WIT
Ana Júlia L. Briceño,Roberta B. Oliveira,WIT
Ana Júlia L. Briceño,Tais A. Oliveira,WIT
Ana Júlia L. Briceño,Thamires P. Silva,WIT
Ana Sofia S. Silvestre,Bianca P. Castro,WIT
Ana Sofia S. Silvestre,Carla Cavalcante Koike,WIT
Ana Sofia S. Silvestre,Carla D. Castanho,WIT
Ana Sofia S. Silvestre,Maristela Holanda,WIT
Ana Sofia S. Silvestre,Roberta B. Oliveira,WIT
Ana Sofia S. Silvestre,Tais A. Oliveira,WIT
Ana Sofia S. Silvestre,Thamires P. Silva,WIT
Bianca P. Castro,Carla Cavalcante Koike,WIT
Bianca P. Castro,Carla D. Castanho,WIT
Bianca P. Castro,Maristela Holanda,WIT
Bianca P. Castro,Roberta B. Oliveira,WIT
Bianca P. Castro,Tais A. Oliveira,WIT
Bianca P. Castro,Thamires P. Silva,WIT
Carla Cavalcante Koike,Carla D. Castanho,WIT
Carla Cavalcante Koike,Maristela Holanda,WIT
Carla Cavalcante Koike,Roberta B. Oliveira,WIT
Carla Cavalcante Koike,Tais A. Oliveira,WIT
Carla Cavalcante Koike,Thamires P. Silva,WIT
Carla D. Castanho,Maristela Holanda,WIT
Carla D. Castanho,Roberta B. Oliveira,WIT
Carla D. Castanho,Tais A. Oliveira,WIT
Carla D. Castanho,Thamires P. Silva,WIT
Maristela Holanda,Roberta B. Oliveira,WIT
Maristela Holanda,Tais A. Oliveira,WIT
Maristela Holanda,Thamires P. Silva,WIT
Roberta B. Oliveira,Tais A. Oliveira,WIT
Roberta B. Oliveira,Thamires P. Silva,WIT
Tais A. Oliveira,Thamires P. Silva,WIT
Filipe Arantes Fernandes,Loham Santos da Silva,WEI
Filipe Arantes Fernandes,Otacílio José Pereira,WEI
Filipe Arantes Fernandes,Rossini Pena Abrantes,WEI
Loham Santos da Silva,Otacílio José Pereira,WEI
Loham Santos da Silva,Rossini Pena Abrantes,WEI
Otacílio José Pereira,Rossini Pena Abrantes,WEI
Leonardo Gargano,Lucas Couto,WASHES
Leonardo Gargano,Marcelo Fornazin,WASHES
Lucas Couto,Marcelo Fornazin,WASHES
Carmen Vera Scorsatto Brezolin,Milene Selbach Silveira,WEI
Eduardo F. Nakamura,Fabíola G. Nakamura,SEMISH
Eduardo F. Nakamura,João Reis,SEMISH
Fabíola G. Nakamura,João Reis,SEMISH
Maria Andréia Formico Rodrigues,Ygor Rebouças Serpa,CTD
Ana Bacelo,Cristina Nunes,WIT
Ana Bacelo,Milene Silveira,WIT
Cristina Nunes,Milene Silveira,WIT
Laura Sánchez García,Ludmilla Fernandes Oliveira Galvão,WEI
Laura Sánchez García,Tanya Amara Felipe,WEI
Ludmilla Fernandes Oliveira Galvão,Tanya Amara Felipe,WEI
Braz Araujo da Silva Junior,Luciana Foss,WEI
Braz Araujo da Silva Junior,Simone André da Costa Cavalheiro,WEI
Luciana Foss,Simone André da Costa Cavalheiro,WEI
Daniel Figueiredo,Rafael G. Damasceno,WPerformance
Andreia Gentil Bonfante,Claudia Aparecida Martins,SEMISH
Andreia Gentil Bonfante,Henrique Camacho Farias,SEMISH
Claudia Aparecida Martins,Henrique Camacho Farias,SEMISH
Eduardo C. Almeida,Paulo R. L. de Almeida,SEMISH
Ana Karolina Maia,Cláudia Linhares Sales,ETC
Ana Karolina Maia,Cláudio Carvalho,ETC
Ana Karolina Maia,Jonas Costa,ETC
Ana Karolina Maia,Nicolas Nisse,ETC
Ana Karolina Maia,Raul Lopes,ETC
Cláudia Linhares Sales,Cláudio Carvalho,ETC
Cláudia Linhares Sales,Jonas Costa,ETC
Cláudia Linhares Sales,Nicolas Nisse,ETC
Cláudia Linhares Sales,Raul Lopes,ETC
Cláudio Carvalho,Jonas Costa,ETC
Cláudio Carvalho,Nicolas Nisse,ETC
Cláudio Carvalho,Raul Lopes,ETC
Jonas Costa,Nicolas Nisse,ETC
Jonas Costa,Raul Lopes,ETC
Nicolas Nisse,Raul Lopes,ETC
Daniel Figueiredo,Ronald Souza,WPerformance
Gustavo M. D. Vieira,William B. Mingardi,WPerformance
Daniel Ratton Figueiredo,Franklin de L. Marquezino,CTD
Daniel Ratton Figueiredo,Matheus Guedes de Andrade,CTD
Franklin de L. Marquezino,Matheus Guedes de Andrade,CTD
Amanda Vilas Boas Oliveira,Felipe de Melo Santos,WIT
Amanda Vilas Boas Oliveira,Guilherme Gonçalves da Silva,WIT
Amanda Vilas Boas Oliveira,Lucas Almeida Silva,WIT
Amanda Vilas Boas Oliveira,Queilane da Conceição Rocha,WIT
Amanda Vilas Boas Oliveira,Yasmin Solrac Ribeiro dos Santos,WIT
Amanda Vilas Boas Oliveira,Érica Pereira Machado,WIT
Felipe de Melo Santos,Guilherme Gonçalves da Silva,WIT
Felipe de Melo Santos,Lucas Almeida Silva,WIT
Felipe de Melo Santos,Queilane da Conceição Rocha,WIT
Felipe de Melo Santos,Yasmin Solrac Ribeiro dos Santos,WIT
Felipe de Melo Santos,Érica Pereira Machado,WIT
Guilherme Gonçalves da Silva,Lucas Almeida Silva,WIT
Guilherme Gonçalves da Silva,Queilane da Conceição Rocha,WIT
Guilherme Gonçalves da Silva,Yasmin Solrac Ribeiro dos Santos,WIT
Guilherme Gonçalves da Silva,Érica Pereira Machado,WIT
Lucas Almeida Silva,Queilane da Conceição Rocha,WIT
Lucas Almeida Silva,Yasmin Solrac Ribeiro dos Santos,WIT
Lucas Almeida Silva,Érica Pereira Machado,WIT
Queilane da Conceição Rocha,Yasmin Solrac Ribeiro dos Santos,WIT
Queilane da Conceição Rocha,Érica Pereira Machado,WIT
Yasmin Solrac Ribeiro dos Santos,Érica Pereira Machado,WIT
Acacia Terra,Braulio Mello,SEMISH
Acacia Terra,Edimar Roque Martello Junior,SEMISH
Acacia Terra,Ricardo Parizotto,SEMISH
Braulio Mello,Edimar Roque Martello Junior,SEMISH
Braulio Mello,Ricardo Parizotto,SEMISH
Edimar Roque Martello Junior,Ricardo Parizotto,SEMISH
Christian Reis Fagundes Gomes,Felipe Augusto Resende Viegas,CTIC
Christian Reis Fagundes Gomes,Leonardo Chaves Dutra da Rocha,CTIC
Christian Reis Fagundes Gomes,Washington Luiz Miranda da Cunha,CTIC
Felipe Augusto Resende Viegas,Leonardo Chaves Dutra da Rocha,CTIC
Felipe Augusto Resende Viegas,Washington Luiz Miranda da Cunha,CTIC
Leonardo Chaves Dutra da Rocha,Washington Luiz Miranda da Cunha,CTIC
Carina T. de Oliveira,Daniel Victor Saraiva,WEI
Carina T. de Oliveira,Reinaldo B. Braga,WEI
Carina T. de Oliveira,Silas S. L. Pereira,WEI
Daniel Victor Saraiva,Reinaldo B. Braga,WEI
Daniel Victor Saraiva,Silas S. L. Pereira,WEI
Reinaldo B. Braga,Silas S. L. Pereira,WEI
Bruno N. M. S. Conte,Roberto C. L. de Oliveira,SEMISH
Bruno N. M. S. Conte,Thiago N.M. S. Conte,SEMISH
Roberto C. L. de Oliveira,Thiago N.M. S. Conte,SEMISH
Javier Guillot Jiménez,Luiz André P. Paes Leme,SEMISH
Javier Guillot Jiménez,Marco A. Casanova,SEMISH
Luiz André P. Paes Leme,Marco A. Casanova,SEMISH
Ayla Rebouças,Géssica Alves,WEI
Edvar Afonso L. Filho,Miguel Elias M. Campista,WPerformance
Débora Guerra de S. Guinati,Renata Luiza da Costa,WIT
Débora Guerra de S. Guinati,Stéfany de Castro Souza,WIT
Renata Luiza da Costa,Stéfany de Castro Souza,WIT
Antônio Alberti,Cristiano A. da Costa,SBCUP
Antônio Alberti,Emiliano S. Monteiro,SBCUP
Antônio Alberti,Maria Eloisa Mignoni,SBCUP
Antônio Alberti,Rafael Kunst,SBCUP
Antônio Alberti,Rodrigo R. Righi,SBCUP
Cristiano A. da Costa,Emiliano S. Monteiro,SBCUP
Cristiano A. da Costa,Maria Eloisa Mignoni,SBCUP
Cristiano A. da Costa,Rafael Kunst,SBCUP
Cristiano A. da Costa,Rodrigo R. Righi,SBCUP
Emiliano S. Monteiro,Maria Eloisa Mignoni,SBCUP
Emiliano S. Monteiro,Rafael Kunst,SBCUP
Emiliano S. Monteiro,Rodrigo R. Righi,SBCUP
Maria Eloisa Mignoni,Rafael Kunst,SBCUP
Maria Eloisa Mignoni,Rodrigo R. Righi,SBCUP
Rafael Kunst,Rodrigo R. Righi,SBCUP
Denis Rosário,Eduardo Cerqueira,SBCUP
Denis Rosário,Gilmar Moraes,SBCUP
Denis Rosário,Helder Oliveira,SBCUP
Eduardo Cerqueira,Gilmar Moraes,SBCUP
Eduardo Cerqueira,Helder Oliveira,SBCUP
Gilmar Moraes,Helder Oliveira,SBCUP
Bruno O. Goulart,Carolina Xavier,ENCompIF
Bruno O. Goulart,João Gabriel R. Silva,ENCompIF
Bruno O. Goulart,Maria Júlia M. Schettini,ENCompIF
Bruno O. Goulart,Samuel O. Silva,ENCompIF
Carolina Xavier,João Gabriel R. Silva,ENCompIF
Carolina Xavier,Maria Júlia M. Schettini,ENCompIF
Carolina Xavier,Samuel O. Silva,ENCompIF
João Gabriel R. Silva,Maria Júlia M. Schettini,ENCompIF
João Gabriel R. Silva,Samuel O. Silva,ENCompIF
Maria Júlia M. Schettini,Samuel O. Silva,ENCompIF
Cleyton Souza,Elaine Santos,WEI
Cleyton Souza,Tamires Rocha,WEI
Cleyton Souza,Vilson Júnior,WEI
Elaine Santos,Tamires Rocha,WEI
Elaine Santos,Vilson Júnior,WEI
Tamires Rocha,Vilson Júnior,WEI
Geber Lisboa Ramalho,Rodrigo Pessoa Medeiros,WEI
Geber Lisboa Ramalho,Taciana Pontual Falcão,WEI
Rodrigo Pessoa Medeiros,Taciana Pontual Falcão,WEI
Bruno de Carvalho Albertini,Vivian Kimie Isuyama,WPerformance
Karin Komati,Rosana Jesus,ENCompIF
Karin Komati,Sérgio Nery Simões,ENCompIF
Rosana Jesus,Sérgio Nery Simões,ENCompIF
Jefferson Andrade,Jonathan R. da Silva,ENCompIF
Jefferson Andrade,Karin S. Komati,ENCompIF
Jefferson Andrade,Leandro C. Resendo,ENCompIF
Jonathan R. da Silva,Karin S. Komati,ENCompIF
Jonathan R. da Silva,Leandro C. Resendo,ENCompIF
Karin S. Komati,Leandro C. Resendo,ENCompIF
Ana Paula Lüdtke Ferreira,Márcia Maria Lucchese,WIT
Arthur F. Ramos,Ruy J. G. B. de Queiroz,ETC
Cristiane Jorge L. Bonfim,Luisa S. Ferreira,ENCompIF
Cristiane Jorge L. Bonfim,Sylvana Karla S. L. Santos,ENCompIF
Luisa S. Ferreira,Sylvana Karla S. L. Santos,ENCompIF
Aline Silva De Bona,Natália Bernardo Nunes,ENCompIF
Adão Caron Cambraia,Lucas Tadeu Hinterholz,WEI
Adão Caron Cambraia,Wilk Oliveira,WEI
Lucas Tadeu Hinterholz,Wilk Oliveira,WEI
Bianca Santana,Luis Araújo,WEI
Bianca Santana,Roberto Bittencourt,WEI
Luis Araújo,Roberto Bittencourt,WEI
Emmerson S. Rita,Jucimar B. Souza,ENCompIF
Emmerson S. Rita,Marcelo C. Machado,ENCompIF
Emmerson S. Rita,Pedro Pequeno,ENCompIF
Jucimar B. Souza,Marcelo C. Machado,ENCompIF
Jucimar B. Souza,Pedro Pequeno,ENCompIF
Marcelo C. Machado,Pedro Pequeno,ENCompIF
Cristiana Bentes,Lúcia Maria de A. Drummond,CTD
Cristiana Bentes,Pablo Carvalho,CTD
Lúcia Maria de A. Drummond,Pablo Carvalho,CTD
Bruno P. Masquio,Jayme L. Szwarcfiter,ETC
Bruno P. Masquio,Paulo E. D. Pinto,ETC
Jayme L. Szwarcfiter,Paulo E. D. Pinto,ETC
Deógenes Silva Junior,Roberto Pereira,WASHES
Antônio Alberti,Karine Costa,SBCUP
Antônio Alberti,Tibério Rezende,SBCUP
Antônio Alberti,Victor D'Ávila,SBCUP
Karine Costa,Tibério Rezende,SBCUP
Karine Costa,Victor D'Ávila,SBCUP
Tibério Rezende,Victor D'Ávila,SBCUP
Romulo Oliveira,Vitor Ponciano,ETC
Larissa F. S. Britto,Luciano D. S. Pacífico,SEMISH
Larissa F. S. Britto,Teresa B. Ludermir,SEMISH
Luciano D. S. Pacífico,Teresa B. Ludermir,SEMISH
Fernanda Pires,Luiz Alencar,WEI
Fernanda Pires,Marcela Pessoa,WEI
Luiz Alencar,Marcela Pessoa,WEI
Ligia Cristina Battezzati,Mateus Santos,WIT
Ligia Cristina Battezzati,Matheus Mattos de Almeida Cruz,WIT
Ligia Cristina Battezzati,Rita C. G. Berardi,WIT
Ligia Cristina Battezzati,Sílvia Amélia Bim,WIT
Mateus Santos,Matheus Mattos de Almeida Cruz,WIT
Mateus Santos,Rita C. G. Berardi,WIT
Mateus Santos,Sílvia Amélia Bim,WIT
Matheus Mattos de Almeida Cruz,Rita C. G. Berardi,WIT
Matheus Mattos de Almeida Cruz,Sílvia Amélia Bim,WIT
Rita C. G. Berardi,Sílvia Amélia Bim,WIT
Alexandre Rocha,Denis Rosário,SBCUP
Alexandre Rocha,Francisco da Ponte,SBCUP
Alexandre Rocha,Gabriel Galdino,SBCUP
Alexandre Rocha,Joaquim Celestino Jr,SBCUP
Alexandre Rocha,Rafael Gomes,SBCUP
Denis Rosário,Francisco da Ponte,SBCUP
Denis Rosário,Gabriel Galdino,SBCUP
Denis Rosário,Joaquim Celestino Jr,SBCUP
Denis Rosário,Rafael Gomes,SBCUP
Francisco da Ponte,Gabriel Galdino,SBCUP
Francisco da Ponte,Joaquim Celestino Jr,SBCUP
Francisco da Ponte,Rafael Gomes,SBCUP
Gabriel Galdino,Joaquim Celestino Jr,SBCUP
Gabriel Galdino,Rafael Gomes,SBCUP
Joaquim Celestino Jr,Rafael Gomes,SBCUP
Greice P. Dal Molin,Nina N. Zahn,SEMISH
Greice P. Dal Molin,Soraia R. Musse,SEMISH
Nina N. Zahn,Soraia R. Musse,SEMISH
Dorgival da Silva Pereira Netto,Francesco Pagani Galvão,ENCompIF
Dorgival da Silva Pereira Netto,Luiz Felipe de Souza Jimenez,ENCompIF
Dorgival da Silva Pereira Netto,Renan Augusto Monteiro Duarte,ENCompIF
Francesco Pagani Galvão,Luiz Felipe de Souza Jimenez,ENCompIF
Francesco Pagani Galvão,Renan Augusto Monteiro Duarte,ENCompIF
Luiz Felipe de Souza Jimenez,Renan Augusto Monteiro Duarte,ENCompIF
Eduardo P. M. Câmara Júnior,Luiz F. M. Vieira,CTD
Eduardo P. M. Câmara Júnior,Marcos A. M. Vieira,CTD
Luiz F. M. Vieira,Marcos A. M. Vieira,CTD
Andre Aquino,Israel Vasconcelos,CTIC
Daniel L. Ferrão,Heider Marconi G. Madureira,SEMISH
Daniel L. Ferrão,Marcos B. Hervé,SEMISH
Daniel L. Ferrão,Murilo P. Pessatti,SEMISH
