Autor_Canonico,Sigla
Guilherme O. Aguiar,ENCompIF
Miguel A. Pezzin Silva,ENCompIF
João Gabriel R. Silva,ENCompIF
Luciano Leite da Silva,ENCompIF
Danyllo W. Albuquerque,ENCompIF
Lara Gabrielly C. Rocha,ENCompIF
Danyllo W. Albuquerque,ENCompIF
Girleide Silva,ENCompIF
Priscylla Silva,ENCompIF
Leonardo A. Silva,ENCompIF
Vinícius Maciel Chaves,ENCompIF
Maria Laura Pezzin Silva,ENCompIF
Felipe Orlando Brum,ENCompIF
João Gabriel R. Silva,ENCompIF
Gustavo Rodrigues,ENCompIF
Carlos A. Silva,ENCompIF
Luan Crisostomo Pinto,ENCompIF
Maria Luiza Rodrigues Defante,ENCompIF
Rodrigo Lacerda da Silva,ENCompIF
Douglas I. R. B. Braga,ENCompIF
Cristina K. Dominicini,ENCompIF
Jefferson Andrade,ENCompIF
Rodolfo G. M. de Andrade,ENCompIF
Karin Komati,ENCompIF
Paulo Ribeiro Lins Júnior,ENCompIF
Lílian Honorio Teixeira,ENCompIF
