Autor,Grau (Centralidade),Gênero
Adenauer C. Yamin,0.0671,Homem
Thais Batista,0.0549,Mulher
Everton Cavalcante,0.0396,Homem
João Lopes,0.0366,Homem
Adenauer Correa Yamin,0.0335,Homem
Felipe Rocha,0.0305,Homem
Aluizio Rocha Neto,0.0305,Homem
Denis Rosário,0.0305,Homem
Ana Marilza Pernas,0.0274,Mulher
Alan Fernandes,0.0274,Homem
Renata Hax Sander Reiser,0.0274,Mulher
Jorge Barbosa,0.0274,Homem
Igor W. A. Falcão,0.0244,Homem
Rafael F. Vieira,0.0244,Homem
Paulo H. A. Pereira,0.0244,Homem
Diego L. Cardoso,0.0244,Homem
Roger Machado,0.0244,Homem
Marcelino S. da Silva,0.0244,Homem
Fábio J. Coutinho,0.0213,Homem
Rebeca de Jesus Brandão,0.0213,Mulher
Samuel Lucas V. L. Barbosa,0.0213,Homem
Rogério Albandes,0.0213,Homem
Leonardo João,0.0213,Homem
Verônica Tabim,0.0213,Mulher
Sâmela Ferreira,0.0213,Mulher
Oswaldo de Oliveira,0.0213,Homem
John Davi D. C. Pires,0.0213,Homem
Victor Accete,0.0213,Homem
Dayvson Sales,0.0213,Homem
Cleidson Souza,0.0213,Homem
Wagner Fontes,0.0213,Homem
Bruno Matias,0.0213,Homem
