Autor,Grau (Centralidade),Gênero
Jayme L. Szwarcfiter,0.0826,Homem
Fábio Botler,0.0609,Homem
Vinicius F. Santos,0.0478,Homem
Fabiano Oliveira,0.0478,Homem
Alexandre Cezar,0.0391,Homem
Rosiane Freitas,0.0348,Mulher
Guilherme Mota,0.0348,Homem
Diana Sasaki,0.0348,Mulher
Ana Silva,0.0348,Mulher
Ueverton Souza,0.0348,Homem
Ana Karolina Maia,0.0304,Mulher
Mário César San Felice,0.0304,Homem
Rafael C. S. Schoeury,0.0304,Homem
Flávio K. Miyazawa,0.0304,Homem
Vinicius Fernandes dos Santos,0.0261,Homem
Carla N. Lintzmayer,0.0261,Mulher
Manoel Campêlo,0.0261,Homem
Raul Lopes,0.0261,Homem
Paulo E. D. Pinto,0.0261,Homem
Lucas Colucci,0.0261,Homem
Cláudia Linhares Sales,0.0261,Mulher
Celina M. H. de Figueiredo,0.0261,Mulher
Nicolas Nisse,0.0217,Homem
