Autor,Grau (Centralidade),Gênero
Adenauer C. Yamin,0.1218,Homem
Denis Rosário,0.1107,Homem
Eduardo Cerqueira,0.0738,Homem
Fabrício A. Silva,0.0554,Homem
Augusto Neto,0.0554,Homem
Cristiano A. da Costa,0.0517,Homem
Jorge Barbosa,0.048,Homem
Helder Oliveira,0.048,Homem
Rafael Gomes,0.0406,Mulher
Andre L. L. Aquino,0.0406,Homem
Thais R. M. B. Silva,0.0406,Mulher
Felipe Araújo,0.0332,Homem
Joel J. P. C. Rodrigues,0.0295,Homem
Andre Aquino,0.0295,Homem
Erika Rosas,0.0295,Mulher
Paulo R. Coelho,0.0295,Homem
Javier Baliosian,0.0295,Homem
Rodrigo S. Miani,0.0295,Homem
Cláudio Geyer,0.0295,Homem
Ana Pernas,0.0295,Mulher
Rodrigo R. Righi,0.0295,Homem
Eduardo Grampín,0.0295,Homem
Martín Gutiérrez,0.0295,Homem
Rafael Pasquini,0.0295,Homem
Nicolás Hidalgo,0.0295,Homem
Antônio Alberti,0.0295,Homem
Raquel Frizera Vassallo,0.0258,Mulher
