Autor,Grau (Centralidade),Gênero
Maristela Holanda,0.0525,Mulher
Carla Castanho,0.0417,Mulher
Roberta B. Oliveira,0.0399,Mulher
Cristiano Maciel,0.0362,Homem
Mirella M. Moro,0.0362,Mulher
Rosiane Freitas,0.0326,Mulher
Elisa Rocha,0.0308,Mulher
Larissa Pessoa,0.0272,Mulher
Silvia Amelia Bim,0.0272,Mulher
Aleteia P. F. Araujo,0.0254,Mulher
Tanara Lauschner,0.0254,Mulher
Carla Cavalcante Koike,0.0254,Mulher
Flávia Villela,0.0236,Mulher
Kalinka Castelo Branco,0.0236,Mulher
Lilian Giselly Pereira Santos,0.0236,Mulher
Francisco Campos,0.0236,Homem
Milena Estanislau,0.0236,Mulher
Letícia Gindri,0.0236,Mulher
Laura Emmanuella de Oliveira,0.0236,Mulher
Júlia Marotti,0.0236,Mulher
Janaina Gomide,0.0236,Mulher
Tabatta Martins,0.0236,Mulher
Valeria Nunes Belmonte,0.0236,Mulher
Julia Godinho,0.0236,Mulher
Denise Siloto,0.0236,Mulher
Camila Laricchia,0.0236,Mulher
Beatriz Becker,0.0236,Mulher
Gabriel SantClair,0.0236,Homem
Claudia Santos Fernandes,0.0217,Mulher
Giovanna Mara Paes Franco,0.0217,Mulher
Luana Arfux de Castro Nogueira,0.0217,Mulher
Maria Eduarda Alves Barbosa,0.0217,Mulher
Marta Luzzi,0.0217,Mulher
Marcia Ferreira Cristaldo,0.0217,Mulher
Amanda Raynara Quintana Theodoro,0.0217,Mulher
Ariadne Nicoly Mori de Paula,0.0217,Mulher
Bianca Fernandes Ribas,0.0217,Mulher
Alice Barbosa do Couto,0.0217,Mulher
Amanda Meincke Melo,0.0217,Mulher
Nayara Arruda Cunha,0.0217,Mulher
Diane Rosa da Silva,0.0217,Mulher
Clara Scatena da Silva,0.0217,Mulher
Maria Victoria S. Fiori,0.0217,Mulher
Aleteia Araujo,0.0217,Mulher
Carla Koike,0.0217,Mulher
Giorgia Mattos,0.0217,Mulher
Alice Lima,0.0199,Mulher
Anna Beatriz Marques,0.0199,Mulher
Luciana Bolan Frigo,0.0199,Mulher
Bruna Mariana F. de Souza,0.0181,Mulher
Natália de Assis Sousa,0.0181,Mulher
Ester de Lima Pontes Andrade,0.0181,Mulher
Alice Borges,0.0181,Mulher
Marina da S. Rocha,0.0181,Mulher
Kelly Bianca Araujo Silva,0.0181,Mulher
