Autor,Grau (Centralidade),Gênero
João Gabriel R. Silva,0.0426,Homem
Karin Komati,0.0271,Mulher
Letícia C. T. Nascimento,0.0271,Mulher
Pedro H. O. Souza,0.0271,Homem
Isabele B. Prates,0.0271,Mulher
Gabriel C. Carrara,0.0271,Homem
Ana Luisa D. Almeida,0.0271,Mulher
Claiton Correa,0.0271,Homem
André Peres,0.0271,Homem
Fábio Yoshimitsu Okuyama,0.0271,Homem
Fernanda Nunes Deitos,0.0271,Mulher
Lilian Stavizki,0.0271,Mulher
Silvia de Castro Bertagnolli,0.0271,Mulher
Márcia Häfele Islabão Franco,0.0271,Mulher
Marlon Carvalho Mariano,0.0271,Homem
Marcelo Augusto Rauh Schimitt,0.0271,Homem
Carlos A. Silva,0.0271,Homem
Renato C. Cani,0.0271,Homem
Thiago R. Almeida,0.0271,Homem
Matheus Lorenzato Braga,0.0271,Homem
Victor Martins de Sousa,0.0271,Homem
Robson Gonçalves Fechine Feitosa,0.0233,Homem
Igor de A. Lima,0.0233,Homem
Mateus H. S. Ferraz,0.0233,Homem
Letícia Hümmelgen,0.0233,Mulher
