Autor,Grau (Centralidade),Gênero
Francisco Airton Silva,0.0851,Homem
Daniel Menasch,0.0596,Homem
Alex B. Vieira,0.0468,Homem
Ermeson Andrade,0.0383,Homem
Laécio Rodrigues,0.034,Homem
Iure Fé,0.034,Homem
Gabriel Alves,0.0298,Homem
Paulo A. L. Rego,0.0298,Homem
Daniel de Oliveira,0.0255,Homem
Edson L. Padoin,0.0255,Homem
Italo Cunha,0.0255,Homem
Lucas Mello Schnorr,0.0255,Homem
Daniel Figueiredo,0.0255,Homem
Philippe O. A. Navaux,0.0255,Homem
Júlio Mendonça,0.0255,Homem
Luka Stanisic,0.0213,Homem
Vinicius Garcia Pinto,0.0213,Homem
Samuel Thibault,0.0213,Homem
Leandro P. de Aguiar,0.0213,Homem
Renato M. de Moraes,0.0213,Homem
Daniel R. F. Bonetti,0.0213,Homem
Gesiel Rios Lopes,0.0213,Homem
Vincent Danjean,0.0213,Homem
