Autor,Grau (Centralidade),Gênero
Leonardo Rocha,0.1319,Homem
Nícollas Silva,0.0549,Homem
Ariadne Costa,0.044,Mulher
Rafael Silva Del Lama,0.044,Homem
Raquel Mariana Candido,0.044,Mulher
Renato Tinos,0.044,Homem
Cândida Nunes da Silva,0.044,Mulher
Luciana Trento Raineri,0.044,Mulher
Orlando Lee,0.044,Homem
