Autor,Grau (Centralidade),Gênero
Luis Rivero,0.0605,Homem
Geraldo Braz Junior,0.0279,Homem
Luciana Foss,0.0202,Mulher
Nathasha Pinto,0.0186,Mulher
Alana Araujo,0.0186,Mulher
Reinaldo B. Braga,0.0186,Homem
Christiane G. von Wangenheim,0.0186,Mulher
Carlos R. Beleti Junior,0.0186,Homem
Gabriel Costa,0.0186,Homem
Kennedy Nunes,0.0186,Homem
Simara Rocha,0.0186,Mulher
Edson OliveiraJr,0.0171,Homem
Davi Viana,0.0171,Homem
Felipe Silva,0.0171,Homem
Thelma E. Colanzi,0.0171,Mulher
Brenno Nascimento,0.0171,Homem
João Pinheiro,0.0155,Homem
Taciana Pontual Falcão,0.0155,Mulher
Carlos Portela,0.0155,Homem
Wladimir Araújo Tavares,0.014,Homem
Carina Oliveira,0.014,Mulher
Andrea Charão,0.014,Mulher
Juliana M. Oliveira dos Santos,0.014,Mulher
Simone R. S. Souza,0.014,Mulher
Rafael Santos,0.0124,Homem
Gil Andrade,0.0124,Homem
Simone Cavalheiro,0.0124,Mulher
Andre Du Bois,0.0124,Homem
Diego Hoss,0.0124,Homem
Ecivaldo de Souza Matos,0.0124,Homem
Lucas Silva,0.0124,Homem
Clause Piana,0.0124,Mulher
Ana Rita Mazzini,0.0124,Mulher
Renata Reiser,0.0124,Mulher
Wilton Silva dos Santos Júnior,0.0109,Homem
Daniel Alves Gomes,0.0109,Homem
Giovana Lorena Costa de Andrade,0.0109,Mulher
Fabiano Oliveira,0.0109,Homem
Lígia Maria de Souza Dantas Batista,0.0109,Mulher
Leonardo Bandeira de Lucena,0.0109,Homem
Álvaro Gabriel Gomes de Oliveira,0.0109,Homem
Elisa de Fátima Andrade Soares,0.0109,Mulher
Karla Silva,0.0109,Mulher
Giovanna Pavani,0.0109,Mulher
Estephane Mendes,0.0109,Mulher
Sandra Oliveira,0.0109,Homem
Wilk Oliveira,0.0109,Homem
Carlos A. Silva,0.0109,Homem
Katia Salles,0.0109,Mulher
Raimundo Neto,0.0109,Homem
Maikon Costa,0.0109,Homem
Valdemir de Queiroz Neto,0.0109,Homem
Antonio J. R. Castro,0.0109,Homem
Esdras Bispo Jr.,0.0109,Homem
Ricardo Anchieta,0.0109,Homem
Daniel Pinto,0.0109,Homem
Anselmo Paiva,0.0109,Homem
Italo Dovera,0.0109,Homem
Adriana Nogueira,0.0109,Mulher
Rafael Gomes,0.0109,Mulher
Matheus Bessa,0.0109,Homem
Giovanna Bettin,0.0109,Mulher
Gislaine C. L. Leal,0.0109,Mulher
Julio B. Herculani,0.0109,Homem
