Nome_Original,Nome_Canonico
Adenauer Yamin,Adenauer C. Yamin
Adrielle Veras de Almeida,Adrianne Veras de Almeida
Adriano H. Braga,Adriano Braga
Alana Araújo,Alana Araujo
Aline Marques de Morais,Alana Marques de Morais
Aletéia Patrícia F. Araújo,Aleteia Patrícia F. de Araújo
Aletéia Patrícia. F. de Araujo,Aleteia Patrícia F. de Araújo
Alex Vieira,Alex B. Vieira
Luiz Alexandre Costa,Alexandre Costa
Alexandre Lopes,Alexandre F. Lopes
Ana Flávia S. A. Moura,Ana Flávia C. Moura
Ana Karolinna Maia,Ana Karolina Maia
Ana Luíza S. Milson,Ana Luísa S. Milson
Ana Pernas,Ana M. Pernas
André Aquino,Andre Aquino
André Du Bois,Andre Du Bois
André L. L. Aquino,Andre L. L. Aquino
André R. Ortoncelli,Andre R. Ortoncelli
Andrea S. Charão,Andrea Charão
André Pereira,André G. Pereira
Andréa Pereira,André G. Pereira
André Luiz P. Guedes,André L. P. Guedes
Anna Raquel da S. Marinho,Anna Raquel S. Marinho
Artur Souza,Arthur Souza
Bianca Santana,Bianca L. Santana
Bruno C. da Silva,Bruna A. da Silva
Bruna Mariana Souza,Bruna Mariana F. de Souza
Bruno P. Masquio,Bruno Masquio
Bruno P. Oliveira,Bruno Oliveira
Carina T. Oliveira,Carina Oliveira
Carla D. Castanho,Carla Castanho
Carla Negri Lintzmayer,Carla N. Lintzmayer
Carlo Rodrigues,Carla Rodriguez
Mauro Oliveira,Carlo Oliveira
Carlos Silva,Carlos A. Silva
Carlos Roberto Beleti Junior,Carlos R. Beleti Junior
Christiane Gresse von Wangenheim,Christiane G. von Wangenheim
Claudson F. Bornstein,Claudson Bornstein
Cleidson de Souza,Cleidson Souza
Cristiano André da Costa,Cristiano A. da Costa
Cristina G. Fernandes,Cristina Fernandes
Cristopher G. S. Freitas,Cristopher Freitas
César Silva,César D. Silva
César da Silva,César D. Silva
Daniel R. Figueiredo,Daniel Figueiredo
Daniel Menasché,Daniel Menasch
Daniel S. Menasché,Daniel Menasch
Denis do Rosário,Denis Rosário
Ecivaldo S. Matos,Ecivaldo Matos
Eduardo Oliveira,Edgar Oliveira
Edmilson Barbalho Campos Neto,Edmilson Barbalho C. Neto
Edson Luiz Padoin,Edson L. Padoin
Edson T. Midorikawa,Edson Midorikawa
Eduardo Alves da Silva,Eduardo A. da Silva
Gil Eduardo Andrade,Eduardo Andrade
Eduardo C. de Almeida,Eduardo C. Almeida
Eduardo Xavier,Eduardo C. Xavier
Eduardo Teixeira,Eduardo H. Teixeira
Eliana S. Almeida,Eliana Almeida
Elma Rocha,Elisa Rocha
Emanuel F. Coutinho,Emanuel Coutinho
Esdras L. Bispo Jr.,Esdras Bispo Jr.
Welverton da Silva,Everton da Silva
Ewerton R. Andrade,Ewerton Andrade
Fabiano S. Oliveira,Fabiano Oliveira
Fábio Oliveira,Fabiano Oliveira
Fabiano de Souza Oliveira,Fabiano de S. Oliveira
Flavio Rangel,Fabio Rangel
Fabiola Guerra Nakamura,Fabiola G. Nakamura
Fabíola G. Nakamura,Fabiola G. Nakamura
Fabíola Nakamura,Fabiola G. Nakamura
Fabrício Silva,Fabrício A. Silva
Felipe S. Abrahão,Felipe Abrahão
Filipe Fernandes,Filipe C. Fernandes
Flávia C. Delicato,Flavia C. Delicato
Flávio Miyazawa,Flavio Miyazawa
Flávio Keidi Miyazawa,Flávio K. Miyazawa
Franciny M. Barreto,Franciny Barreto
Francisco J. M. Silva,Francisco A. Silva
Francisco Silva,Francisco A. Silva
Franklin de Lima Marquezino,Franklin de L. Marquezino
Gabrieli Silva,Gabriel G. Silva
Geraldo Braz Júnior,Geraldo Braz Junior
Hiran Ferreira,Giana Ferreira
Poliana Ferreira,Giana Ferreira
Giorgia O. Mattos,Giorgia Mattos
Gulherme Andrade,Guilherme Andrade
Heremita Lira,Heremita Lima
Igor Santos,Hígor Santos
Igor W. S. Falcão,Igor W. A. Falcão
Israel Vasconcelos,Israel L. C. Vasconcelos
Ítalo Cunha,Italo Cunha
Ivaldir de Farias Junior,Ivaldir H. de Farias Junior
Janaína Gomide,Janaina Gomide
Janáına Gomide,Janaina Gomide
Jayme Luiz Szwarcfiter,Jayme L. Szwarcfiter
Jayme Szwarcfiter,Jayme L. Szwarcfiter
Jefferson O. Andrade,Jefferson Andrade
Jonnhy Marques,Johnny Marques
José Augusto Fabris,José Augusto Fabri
José Luís Güntzel,José Luís A. Güntzel
João Gabriel Silva,João Gabriel R. Silva
João Paulo P. Gomes,João P. P. Gomes
Juan G. Colonna,Juan Colonna
Jucimar Souza,Jucimar B. Souza
Júlia Luiza Conceição,Julia Luiza da Conceição
Juliana Maria Oliveira dos Santos,Juliana M. Oliveira dos Santos
Kalinka C. Branco,Kalinka Branco
Karina Branco,Kalinka Branco
Karina Castelo Branco,Kalinka Castelo Branco
Karin S. Komati,Karin Komati
Kelly Bianca Araújo Silva,Kelly Bianca Araujo Silva
Luciana Gomes,Lana Gomes
Lauana Maria C. de Oliveira,Lauana M. C. de Oliveira
Leonardo O. Moreira,Leonardo Moreira
Leonardo S. Rocha,Leonardo Rocha
Leonardo Silva,Leonardo S. Silva
Liria Sato,Liria M. Sato
Lucas Silva,Lucas F. Silva
Lucas de Araújo,Lucas Mudo de Araújo
Luis Santos,Lucas Santos
Marcelino Silva da Silva,Marcelino S. da Silva
Marcia Kniphoff da Cruz,Marcia E. J. Kniphoff da Cruz
Marcos C. da R. Seruffo,Marcos C. R. Seruffo
Marcos Henrique Alves da Silva,Marcos Henrique A. da Silva
Maria Cecília Calani Baranauskas,Maria Cecilia Calani Baranauskas
Maria Victoria Soares Fiori,Maria Victoria S. Fiori
Maria Victória Fiori,Maria Victoria S. Fiori
Marina da Silva Rocha,Marina da S. Rocha
Murilo Souza,Marlo Souza
Maurício M. Arimoto,Maurício Arimoto
Maurício Neto,Maurício M. Neto
Michelle G. Cacais,Michelle Cacais
Mirella Moro,Mirella M. Moro
Moysés Sampaio Jr,Moysés S. Sampaio Jr.
Moysés Sampaio Jr.,Moysés S. Sampaio Jr.
Márcia Gonçalves de Oliveira,Márcia Gonçalves Oliveira
Natasha Malveira Costa Valentim,Natasha Malveira C. Valentim
Natália Louzada,Natália C. Louzada
Natália do C. Louzada,Natália C. Louzada
Núbia Rosa da Silva,Nubia Rosa da Silva
Osvaldo Rosso,Osvaldo A. Rosso
Otacílio Pereira,Otacílio José Pereira
Patrícia Araújo-de-Oliveira,Patrícia Araújo de Oliveira
Rafael C. S. Schouery,Rafael C. S. Schoeury
Rafael Gauna Trindade,Rafael G. Trindade
Rafael L. Gomes,Rafael Gomes
Ramayane Braga,Ramayane B. Braga
Ronaldo Santos,Reginaldo Santos
Reinaldo Braga,Reinaldo B. Braga
Renata Viegas de Figueiredo,Renata V. de Figueiredo
Rhayane da S. Monteiro,Rhayane S. Monteiro
Ricardo dos Santos,Ricardo R. Santos
Ricardo de Souza,Ricardo Souza
Robertino Mendes Santiago Junior,Robertino M. Santiago Junior
Roberto Bittencourt,Roberto A. Bittencourt
Roberto Colistete Júnior,Roberto Colistete Junior
Rodrigo da R. Righi,Rodrigo R. Righi
Rodrigo de S. Couto,Rodrigo S. Couto
Roger S. Machado,Roger Machado
Rômulo Silva de Oliveira,Romulo Silva de Oliveira
Ronney Moreira de Castro,Ronney Moreira Castro
Rosiane de Freitas,Rosiane Freitas
Sandro Oliveira,Sandra Oliveira
Sara M. Silva ,Sara M. Silva
Sheila M. de Almeida,Sheila M. Almeida
Silvia Bim,Silvia A. Bim
Silvia Amélia Bim,Silvia Amelia Bim
Sílvia Amélia Bim,Silvia Amelia Bim
Sônia Regina Fortes da Silva,Sônia R. Fortes da Silva
Taciana Pontual Falcão,Taciana Pontual Falcão
Tanilson Santos,Tanilson D. Santos
