Nome_Original,Nome_Canonico
Adenauer Yamin,Adenauer C. Yamin
Adenauer Corrêa Yamin,Adenauer Correa Yamin
Adrielle Veras de Almeida,Adrianne Veras de Almeida
Adriano H. Braga,Adriano Braga
Amanda Rodrigues,Alan Rodrigues
Alana Araújo,Alana Araujo
Aline Marques de Morais,Alana Marques de Morais
Aletéia Patrícia F. Araújo,Aleteia Patrícia F. de Araújo
Aletéia Patrícia. F. de Araujo,Aleteia Patrícia F. de Araújo
Alex Vieira,Alex B. Vieira
Luiz Alexandre Costa,Alexandre Costa
Alexandre Lopes,Alexandre F. Lopes
Alice F. Barbosa,Alice Barbosa
Alice Finger,Alice F. Finger
Aluízio Rocha Neto,Aluizio Rocha Neto
Ana Beatriz da S. Martins,Ana Beatriz S. Matias
Ana Flávia S. A. Moura,Ana Flávia C. Moura
Ana Karolinna Maia,Ana Karolina Maia
Ana Luíza S. Milson,Ana Luísa S. Milson
André Aquino,Andre Aquino
André Du Bois,Andre Du Bois
André L. L. Aquino,Andre L. L. Aquino
Andrea S. Charão,Andrea Charão
André Pereira,André G. Pereira
Andréa Pereira,André G. Pereira
Anna Raquel da S. Marinho,Anna Raquel S. Marinho
Ariany M. Almeida Maia,Ariany Almeida Maia
Augusto V. Neto,Augusto Neto
Bianca Santana,Bianca L. Santana
Bruno C. da Silva,Bruna A. da Silva
Bruna Mariana Souza,Bruna Mariana F. de Souza
Bruno P. Masquio,Bruno Masquio
Bruno Moura,Bruno Mota
Bruno P. Oliveira,Bruno Oliveira
Carina T. Oliveira,Carina Oliveira
Carla D. Castanho,Carla Castanho
Carla Negri Lintzmayer,Carla N. Lintzmayer
Carlo Rodrigues,Carla Rodriguez
Mauro Oliveira,Carlo Oliveira
Carlos Silva,Carlos A. Silva
Carlos Roberto Beleti Junior,Carlos R. Beleti Junior
Christiane Gresse von Wangenheim,Christiane G. von Wangenheim
Claudson F. Bornstein,Claudson Bornstein
Cleidson de Souza,Cleidson Souza
Cristiane Targa,Cristiane N. Targa
Cristiano André da Costa,Cristiano A. da Costa
Cristina G. Fernandes,Cristina Fernandes
Cristopher G. S. Freitas,Cristopher Freitas
Daniel R. Figueiredo,Daniel Figueiredo
Daniel Menasché,Daniel Menasch
Daniel S. Menasché,Daniel Menasch
Denis do Rosário,Denis Rosário
Denise H. Goya,Denise Goya
Dilma da Silva,Dilma Da Silva
Eduardo Oliveira,Edgar Oliveira
Edson Luiz Padoin,Edson L. Padoin
Edson T. Midorikawa,Edson Midorikawa
Eduardo Alves da Silva,Eduardo A. da Silva
Eduardo C. de Almeida,Eduardo C. Almeida
Eduardo H. Gomes,Eduardo G. Gomes
Eduardo Teixeira,Eduardo H. Teixeira
Eliana S. Almeida,Eliana Almeida
Elma Rocha,Elisa Rocha
Emanuel F. Coutinho,Emanuel Coutinho
Esdras L. Bispo Jr.,Esdras Bispo Jr.
Fabiano S. Oliveira,Fabiano Oliveira
Fábio Oliveira,Fabiano Oliveira
Fabrício Silva,Fabrício A. Silva
Fabíola Nakamura,Fabíola G. Nakamura
Felipe S. Abrahão,Felipe Abrahão
Filipe Fernandes,Filipe C. Fernandes
Flávia C. Delicato,Flavia C. Delicato
Flávio Keidi Miyazawa,Flávio K. Miyazawa
Franciny M. Barreto,Franciny Barreto
Francisco J. M. Silva,Francisco A. Silva
Francisco Silva,Francisco A. Silva
Franklin de Lima Marquezino,Franklin de L. Marquezino
Fábio H. Botler,Fábio Botler
Fábio V. Martinez,Fábio H. V. Martinez
Gabriel W. A. Silva,Gabriel G. Silva
Geraldo Braz Júnior,Geraldo Braz Junior
Giorgia O. Mattos,Giorgia Mattos
Gulherme Andrade,Guilherme Andrade
Guilherme O. Mota,Guilherme Mota
Hígor Santos,Hugo Santos
Igor W. S. Falcão,Igor W. A. Falcão
Israel Vasconcelos,Israel L. C. Vasconcelos
Janaína Gomide,Janaina Gomide
Jayme Luiz Szwarcfiter,Jayme L. Szwarcfiter
Jayme Szwarcfiter,Jayme L. Szwarcfiter
Jefferson O. Andrade,Jefferson Andrade
Jonnhy Marques,Johnny Marques
Josivaldo de S. Araújo,Josivaldo S. Araújo
José Augusto Fabris,José Augusto Fabri
João Gabriel Silva,João Gabriel R. Silva
João Paulo P. Gomes,João P. P. Gomes
Júlia Luiza Conceição,Julia Luiza da Conceição
Juliana Maria Oliveira dos Santos,Juliana M. Oliveira dos Santos
Kalinka C. Branco,Kalinka Branco
Karina Branco,Kalinka Branco
Karina Castelo Branco,Kalinka Castelo Branco
Karin S. Komati,Karin Komati
Kelly Bianca Araújo Silva,Kelly Bianca Araujo Silva
Luciana Gomes,Lana Gomes
Lauana Maria C. de Oliveira,Lauana M. C. de Oliveira
Leonardo S. Silva,Leonardo A. Silva
Leonardo Silva,Leonardo A. Silva
Leonardo O. Moreira,Leonardo Moreira
Liria Sato,Liria M. Sato
Luis Santos,Lucas Santos
Luis Silva,Lucas Silva
Luís Henrique M. K. Costa,Luis Henrique M. K. Costa
Marcelino Silva da Silva,Marcelino S. da Silva
Marcos C. da R. Seruffo,Marcos C. R. Seruffo
Maria Cecília Calani Baranauskas,Maria Cecilia Calani Baranauskas
Maria Victoria Soares Fiori,Maria Victoria S. Fiori
Maria Victória Fiori,Maria Victoria S. Fiori
Marina da Silva Rocha,Marina da S. Rocha
Murilo Souza,Marlo Souza
Matheus F. de Oliveira,Matheus D. de Oliveira
Maurício M. Arimoto,Maurício Arimoto
Maurício Neto,Maurício M. Neto
Mirella Moro,Mirella M. Moro
Monica Pereira,Monica M. Pereira
Moysés Sampaio Jr,Moysés S. Sampaio Jr.
Moysés Sampaio Jr.,Moysés S. Sampaio Jr.
Márcia Gonçalves de Oliveira,Márcia Gonçalves Oliveira
Natasha Malveira Costa Valentim,Natasha Malveira C. Valentim
Natália Louzada,Natália C. Louzada
Natália do C. Louzada,Natália C. Louzada
Núbia Rosa da Silva,Nubia Rosa da Silva
Osvaldo Rosso,Osvaldo A. Rosso
Otacílio Pereira,Otacílio José Pereira
Patrícia Abe Turato,Patricia Abe Turato
Patrícia Araújo-de-Oliveira,Patrícia Araújo de Oliveira
Rafael C. S. Schouery,Rafael C. S. Schoeury
Rafael L. Gomes,Rafael Gomes
Rafaela Gomes,Rafael Gomes
Rafael S. Lopes,Rafael Lopes
Ramayane Braga,Ramayane B. Braga
Ronaldo Santos,Reginaldo Santos
Reinaldo Braga,Reinaldo B. Braga
Renata Viegas de Figueiredo,Renata V. de Figueiredo
Ricardo de Souza,Ricardo Souza
Robertino Mendes Santiago Junior,Robertino M. Santiago Junior
Roberto Bittencourt,Roberto A. Bittencourt
Rodrigo da R. Righi,Rodrigo R. Righi
Roger S. Machado,Roger Machado
Rômulo Silva de Oliveira,Romulo Silva de Oliveira
Ronney Moreira de Castro,Ronney Moreira Castro
Rosiane de Freitas,Rosiane Freitas
Sandro Oliveira,Sandra Oliveira
Sara M. Silva ,Sara M. Silva
Sergio T. Carvalho,Sergio Carvalho
Sheila M. de Almeida,Sheila M. Almeida
