Nome_Original,Nome_Canonico
Adenauer Corrêa Yamin,Adenauer Correa Yamin
Adrielle Veras de Almeida,Adrianne Veras de Almeida
Adriano H. Braga,Adriano Braga
Amanda Rodrigues,Alan Rodrigues
Alana Araújo,Alana Araujo
Aline Marques de Morais,Alana Marques de Morais
Alex Vieira,Alex B. Vieira
Luiz Alexandre Costa,Alexandre Costa
Alexandre Lopes,Alexandre F. Lopes
Alice Finger,Alice F. Finger
Alinne C. Corrêa Souza,Alinne C. Correa Souza
Ana Beatriz da S. Martins,Ana Beatriz S. Matias
Ana Karolinna Maia,Ana Karolina Maia
Ana Luíza S. Milson,Ana Luísa S. Milson
André Aquino,Andre Aquino
André L. L. Aquino,Andre L. L. Aquino
Andrea S. Charão,Andrea Charão
André Pereira,André G. Pereira
Ariany M. Almeida Maia,Ariany Almeida Maia
Augusto V. Neto,Augusto Neto
Bruno C. da Silva,Bruna A. da Silva
Bruna Mariana Souza,Bruna Mariana F. de Souza
Bruno P. Masquio,Bruno Masquio
Bruno Moura,Bruno Mota
Bruno P. Oliveira,Bruno Oliveira
Carla D. Castanho,Carla Castanho
Carlo Rodrigues,Carla Rodriguez
Mauro Oliveira,Carlo Oliveira
Carlos Silva,Carlos A. Silva
Carlos Maurício Seródio Figueiredo,Carlos Maurício S. Figueiredo
Carlos Roberto Beleti Junior,Carlos R. Beleti Junior
Christiane Gresse von Wangenheim,Christiane G. von Wangenheim
Cleidson de Souza,Cleidson Souza
Cleon X. Pereira Júnior,Cleon X. Pereira Junior
Cleon Xavier Pereira Junior,Cleon X. Pereira Junior
Cristiano André da Costa,Cristiano A. da Costa
Cristina G. Fernandes,Cristina Fernandes
Cândida Nunes da Silva,Cândida N. da Silva
Daniel R. Figueiredo,Daniel Figueiredo
Daniel Palomino,Daniel M. Palomino
Daniel Menasché,Daniel Menasch
Daniel S. Menasché,Daniel Menasch
Daniele Trevisan,Daniela Trevisan
Denis do Rosário,Denis Rosário
Denise H. Goya,Denise Goya
Dilma da Silva,Dilma Da Silva
Edson M. da Costa,Ederson R. da Costa
Eduardo Oliveira,Edgar Oliveira
Edson T. Midorikawa,Edson Midorikawa
Eduardo C. de Almeida,Eduardo C. Almeida
Eduardo H. Gomes,Eduardo G. Gomes
Esdras L. Bispo Jr.,Esdras Bispo Jr.
Fabiano S. Oliveira,Fabiano Oliveira
Fábio Oliveira,Fabiano Oliveira
Fabíola G. Nakamura,Fabiola F. Nakamura
Fabíola Nakamura,Fabiola F. Nakamura
Fabrícia Damando Santos,Fabricia Damando Santos
Fabrício Silva,Fabrício A. Silva
Fabíola Pantoja O. Araújo,Fabíola Pantoja O. Araujo
Filipe Fernandes,Filipe C. Fernandes
Flávia Delicato,Flávia C. Delicato
Francisco M. S. Rocha,Francisco A. Rocha
Franklin de Lima Marquezino,Franklin de L. Marquezino
Fábio H. Botler,Fábio Botler
Fábio V. Martinez,Fábio H. V. Martinez
Gabriel W. A. Silva,Gabriel G. Silva
Gabriel Hellen de Sousa,Gabriel H. de Sousa
Geraldo Braz Júnior,Geraldo Braz Junior
Guilherme O. Mota,Guilherme Mota
Guillermo Davila,Guillermo A. Dávila
Gustavo S. Rodrigues,Gustavo Rodrigues
Hígor Santos,Hugo Santos
Igor W. S. Falcão,Igor W. A. Falcão
Israel Vasconcelos,Israel L. C. Vasconcelos
Janaína Gomide,Janaina Gomide
Jayme Luiz Szwarcfiter,Jayme L. Szwarcfiter
Jayme Szwarcfiter,Jayme L. Szwarcfiter
Jean Araújo,Jean Araujo
Jefferson O. Andrade,Jefferson Andrade
Jonnhy Marques,Johnny Marques
Jonathan R. da Silva,Jonathan C. F. da Silva
Josivaldo de S. Araújo,Josivaldo S. Araújo
João Gabriel Rocha Silva,João Gabriel R. Silva
