Autor,Comunidade_ID,Gênero
Beatriz Pamela M. Nunes,10,Mulher
Gabriela C. M. de Souza,10,Mulher
Gabriela Coutinho,10,Mulher
Géssica M. da S. Alves,10,Mulher
Jailma J. da Silva,10,Mulher
Jailma da silva,10,Mulher
José Cunha,10,Homem
Juliana Saraiva,10,Mulher
Rebeca de Q. Dantas,10,Mulher
Renata Figueiredo,10,Mulher
Renata V. de Figueiredo,10,Mulher
Sheyla Medeiros,10,Mulher
Thaíse Costa,10,Mulher
Vanessa Dantas,10,Mulher
Vanessa Farias Dantas,10,Mulher
Wellington Lemos,10,Homem
Felipe Lisboa,11,Homem
Juliana de Santi,11,Mulher
Keiko V. O. Fonseca,11,Mulher
Leander de Oliveira,11,Homem
Luiz A. Pellison,11,Homem
Luiz C. Gomes Jr.,11,Homem
Luiz E. Merkle,11,Homem
Marcelo O. Rosa,11,Homem
Maria Cláudia F. P. Emer,11,Mulher
Mariana Michels Fontoura,11,Mulher
Mariângela O. G. Setti,11,Mulher
Marília A. Amaral,11,Mulher
Monika Abkar,11,Mulher
Nádia P. Kozievitch,11,Mulher
Tatiana M. C. Gadda,11,Mulher
