Autor,Comunidade_ID,Gênero
Rafaela Oliveira Padilha,8,Mulher
Tatiana Nilson dos Santos,8,Mulher
Éverton Fabian Jasinski,8,Homem
Alex Calado,9,Homem
Alex Gliesch,9,Homem
Ana Santos,9,Mulher
Anderson Daniel Stochero,9,Homem
Anderson Stochero,9,Homem
André G. Pereira,9,Homem
Augusto B. Corrêa,9,Homem
Bruna Kopplin,9,Mulher
Cristiane Stamberg,9,Mulher
Cristiane da Silva Stamberg,9,Mulher
Eduardo Souto,9,Homem
Elaine Oliveira,9,Mulher
Henrique Becker,9,Homem
Leandro Carvalho,9,Homem
Luciana S. Buriol,9,Mulher
Marcus Ritt,9,Homem
Ricardo Souza,9,Homem
Samuel Müller Forrati,9,Homem
Toni I. Wickert,9,Homem
Ana Valladares Zerbinato,10,Mulher
Beatriz Lopes Souza,10,Mulher
Camille Braga,10,Mulher
Carla Leitão,10,Mulher
Claudia Cappelli,10,Mulher
Fábio Silva,10,Homem
Gabriela Hecksher,10,Mulher
Karina Mochetti,10,Mulher
Kayalla Pontes,10,Mulher
Luciana Salgado,10,Mulher
Raquel Bravo,10,Mulher
Rodolfo Oliveira,10,Homem
