Métrica,Valor
Nós,195.0
Nós (Homens),168.0
Nós (Mulheres),27.0
Arestas,171.0
Grau Médio,1.7538
Densidade,0.009
Clusterização Global (Transitivity),0.8475
Clusterização Média (Average),0.6029
Assortatividade (Gênero),0.071
Componentes Conectados,71.0
Nós (LCC),7.0
Distância Média,1.619
Diâmetro,3.0
Modularity,0.195
Comunidades (Louvain),2.0
