Métrica,Valor
Nós,137.0
Nós (Homens),94.0
Nós (Mulheres),43.0
Arestas,228.0
Grau Médio,3.3285
Densidade,0.0245
Clusterização Global (Transitivity),0.8335
Clusterização Média (Average),0.7228
Assortatividade (Gênero),0.2391
Componentes Conectados,33.0
Nós (LCC),17.0
Distância Média,2.2574
Diâmetro,4.0
Modularity,0.4011
Comunidades (Louvain),3.0
