Comunidade_ID,Homem,Mulher,Total_Comunidade
0,17,4,21
1,2,12,14
2,6,5,11
3,10,18,28
4,22,6,28
5,12,13,25
6,8,4,12
7,10,10,20
8,9,2,11
9,1,8,9
10,2,13,15
11,3,9,12
12,15,5,20
