Autor,Gênero,Grau (Centralidade),Grau Ponderado (Força)
André L. L. Aquino,Homem,0.0016,3
Israel L. C. Vasconcelos,Homem,0.0005,1
Marcelo O. Souza,Homem,0.0011,2
Raquel S. Cabral,Mulher,0.0011,2
André L. P. Guedes,Homem,0.0011,2
Renato Carmo,Homem,0.0011,2
Nicollas M. Sdroievski,Homem,0.0011,2
André Lemos,Homem,0.0027,5
Haroldo Amaral,Homem,0.0027,5
Lilian Pereira Teixeira,Mulher,0.0027,5
Marcia Kniphoff da Cruz,Mulher,0.0027,5
Rozelma França,Mulher,0.0027,5
André Luiz Alves,Homem,0.0016,3
Danielly Rayanne M. Lima,Mulher,0.0016,3
Raissa Ohana F. O e Silva,Mulher,0.0016,3
Álvaro Getúlio Medeiros,Homem,0.0016,3
André Luiz de O. Cezário,Homem,0.0038,7
Dayvson Sales,Homem,0.0038,7
Fábio J. Coutinho,Homem,0.0038,7
John Davi D. C. Pires,Homem,0.0038,7
Samuel Lucas V. L. Barbosa,Homem,0.0038,7
Victor Accete,Homem,0.0038,7
Wagner Fontes,Homem,0.0038,7
André Manzano,Homem,0.0033,6
Lohana Santos,Mulher,0.0033,6
Roger Resmini,Homem,0.0033,6
Soraia Prietch,Mulher,0.0033,6
Tamyres Souza,Mulher,0.0033,6
Waine Júnior,Homem,0.0033,6
Ângela Farias,Mulher,0.0033,6
André Oliveira,Homem,0.0016,3
Fernanda Campos,Mulher,0.0016,3
Lucas Bressan,Homem,0.0016,3
Regina Braga,Mulher,0.0016,3
André Pereira,Homem,0.0011,2
Eduardo Souto,Homem,0.0011,2
André Peres,Homem,0.0038,7
Fernanda Nunes Deitos,Mulher,0.0038,7
Fábio Yoshimitsu Okuyama,Homem,0.0038,7
Lilian Stavizki,Mulher,0.0038,7
Marcelo Augusto Rauh Schimitt,Homem,0.0038,7
Marlon Carvalho Mariano,Homem,0.0038,7
Márcia Häfele Islabão Franco,Mulher,0.0038,7
Silvia de Castro Bertagnolli,Mulher,0.0038,7
André Pinheiro,Homem,0.0044,8
Caio Rabello,Homem,0.0022,4
Cleidson Souza,Homem,0.0038,7
Cleidson de Souza,Homem,0.0022,4
Fernando Figueira Filho,Homem,0.0022,4
Gustavo Pinto,Homem,0.0022,4
Leandro de Almeida Melo,Homem,0.0022,4
Leonardo Furtado,Homem,0.0022,4
Nelson Tenório Jr.,Homem,0.0022,4
André R. Ortoncelli,Homem,0.0016,3
Jeferson V. L. Albino,Homem,0.0016,3
Newton C. Will,Homem,0.0016,3
Rafael A. P. de Oliveira,Homem,0.0016,3
André Ribeiro,Homem,0.0022,4
Caroline Patrão,Mulher,0.0022,4
Celina Figueiredo,Mulher,0.0022,4
Diane Castonguay,Mulher,0.0022,4
Luis Kowada,Homem,0.0022,4
André Riker,Homem,0.0011,2
Renato Mota,Homem,0.0011,2
André Silva,Homem,0.0011,2
José Silva,Homem,0.0011,2
Letícia Oliveira,Mulher,0.0011,2
André Soares,Homem,0.0011,2
Brena Santos,Mulher,0.0033,9
Isadora Garcia Ferrão,Mulher,0.0011,2
Kalinka R. L. J. C. Branco,Mulher,0.0011,2
Andréia Antloga,Mulher,0.0033,6
Eduardo Cerqueira,Homem,0.0087,24
Elen Lobato,Mulher,0.0033,6
Jean Moraes,Homem,0.0049,11
Maria Tostes,Mulher,0.0033,6
Ubiratan Bezerra,Homem,0.0033,6
Anelise Lemke Kologeski,Mulher,0.0005,1
Anelise Souza Rocha,Mulher,0.0016,3
Douglas Farias Cordeiro,Homem,0.0016,3
Kátia Kelvis Cassiano,Mulher,0.0016,3
Nubia Rosa da Silva,Mulher,0.0038,7
Angélica F. S. Dias,Mulher,0.0011,2
Beatriz Saburido,Mulher,0.0011,2
Juliana B. S. França,Mulher,0.0011,2
Ariany Almeida Maia,Mulher,0.0038,7
Francisco Luciano Quirino da Silva,Homem,0.0011,2
Gabriel Aires,Homem,0.0005,1
Lauana Maria C. de Oliveira,Mulher,0.0038,8
Maria Elanne M. Rodrigues,Mulher,0.0038,7
Tatiane F. Figueiredo,Mulher,0.0011,2
Victoria Gabriella R. Pereira,Mulher,0.0038,7
Anna Beatriz Rosangela Marques,Mulher,0.0016,3
Maria Victoria Soares Fiori,Mulher,0.0016,3
Marina da Silva Rocha,Mulher,0.0016,3
Anna Helena Reali Costa,Mulher,0.0005,1
Felipe Leno da Silva,Homem,0.0005,1
Maria Fiori,Mulher,0.0011,2
Marina Rocha,Mulher,0.0011,2
Anselmo Paiva,Homem,0.0038,7
Daniel Pinto,Homem,0.0038,7
Eduarda Chagas,Mulher,0.0038,7
Ricardo Anchieta,Homem,0.0038,7
Antonia Raiane Santos Araujo Cruz,Mulher,0.0005,1
Antônio Deivid Santos Costa,Homem,0.0005,1
Antonilson Alcantara,Homem,0.0016,3
Emanuel Rodrigues,Homem,0.0016,3
Filipe Coelho,Homem,0.0016,3
Antonio Brasil,Homem,0.0016,3
Jefferson Andrade,Homem,0.0033,6
Karin Komati,Mulher,0.0038,7
Luiz Pinto,Homem,0.0016,3
Antonio C. Oliveira Jr,Homem,0.0033,6
Daniel S. Souza,Homem,0.0033,6
Diego L. Cardoso,Homem,0.0044,14
Igor W. A. Falcão,Homem,0.0044,14
Marcos C. R. Seruffo,Homem,0.0033,9
Paulo H. A. Pereira,Homem,0.0044,11
Rafael F. Vieira,Homem,0.0044,14
Antonio Carlos Schneider Beck,Homem,0.0011,2
Luigi Carro,Homem,0.0011,2
Marcelo Brandalero,Homem,0.0011,2
Antonio L. Amadeu,Homem,0.0027,5
Eduardo M. Pereira,Homem,0.0027,5
Fernando Vinturin,Homem,0.0027,5
Guilherme A. Zimeo Morais,Homem,0.0027,5
Maickel Hubner,Homem,0.0027,5
Marcelo Santos,Homem,0.0027,5
Antônio Alberti,Homem,0.0044,8
Cristiano A. da Costa,Homem,0.0044,9
Emiliano S. Monteiro,Homem,0.0027,5
Karine Costa,Mulher,0.0016,3
Maria Eloisa Mignoni,Mulher,0.0027,5
Rafael Kunst,Homem,0.0027,5
Rodrigo R. Righi,Homem,0.0044,9
Tibério Rezende,Homem,0.0016,3
Victor D'Ávila,Homem,0.0016,3
Antônio K. B. Fernandes,Homem,0.0016,3
Guilherme O. Mota,Homem,0.0016,3
Hugo M. Vicente,Homem,0.0016,3
Maurício Collares,Homem,0.0016,3
Antônio Mauro B. Oliveira,Homem,0.0027,5
Francisco S. Júnior,Homem,0.0027,5
Henrique V. Oliveira,Homem,0.0027,5
Matheus F. de Oliveira,Homem,0.0027,5
Renato A. C. Freitas,Homem,0.0027,5
Silvio R. Evangelista,Homem,0.0027,5
Antônio Pereira,Homem,0.0027,5
Luiz C. Ferreira,Homem,0.0027,5
Marcelino S. da Silva,Homem,0.0027,5
Rodrigo Dutra,Homem,0.0027,5
Vitor Hugo M. Gomes,Homem,0.0027,5
Weverson Nascimento,Homem,0.0027,5
Antônio Pinto,Homem,0.0033,6
Ednara Pereira,Mulher,0.0033,6
Fernando Leite,Homem,0.0033,6
Gabriel Cardoso,Homem,0.0033,6
Igor Estrela,Homem,0.0033,6
Antônio Rodrigues,Homem,0.0027,5
Artur Veloso,Homem,0.0027,5
Halysson Júnior,Homem,0.0027,5
Joel Rodrigues,Homem,0.0027,5
José Sobral,Homem,0.0027,5
Ricardo Rabêlo,Homem,0.0027,5
Ariadne Costa,Mulher,0.0022,4
Luciana Trento Raineri,Mulher,0.0022,4
Rafael Silva Del Lama,Homem,0.0022,4
Raquel Mariana Candido,Mulher,0.0022,4
Renato Tinos,Homem,0.0022,4
Ariana R. Cursino,Mulher,0.0005,1
Juliana F. P. Martinez,Mulher,0.0005,1
Arilo C. Dias-Neto,Homem,0.0011,2
Daniel Fernandes,Homem,0.0011,2
Kaio Wagner,Homem,0.0011,2
Aron Miranda Henrique-Alves,Homem,0.0022,4
Helton Maia,Homem,0.0033,7
John Victor Alves Luiz,Homem,0.0022,4
Richardson Santiago Teles de Menezes,Homem,0.0033,7
Rossana Moreno Santa Cruz,Mulher,0.0022,4
Arthur Artoni,Homem,0.0005,1
Bruno Oliveira,Homem,0.0005,1
Arthur F. Ramos,Homem,0.0005,1
Ruy J. G. B. de Queiroz,Homem,0.0011,2
Arthur Felipe Herdt Schuelter,Homem,0.0033,6
Ediana da Silva de Souza,Mulher,0.0033,6
Isabela Gasparini,Mulher,0.0044,8
Milene Selbach Silveira,Mulher,0.0038,7
Rebeca Schroeder,Mulher,0.0033,6
Simone Diniz Junqueira Barbosa,Mulher,0.0033,6
Êrica Peters do Carmo,Mulher,0.0033,6
Artur Jordão Lima Correia,Homem,0.0005,1
William Robson Schwartz,Homem,0.0005,1
Felipe Abrahão,Homem,0.0011,2
Klaus Wehmuth,Homem,0.0011,2
Atílio G. Luiz,Homem,0.0011,2
Luisa Frickes,Mulher,0.0011,2
Simone Dantas,Mulher,0.0011,2
Atílio Gomes Luiz,Homem,0.0005,1
Davi Gomes Florencio,Homem,0.0005,1
Audir da Costa Oliveira Filho,Homem,0.0005,1
Christiane Borges Santos,Mulher,0.0005,1
Augusto V. Neto,Homem,0.0044,8
Eduardo Grampín,Homem,0.0044,8
Erika Rosas,Mulher,0.0044,8
Javier Baliosian,Homem,0.0044,8
Martín Gutiérrez,Homem,0.0044,8
Nicolás Hidalgo,Homem,0.0044,8
Paulo R. Coelho,Homem,0.0044,8
Rafael Pasquini,Homem,0.0044,8
Rodrigo S. Miani,Homem,0.0044,8
Augusto Venâncio Neto,Homem,0.0016,3
Denis do Rosário,Homem,0.0016,3
Wanderson Modesto,Homem,0.0016,3
Ayla Dantas,Mulher,0.0011,2
Ivonildo Neto,Homem,0.0011,2
Matheus Oliveira,Homem,0.0011,2
Géssica Alves,Mulher,0.0005,1
César Alberto da Silva,Homem,0.0038,7
Paulo César Gonçalves,Homem,0.0033,6
Rodrigo Hübner,Homem,0.0033,6
Gabriela Felipa Souza,Mulher,0.0011,2
Barbara Freitas,Mulher,0.0011,2
Luciana Cosme,Mulher,0.0011,2
Mayara Nascimento,Mulher,0.0011,2
Barbara Ramos,Mulher,0.0011,2
Leonardo Gargano,Homem,0.0016,4
Marcelo Fornazin,Homem,0.0016,4
Beatriz A. de Miranda,Mulher,0.0016,3
Ivyna R. S. Alves,Mulher,0.0016,3
Lívia M. R. S. Campos,Mulher,0.0016,3
Marcella M. S. C. de Almeida,Mulher,0.0016,3
Beatriz Becker,Mulher,0.0071,13
Camila Laricchia,Mulher,0.0071,13
Denise Siloto,Mulher,0.0071,13
Elisa Rocha,Mulher,0.0071,13
Flávia Villela,Mulher,0.0071,13
Francisco Campos,Homem,0.0071,13
Gabriel SantClair,Homem,0.0082,16
Janaina Gomide,Mulher,0.0093,20
Julia Godinho,Mulher,0.0087,17
Júlia Marotti,Mulher,0.0071,13
Laura Emmanuella de Oliveira,Mulher,0.0071,13
Milena Estanislau,Mulher,0.0071,13
Tabatta Martins,Mulher,0.0071,13
Valeria Nunes Belmonte,Mulher,0.0071,13
Beatriz Chicaroni,Mulher,0.0055,10
Camila Sass,Mulher,0.0055,10
Carla Rodriguez,Mulher,0.0055,10
Denise Goya,Mulher,0.0055,10
Lara Tenore,Mulher,0.0055,10
Lidia Ferreira,Mulher,0.0055,10
Maria Eduarda Brandão,Mulher,0.0055,10
Melissa Lins,Mulher,0.0055,10
Poliana Ferreira,Mulher,0.0055,10
Rafaela V. Rocha,Mulher,0.0055,10
Rosimeire Santana,Mulher,0.0055,10
Benediel Gonçalves,Homem,0.0022,4
Elison Nascimento,Homem,0.0022,4
Enio Monteiro,Homem,0.0022,4
Benhur Tessele,Homem,0.0011,2
Cristian Koliver,Homem,0.0011,2
Benilda Silva,Mulher,0.0022,4
Fabricio Farias,Homem,0.0022,4
Leonardo Gonçalves,Homem,0.0022,4
Bianca M. Lopes,Mulher,0.0022,4
Júlio C. S. Mendes,Homem,0.0022,4
Karina M. Johansson,Mulher,0.0022,4
Livy Real,Mulher,0.0022,4
Márcio T. I. Oshiro,Homem,0.0022,4
Bianca Santana,Mulher,0.0016,4
Camille Jesus,Mulher,0.0011,2
Luis Araújo,Homem,0.0011,2
Roberto Bittencourt,Homem,0.0022,5
Bosco Borges A. F.,Homem,0.0016,3
Maria de Fátima P. Ferreira,Mulher,0.0016,3
Rossana M. C. Andrade,Mulher,0.0016,3
Rubens Anderson de S. Silva,Homem,0.0016,3
Braulio Adriano de Mello,Homem,0.0005,1
Braz Araujo da Silva Junior,Homem,0.0011,2
Simone André da Costa Cavalheiro,Mulher,0.0011,2
Daniel Carvalho,Homem,0.0016,3
Iure Fé,Homem,0.0044,11
Lucas Santos,Homem,0.0022,5
Patricia Takako Endo,Mulher,0.0011,2
Brendo Cavalcante,Homem,0.0027,5
Bruno Gadelha,Homem,0.0033,6
João Gustavo Kienen,Homem,0.0027,5
Julia Luiza da Conceição,Mulher,0.0027,5
Rosiane Freitas,Mulher,0.0109,21
Sérgio Anders,Homem,0.0027,5
Brenner H. O. Rios,Homem,0.0016,3
Eduardo C. Xavier,Homem,0.0016,3
Flávio K. Miyazawa,Homem,0.0027,5
Pedro Amorim,Homem,0.0016,3
Bruna A. da Silva,Mulher,0.0022,4
Cleber Zanchettin,Homem,0.0022,4
David Macedo,Homem,0.0022,4
Paulo F. C. Barbosa,Homem,0.0022,4
Renato M. de Moraes,Homem,0.0027,5
Bruna M. Dalmoro,Mulher,0.0005,1
Soraia R. Musse,Mulher,0.0016,3
Bruna Mariana Souza,Mulher,0.0016,3
Juliana Magalhães,Mulher,0.0016,3
Júlia Luiza Conceição,Mulher,0.0016,3
Bruna Oenning Amador,Mulher,0.0027,5
Lara Morgado da Silva Santos,Mulher,0.0027,5
Mayara Dal Vesco Hoger,Mulher,0.0027,5
Patrícia Abe Turato,Mulher,0.0027,5
Rita Cristina Galarraga Berardi,Mulher,0.0027,5
Silvia Amelia Bim,Mulher,0.0049,9
Bruna Souza,Mulher,0.0016,3
Emmerson Silva,Homem,0.0022,5
Miguel Oliveira,Homem,0.0022,5
Neila Xavier,Mulher,0.0016,3
Bruno A. Bonifácio,Homem,0.0011,2
César França,Homem,0.0011,2
Franciney O. Lima,Homem,0.0011,2
Bruno Albertini,Homem,0.0005,1
Vitor Finotti,Homem,0.0005,1
Bruno Clemente,Homem,0.0011,2
Bruno Coutinho,Homem,0.0011,2
Paulo Sabaini,Homem,0.0011,2
Bruno César Vani,Homem,0.0016,3
César Silva,Homem,0.0016,3
Jessica Viana,Mulher,0.0016,3
Melissa Zanatta,Mulher,0.0016,3
Bruno Duarte,Homem,0.0016,3
Dierli M. da R. Maschio,Homem,0.0016,3
Jean Patric da Costa,Homem,0.0016,3
Marcelo Teixeira,Homem,0.0016,3
Fabian de Oliveira Lopes,Homem,0.0005,1
Bruno Kalel da Silva,Homem,0.0022,4
Fábio José Alves,Homem,0.0022,4
Gabryella Rocha Rodrigues,Mulher,0.0022,4
Leonardo da Silva Moraes,Homem,0.0022,4
Rita Rocha Kasahara,Mulher,0.0022,4
Bruno L. Netto,Homem,0.0005,1
Fábio Botler,Homem,0.0022,4
Bruno Masquio,Homem,0.0011,2
Jayme L. Szwarcfiter,Homem,0.0071,17
Paulo Pinto,Homem,0.0022,4
Bruno Monteiro,Homem,0.0005,1
Bruno N. M. S. Conte,Homem,0.0011,2
Roberto C. L. de Oliveira,Homem,0.0011,2
Thiago N.M. S. Conte,Homem,0.0011,2
Bruno O. Goulart,Homem,0.0022,4
Carolina Xavier,Mulher,0.0022,4
Maria Júlia M. Schettini,Mulher,0.0022,4
Samuel O. Silva,Homem,0.0022,4
Bruno P. Masquio,Homem,0.0022,6
Guilherme de C. M. Gomes,Homem,0.0022,4
Paulo E. D. Pinto,Homem,0.0022,6
Vinicius F. Santos,Homem,0.0022,4
Bruno P. Oliveira,Homem,0.0022,4
Felipe A. Ferreira,Homem,0.0022,4
Hélio Lopes,Homem,0.0022,4
Rodrigo V. Kassick,Homem,0.0022,4
Vinícius Furlan,Homem,0.0022,4
Bruno Pasqualotto Cavalar,Homem,0.0005,1
Yoshiharu Kohayakawa,Homem,0.0016,3
Bruno Pereira,Homem,0.0022,4
Francisco Henrique Ferreira,Homem,0.0022,4
Luiz Alexandre Costa,Homem,0.0022,4
Marcio Imamura,Homem,0.0022,4
Bruno Silvestre,Homem,0.0011,2
Eliseu Germano,Homem,0.0011,2
Sergio Carvalho,Homem,0.0011,2
Bruno Zatt,Homem,0.0016,3
Daniel M. Palomino,Homem,0.0016,3
Marcelo S. Porto,Homem,0.0016,3
Wagner I. Penny,Homem,0.0016,3
Bruno de Carvalho Albertini,Homem,0.0005,1
Vivian Kimie Isuyama,Mulher,0.0005,1
Cabral Lima,Homem,0.0016,3
Leandro P. de Aguiar,Homem,0.0027,6
Caciele Catiussa Ibarro Barbosa Lara,Mulher,0.0011,2
Dariane Abich,Mulher,0.0022,5
Caio Flexa,Homem,0.0011,2
Sergio Viademonte,Homem,0.0011,2
Walisson Gomes,Homem,0.0011,2
Calebe Conceição,Homem,0.0016,3
Carla Aquino,Mulher,0.0016,3
Glederson Santos,Homem,0.0016,3
Pedro Mietliki,Homem,0.0016,3
Camila Gusmão,Mulher,0.0011,2
Karla Figueiredo,Mulher,0.0011,2
Walkir A. T. Brito,Homem,0.0011,2
Carina Machado de Farias,Mulher,0.0011,2
Sarah Barbosa de Deus,Mulher,0.0011,2
Steffany Caroline Carvalho Freire,Mulher,0.0011,2
Carina Oliveira,Mulher,0.0038,8
Daniel Saraiva,Homem,0.0022,4
Edgar Oliveira,Homem,0.0022,4
Erica Gallindo,Mulher,0.0022,4
Helen Ferreira,Mulher,0.0022,4
Mauro Oliveira,Homem,0.0022,4
Reinaldo Braga,Homem,0.0038,8
Silas Pereira,Homem,0.0022,4
Carina T. de Oliveira,Mulher,0.0016,3
Daniel Victor Saraiva,Homem,0.0016,3
Reinaldo B. Braga,Homem,0.0016,3
Silas S. L. Pereira,Homem,0.0016,3
Carla Delgado,Mulher,0.0022,4
Daniel S. Menasché,Homem,0.0022,4
João Ismael Pinheiro,Homem,0.0022,4
Mateus S. Nogueira,Homem,0.0022,4
Carla Ilane Moreira Bezerra,Mulher,0.0027,5
Gustavo Ivens Oliveira Silva,Homem,0.0027,5
José Robertty de Freitas Costa,Homem,0.0027,5
Paulo Miranda e Silva Sousa,Homem,0.0027,5
Victor de Souza Lima,Homem,0.0027,5
Wladimir Araújo Tavares,Homem,0.0027,5
Carla M. D. S. Freitas,Mulher,0.0011,2
Jorge A. Wagner Filho,Homem,0.0011,2
Luciana Nedel,Mulher,0.0011,2
Carla M. Paxiúba,Mulher,0.0027,5
Josivan R. Reis,Homem,0.0027,5
Luiz Henrique C. Nunes,Homem,0.0027,5
Mariana W. B. Nascimento,Mulher,0.0027,5
Márcio J. M. Ponte,Homem,0.0027,5
Roberto P. Nascimento,Homem,0.0027,5
Carla N. Lintzmayer,Mulher,0.0022,4
Cristina Fernandes,Mulher,0.0016,3
Denis G. Fantinato,Homem,0.0011,2
Lucas F. Muniz,Homem,0.0011,2
Mário César San Felice,Homem,0.0027,5
Carla Sanches Nere dos Santos,Mulher,0.0011,2
Igor Muzetti Pereira,Homem,0.0011,2
Vicente José Peixoto de Amorim,Homem,0.0011,2
Carla Verônica Marques,Mulher,0.0011,2
Carlo Oliveira,Homem,0.0011,2
Carlo Kleber da Silva Rodrigues,Homem,0.0005,1
Vladimir Emiliano Moreira Rocha,Homem,0.0005,1
Carlo Rodrigues,Homem,0.0005,1
Vladimir Rocha,Homem,0.0005,1
Carlos A. G. Ferraz,Homem,0.0011,2
David C. P. da Cunha,Homem,0.0011,2
José C. F. M. Júnior,Homem,0.0011,2
Carlos A. Silva,Homem,0.0022,4
Gabriel A. D. Miranda,Homem,0.0022,4
Gustavo Y. S. Azevedo,Homem,0.0022,4
Lillia S. B. Silva,Mulher,0.0022,4
Matheus S. Garofolo,Homem,0.0022,4
Carlos Alberto V. Campos,Homem,0.0016,3
Elton F. de S. Soares,Homem,0.0016,3
Leonardo Teteo,Homem,0.0016,3
Pedro Moura,Homem,0.0016,3
Carlos Brito,Homem,0.0022,4
Guto Leoni,Homem,0.0022,4
Laécio Rodrigues,Homem,0.0044,11
Carlos E. Ferreira,Homem,0.0005,1
Gabriel M. de Azevedo,Homem,0.0005,1
Lahis Almeida,Mulher,0.0011,2
Wilson Neto,Homem,0.0011,3
Carlos Maurício Seródio Figueiredo,Homem,0.0005,1
Luiz Carlos Silva de Araújo Filho,Homem,0.0005,1
Carlos Storck,Homem,0.0022,7
Efrem Lousada,Homem,0.0022,7
Fátima Duarte-Figueiredo,Mulher,0.0022,7
Guilherme Silva,Homem,0.0022,4
Raquel Mini,Mulher,0.0022,7
Carmen Vera Scorsatto Brezolin,Mulher,0.0005,1
Carolina Aguilar,Mulher,0.0011,2
Gisele Marinho,Mulher,0.0011,2
Simone Fagundes,Mulher,0.0011,2
Caroline Aparecida de Paula Silva,Mulher,0.0011,2
Cândida Nunes da Silva,Mulher,0.0027,8
Caroline Collange,Mulher,0.0016,3
Fernando Magno Quintão Pereira,Homem,0.0022,4
Marcos Yukio Siraichi,Homem,0.0016,3
Caroline Sacramento Alves,Mulher,0.0011,2
Débora Abdalla,Mulher,0.0011,2
Juliana Maria Oliveira dos Santos,Mulher,0.0011,2
Caroline Silva,Mulher,0.0011,2
Cândida Silva,Mulher,0.0011,2
Carolinne Roque e Faria,Mulher,0.0005,1
Maurilio Martins Campano Júnior,Homem,0.0005,1
Cecília Lescano Osório,Mulher,0.0005,1
Edna Ayako Hoshino,Mulher,0.0005,1
Celciane Alves Vasconcelos,Mulher,0.0027,5
Edio Roberto Manfio,Homem,0.0027,6
Fabiane Cristina Altino,Mulher,0.0027,5
Fábio Carlos Moreno,Homem,0.0027,6
Marcelo Ozawa de Sousa,Homem,0.0027,5
Maria Renata de Mira Gobbo,Mulher,0.0027,5
Franklin de L. Marquezino,Homem,0.0022,4
Luis A. B. Kowada,Homem,0.0011,2
Celso A. Weffort-Santos,Homem,0.0011,2
Christiane N. Campos,Mulher,0.0011,2
Rafael C. S. Schouery,Homem,0.0022,5
Celso Alberto Saibel Santos,Homem,0.0011,2
Estêvão Bissoli Saleme,Homem,0.0011,2
George Ghinea,Homem,0.0011,2
Cesar A. C. Marcondes,Homem,0.0016,3
Diego F. Pedroso,Homem,0.0016,3
Emerson R. A. Barea,Homem,0.0016,3
Hermes Senger,Homem,0.0016,3
Cesar D. P. Crovato,Homem,0.0022,4
Luis A. Z. Pozenato,Homem,0.0022,4
Vinícius F. Rodrigues,Homem,0.0022,4
Christian Reis Fagundes Gomes,Homem,0.0016,3
Felipe Augusto Resende Viegas,Homem,0.0016,3
Leonardo Chaves Dutra da Rocha,Homem,0.0016,3
Washington Luiz Miranda da Cunha,Homem,0.0016,3
Christiane G. von Wangenheim,Mulher,0.0011,2
Matheus A. Pereira,Homem,0.0011,2
Nathalia da Cruz Alves,Mulher,0.0011,2
Christiane Pereira,Mulher,0.0022,4
Everton Oliveira,Homem,0.0022,4
Henrique Ferreira,Homem,0.0022,4
Joelson Araújo,Homem,0.0022,4
Patricia Moser,Mulher,0.0022,4
Cintia Sonale Rebonatto,Mulher,0.0011,2
Cássio Eckstein,Homem,0.0011,2
Marcelo Trindade Rebonatto,Homem,0.0011,2
Claiton Correa,Homem,0.0038,7
Daila Rita Becker Nunes,Mulher,0.0011,2
Fernando Oliveira,Homem,0.0022,4
Joaquim Assunção,Homem,0.0011,2
Luciéli Tolfo Beque Guerra,Mulher,0.0011,2
Moraes Neto,Homem,0.0016,3
Clara Scheffer Emerich,Mulher,0.0016,3
Matheus Lorenzato Braga,Homem,0.0016,3
Rafael Américo Fuhrich,Homem,0.0016,3
Victor Martins de Sousa,Homem,0.0016,3
Claudia Brandelero Rizzi,Mulher,0.0011,2
Daniel Antonio Karling,Homem,0.0011,2
Rogério Luis Rizzi,Homem,0.0011,2
Paulo Roberto Filho,Homem,0.0016,3
Walkir Brito,Homem,0.0016,3
Zeca Borges,Homem,0.0016,3
Claudio Schepke,Homem,0.0005,1
Natiele Lucca,Mulher,0.0005,1
Claudomiro Sales,Homem,0.0011,2
Reginaldo Santos,Homem,0.0011,2
Renan Cunha,Homem,0.0011,2
Claudson F. Bornstein,Homem,0.0016,3
Tanilson D. Santos,Homem,0.0016,3
Uéverton S. Souza,Homem,0.0016,3
Cleidiane Nunes,Mulher,0.0005,1
Ivaldir Júnior,Homem,0.0005,1
Cleiton M. Marques,Homem,0.0011,2
Cristina Meinhardt,Mulher,0.0011,2
Paulo F. Butzen,Homem,0.0011,2
Cleverson Nahum,Homem,0.0016,3
Lucas Nóvoa,Homem,0.0016,3
Silvia Lins,Mulher,0.0016,3
Virgínia Tavares,Mulher,0.0016,3
Clevi Rapkiewicz,Mulher,0.0011,2
Nani Castilho,Mulher,0.0011,2
Simone Fogazzi,Mulher,0.0011,2
Cleyton Souza,Homem,0.0016,3
Elaine Santos,Mulher,0.0016,3
Tamires Rocha,Mulher,0.0016,3
Vilson Júnior,Homem,0.0016,3
Efraim Rodrigues,Homem,0.0005,1
Cláudio Fernando Fernando Resin Geyer,Homem,0.0005,1
João Luiz Grave Gross,Homem,0.0005,1
Cláudio Geyer,Homem,0.0016,3
Luis Silva,Homem,0.0016,3
Valderi Leithardt,Homem,0.0016,3
Wemerson Parreira,Homem,0.0016,3
Cristiana Bentes,Mulher,0.0011,2
Lúcia Maria de A. Drummond,Mulher,0.0011,2
Pablo Carvalho,Homem,0.0011,2
Cristiane Jorge L. Bonfim,Mulher,0.0011,2
Luisa S. Ferreira,Mulher,0.0011,2
Sylvana Karla S. L. Santos,Mulher,0.0016,3
Cristiano André da Costa,Homem,0.0011,2
Mateus Schmitz da Silveira,Homem,0.0011,2
Rodolfo Stoffel Antunes,Homem,0.0011,2
Cristiano Galafassi,Homem,0.0016,3
Eliseo Reategui,Homem,0.0016,3
Fabiane Galafassi,Mulher,0.0016,3
Rosa Vicari,Mulher,0.0016,3
Cristiano Maciel,Homem,0.0082,20
Fernanda Pires,Mulher,0.006,13
Jean Rangel,Homem,0.0038,7
João Bernado,Homem,0.0038,7
Jéssica Azevedo,Mulher,0.0016,3
Karen Ribeiro,Mulher,0.0016,4
Karen da Silva Figueiredo Medeiros Ribeiro,Mulher,0.0022,5
Karla Pereira,Mulher,0.0038,7
Larissa Pessoa,Mulher,0.0055,11
Leticia Santos Machado,Mulher,0.0022,4
Luciana Bolan Frigo,Mulher,0.0038,9
Sabrina B. Sassi,Mulher,0.0011,4
Silvia Bim,Mulher,0.0049,10
Vinícius Carvalho Pereira,Homem,0.0011,4
Cristiano R. Cervi,Homem,0.0011,2
Daniel M. Kuhn,Homem,0.0011,2
Edimar Mânica,Homem,0.0011,2
Cristina Ciferri,Mulher,0.0011,2
Kalinka Branco,Mulher,0.0011,2
Viviana Noguera,Mulher,0.0011,2
Rafael Pocai,Homem,0.0005,1
Lucas Rigo Yoshimura,Homem,0.0016,3
Maycon Sambinelli,Homem,0.0016,3
Vinícius de Souza Carvalho,Homem,0.0011,2
Robson Brito Santos,Homem,0.0005,1
Daiane M. Pereira,Mulher,0.0005,1
Rodrigo S. Couto,Homem,0.0005,1
Daniel Carlos Guimarães Pedronette,Homem,0.0005,1
Lucas Pascotti Valem,Homem,0.0005,1
Daniel Figueiredo,Homem,0.0011,2
Rafael G. Damasceno,Homem,0.0005,1
Ronald Souza,Homem,0.0005,1
Daniel L. Ferrão,Homem,0.0022,4
Heider Marconi G. Madureira,Homem,0.0022,4
Marcos B. Hervé,Homem,0.0022,4
Murilo P. Pessatti,Homem,0.0022,4
Paulo A. Dal Fabbro,Homem,0.0022,4
Matheus Martins,Homem,0.0016,3
Miguel A. Bicudo,Homem,0.0016,3
Daniel O. Martínez-Rivillas,Homem,0.0005,1
