Autor,Gênero,Grau (Centralidade),Grau Ponderado (Força)
Katia Salles,Mulher,0.0038,7
Kennedy Nunes,Homem,0.0066,14
Luis Rivero,Homem,0.0224,50
Maikon Costa,Homem,0.0038,7
Nathasha Pinto,Mulher,0.0066,14
Raimundo Neto,Homem,0.0038,7
Simara Rocha,Mulher,0.0066,14
Alane M. de Lima,Mulher,0.0011,2
André L. Vignatti,Homem,0.0016,4
Murilo V. G. da Silva,Homem,0.0027,6
Albert Lopes,Homem,0.0016,4
Carlos Portela,Homem,0.0055,12
Raaby Miranda,Mulher,0.0011,2
Sandra Oliveira,Homem,0.0049,10
Alberto H. F. Laender,Homem,0.0011,2
João M. M. C. Cota,Homem,0.0011,2
Raquel O. Prates,Mulher,0.0022,4
Alberto Raiol,Homem,0.0022,4
Breno Sousa,Homem,0.0022,4
Fábio Bezerra,Homem,0.0022,4
Paulo Cerqueira,Homem,0.0022,4
Rafael Santos,Homem,0.0044,8
Alecsander Dornelles,Homem,0.0005,1
Rafael Parizi,Homem,0.0027,6
Aleffer Rocha,Homem,0.0011,2
Leandro M. Zatesko,Homem,0.0033,6
Sheila M. Almeida,Mulher,0.0011,2
Alesom Zorzi,Homem,0.0011,2
Celina M. H. de Figueiredo,Mulher,0.0022,4
Raphael C. S. Machado,Homem,0.0011,2
Alessandra Cardoso Figueredo,Mulher,0.0011,2
Cibele Da Silva Alves,Mulher,0.0011,2
Wanderson Alexandre da Silva Quinto,Homem,0.0011,2
Alessandra Herranz Gazquez,Mulher,0.0005,1
Regiane da Silva Macuch,Mulher,0.0005,1
Alessandra Martins Coelho,Mulher,0.0038,9
Diego Nunes Noceli,Homem,0.0011,2
Gabriela Cardoso Montes,Mulher,0.0027,5
Ivy Oliveira Magesti,Mulher,0.0027,5
Julie Silva Pereira,Mulher,0.0027,5
Luiza Rosa de Moura,Mulher,0.0033,7
Matheus de Freitas Oliveira Baffa,Homem,0.0016,4
Nurian Maria Amâncio Coelho,Mulher,0.0027,5
Aleteia Araujo,Mulher,0.0005,1
Maristela Holanda,Mulher,0.0109,26
