Autor,Grau (Centralidade),Gênero
Thais Batista,0.0495,Mulher
Adenauer C. Yamin,0.0495,Homem
João Lopes,0.0396,Homem
Felipe Rocha,0.033,Homem
Denis Rosário,0.033,Homem
Alan Fernandes,0.0297,Homem
Everton Cavalcante,0.0297,Homem
Paulo H. A. Pereira,0.0264,Homem
Rafael F. Vieira,0.0264,Homem
Igor W. A. Falcão,0.0264,Homem
Marcelino S. da Silva,0.0264,Homem
Ana Marilza Pernas,0.0264,Mulher
Roger Machado,0.0264,Homem
Diego L. Cardoso,0.0264,Homem
Oswaldo de Oliveira,0.0231,Homem
Cleidson Souza,0.0231,Homem
Bruno Matias,0.0231,Homem
Sâmela Ferreira,0.0231,Mulher
Bruna Soares,0.0231,Mulher
John Davi D. C. Pires,0.0231,Homem
Rebeca de Jesus Brandão,0.0231,Mulher
Samuel Lucas V. L. Barbosa,0.0231,Homem
Victor Accete,0.0231,Homem
Fábio J. Coutinho,0.0231,Homem
Dayvson Sales,0.0231,Homem
André Luiz de O. Cezário,0.0231,Homem
Wagner Fontes,0.0231,Homem
Gerson Cavalheiro,0.0231,Homem
Verônica Tabim,0.0231,Mulher
Leonardo João,0.0231,Homem
