Autor,Grau (Centralidade),Gênero
João Gabriel R. Silva,0.04,Homem
Rafael Escalfoni,0.0364,Homem
Heremita Lima,0.0364,Mulher
Thiago R. Almeida,0.0255,Homem
Pedro H. O. Souza,0.0255,Homem
Letícia C. T. Nascimento,0.0255,Mulher
Ana Luisa D. Almeida,0.0255,Mulher
Gabriel C. Carrara,0.0255,Homem
Marlon Carvalho Mariano,0.0255,Homem
Renato C. Cani,0.0255,Homem
André Peres,0.0255,Homem
Márcia Häfele Islabão Franco,0.0255,Mulher
Isabele B. Prates,0.0255,Mulher
Fernanda Nunes Deitos,0.0255,Mulher
Fábio Yoshimitsu Okuyama,0.0255,Homem
Claiton Correa,0.0255,Homem
Matheus Lorenzato Braga,0.0255,Homem
Karin Komati,0.0255,Mulher
Victor Martins de Sousa,0.0255,Homem
Lucas Mudo de Araújo,0.0255,Homem
Carlos A. Silva,0.0255,Homem
Silvia de Castro Bertagnolli,0.0255,Mulher
Marcelo Augusto Rauh Schimitt,0.0255,Homem
Lilian Stavizki,0.0255,Mulher
Anderson Souza,0.0218,Homem
André G. Pereira,0.0218,Homem
Letícia Hümmelgen,0.0218,Mulher
