Autor,Grau (Centralidade),Gênero
Vinicius F. Santos,0.0281,Homem
Erickson R. Nascimento,0.0281,Homem
Fernando Magno Quintão Pereira,0.0225,Homem
Luciana S. Buriol,0.0169,Mulher
Anderson Rocha,0.0169,Homem
Phablo F. S. Moura,0.0169,Homem
Mario F. M. Campos,0.0169,Homem
Jayme L. Szwarcfiter,0.0169,Homem
Tanilson D. Santos,0.0169,Homem
Claudson Bornstein,0.0169,Homem
Uéverton S. Souza,0.0169,Homem
Daniel M. Palomino,0.0169,Homem
Caroline Collange,0.0169,Mulher
Marcelo S. Porto,0.0169,Homem
Bruno Zatt,0.0169,Homem
Wagner I. Penny,0.0169,Homem
Marcos Yukio Siraichi,0.0169,Homem
