Comunidade_ID,Homem,Mulher,Total_Comunidade
0,5,1,6
1,6,3,9
2,2,12,14
3,4,13,17
4,15,6,21
5,9,4,13
6,16,18,34
7,3,11,14
8,8,16,24
9,17,5,22
10,2,17,19
11,13,6,19
