Autor,Grau (Centralidade),Gênero
Uéverton S. Souza,0.0314,Homem
Celina M. H. de Figueiredo,0.0262,Mulher
Vinicius F. Santos,0.0262,Homem
Jayme L. Szwarcfiter,0.0262,Homem
Fernando Magno Quintão Pereira,0.0262,Homem
Erickson R. Nascimento,0.0209,Homem
Mirella M. Moro,0.0209,Mulher
Leonardo Rocha,0.0209,Homem
Flávio K. Miyazawa,0.0209,Homem
Caroline Collange,0.0157,Mulher
Marcos Yukio Siraichi,0.0157,Homem
Wagner I. Penny,0.0157,Homem
Marcelo S. Porto,0.0157,Homem
Alexsander A. de Melo,0.0157,Homem
Ana Silva,0.0157,Mulher
Claudson F. Bornstein,0.0157,Homem
Bruno Zatt,0.0157,Homem
Tanilson D. Santos,0.0157,Homem
Daniel M. Palomino,0.0157,Homem
