Autor,Grau (Centralidade),Gênero
Luis Rivero,0.0161,Homem
Denis Rosário,0.0139,Homem
Adenauer Yamin,0.0121,Homem
Cristiano Maciel,0.0111,Homem
Maristela Holanda,0.0107,Mulher
Mirella M. Moro,0.0096,Mulher
Eduardo Cerqueira,0.0093,Homem
Carla Castanho,0.0089,Mulher
Anna Beatriz Marques,0.0082,Mulher
João Gabriel R. Silva,0.0082,Homem
Fabrício A. Silva,0.0079,Homem
Roberta B. Oliveira,0.0079,Mulher
Rosiane Freitas,0.0079,Mulher
Francisco Airton Silva,0.0079,Homem
Janaina Gomide,0.0079,Mulher
Jorge Barbosa,0.0075,Homem
Thais Batista,0.0071,Mulher
Luciana B. Frigo,0.0071,Mulher
Isabela Gasparini,0.0071,Mulher
Leonardo Rocha,0.0071,Homem
Flávia Villela,0.0068,Mulher
Michele A. Brandão,0.0068,Mulher
Helder Oliveira,0.0064,Homem
Renata Reiser,0.0064,Mulher
Geraldo Braz Junior,0.0064,Homem
Thais R. M. B. Silva,0.0064,Mulher
Jayme L. Szwarcfiter,0.0064,Homem
Rafael Gomes,0.0064,Mulher
Davi Viana,0.0061,Homem
Jacilane de H. Rabelo,0.0061,Mulher
Vinicius F. Santos,0.0057,Homem
Julia Godinho,0.0057,Mulher
Carlos R. Beleti Junior,0.0057,Homem
Silvia Amelia Bim,0.0057,Mulher
Rodrigo Pereira dos Santos,0.0057,Homem
Giorgia O. Mattos,0.0054,Mulher
Josilene A. Moreira,0.0054,Mulher
Gabriel SantClair,0.0054,Homem
Augusto Neto,0.0054,Homem
Rebeca de Jesus Brandão,0.0054,Mulher
João Lopes,0.0054,Homem
Carlos A. Silva,0.0054,Homem
Carla Cavalcante Koike,0.005,Mulher
Aleteia P. F. Araujo,0.005,Mulher
Amanda Meincke Melo,0.005,Mulher
Esdras Bispo Jr.,0.005,Homem
Carla Rodriguez,0.005,Mulher
Daniel Menasch,0.005,Homem
Aleteia Araujo,0.005,Mulher
Daniela Eloise Flôr,0.005,Mulher
Fábio Botler,0.005,Homem
Elisa Rocha,0.0046,Mulher
Valeria Nunes Belmonte,0.0046,Mulher
Milena Estanislau,0.0046,Mulher
Francisco Campos,0.0046,Homem
Maria Eduarda Brandão,0.0046,Mulher
Denise Siloto,0.0046,Mulher
Letícia Gindri,0.0046,Mulher
Guilherme Mota,0.0046,Homem
Fernanda Pires,0.0046,Mulher
Laura Emmanuella de Oliveira,0.0046,Mulher
Júlia Marotti,0.0046,Mulher
Beatriz Becker,0.0046,Mulher
Mateus Coelho Silva,0.0046,Homem
Maria Adriana V. Lima,0.0046,Mulher
Marina da S. Rocha,0.0046,Mulher
Raquel da Silva Cabral,0.0046,Mulher
Everton Cavalcante,0.0046,Homem
Lilian Giselly Pereira Santos,0.0046,Mulher
Camila Sass,0.0046,Mulher
Luciana Foss,0.0046,Mulher
Tabatta Martins,0.0046,Mulher
Camila Laricchia,0.0046,Mulher
Claudia Santos Fernandes,0.0043,Mulher
Diane Rosa da Silva,0.0043,Mulher
Hugo Santos,0.0043,Homem
Gabriel Costa,0.0043,Homem
Catarina Costa,0.0043,Mulher
Denise Goya,0.0043,Mulher
Luana Arfux de Castro Nogueira,0.0043,Mulher
Maria Eduarda Alves Barbosa,0.0043,Mulher
Marcia Ferreira Cristaldo,0.0043,Mulher
Clara Scatena da Silva,0.0043,Mulher
Giovanna Mara Paes Franco,0.0043,Mulher
Maria Victoria S. Fiori,0.0043,Mulher
Marta Luzzi,0.0043,Mulher
Eunice Pereira dos Santos Nunes,0.0043,Mulher
Carla Koike,0.0043,Mulher
Celina M. H. de Figueiredo,0.0043,Mulher
Danyllo W. Albuquerque,0.0043,Homem
Karin Komati,0.0043,Mulher
Nayara Arruda Cunha,0.0043,Mulher
Amanda Raynara Quintana Theodoro,0.0043,Mulher
Reinaldo B. Braga,0.0043,Homem
Alice Barbosa do Couto,0.0043,Mulher
Bianca Fernandes Ribas,0.0043,Mulher
Ariadne Nicoly Mori de Paula,0.0043,Mulher
Kennedy Nunes,0.0043,Homem
Bianca P. Castro,0.0043,Mulher
Simara Rocha,0.0043,Mulher
Nathasha Pinto,0.0043,Mulher
Alana Araujo,0.0043,Mulher
Thalia S. Santana,0.0039,Mulher
Fabíola Pantoja O. Araujo,0.0039,Mulher
Alice Lima,0.0039,Mulher
Diana Sasaki,0.0039,Mulher
Maria Elanne M. Rodrigues,0.0039,Mulher
Fabiano Oliveira,0.0039,Homem
Adenauer Correa Yamin,0.0039,Homem
Brenno Nascimento,0.0039,Homem
Lívia M. C. Campos,0.0039,Mulher
Juliana Maria Oliveira dos Santos,0.0039,Mulher
Carla Santos de Oliveira,0.0039,Mulher
Claudia Motta,0.0039,Mulher
Carina Oliveira,0.0039,Mulher
Lucas L. Silva,0.0039,Homem
Renan Vinicius Aranha,0.0039,Homem
Thelma E. Colanzi,0.0039,Mulher
Aline Vieira de Mello,0.0039,Mulher
Edson OliveiraJr,0.0039,Homem
Felipe Silva,0.0039,Homem
Cleon X. Pereira Junior,0.0039,Homem
Jean Araujo,0.0036,Homem
Marcela Pessoa,0.0036,Mulher
Lidia Ferreira,0.0036,Mulher
Adriano Braga,0.0036,Homem
Melissa Lins,0.0036,Mulher
Rita Cristina Galarraga Berardi,0.0036,Mulher
Larissa Pessoa,0.0036,Mulher
Ana Silva,0.0036,Mulher
Elaine H. T. Oliveira,0.0036,Mulher
Eliana Almeida,0.0036,Mulher
Matheus D. de Oliveira,0.0036,Homem
Stefany Pinheiro,0.0036,Mulher
Rosimeire Santana,0.0036,Mulher
Rafaela V. Rocha,0.0036,Mulher
Andréa Sabedra Bordin,0.0036,Mulher
Gláucia Braga e Silva,0.0036,Mulher
Patrícia Araújo de Oliveira,0.0036,Mulher
Poliana Ferreira,0.0036,Mulher
Cleidson Souza,0.0036,Homem
Bruna Mariana F. de Souza,0.0036,Mulher
Lara Tenore,0.0036,Mulher
João Pinheiro,0.0036,Homem
Eduardo Henrique Molina da Cruz,0.0036,Homem
Beatriz Chicaroni,0.0036,Mulher
Natália de Assis Sousa,0.0036,Mulher
Marina Rocha,0.0036,Mulher
Sylvana Karla S. L. Santos,0.0036,Mulher
Alice Borges,0.0036,Mulher
Felipe Rocha,0.0036,Homem
Cristiano A. da Costa,0.0036,Homem
Taciana Pontual Falcão,0.0036,Mulher
Carlos Portela,0.0036,Homem
Kamila Almeida Benevides,0.0036,Mulher
Lauana M. C. de Oliveira,0.0036,Mulher
Carla Ilane Moreira Bezerra,0.0036,Mulher
Ester de Lima Pontes Andrade,0.0036,Mulher
Kelly Bianca Araujo Silva,0.0036,Mulher
Luana Júlia Nunes Ferreira,0.0036,Mulher
Felipe Assis,0.0032,Homem
Bruno Mota,0.0032,Homem
Alexandra Zimpeck,0.0032,Mulher
Flávio K. Miyazawa,0.0032,Homem
Renata Hax Sander Reiser,0.0032,Mulher
André Barreto,0.0032,Homem
Felipe Araújo,0.0032,Homem
Thaíse Costa,0.0032,Mulher
Andréia Antloga,0.0032,Mulher
Wladimir Araújo Tavares,0.0032,Homem
Johnny Marques,0.0032,Homem
Andre Aquino,0.0032,Homem
Ricardo F. Vilela,0.0032,Homem
Lana Gomes,0.0032,Mulher
Simone R. S. Souza,0.0032,Mulher
Filipe C. Fernandes,0.0032,Homem
Alinne C. Correa Souza,0.0032,Mulher
Orlando Lee,0.0032,Homem
Gustavo Callou,0.0032,Homem
Emanuel Coutinho,0.0032,Homem
Jerffeson Souza,0.0032,Homem
Sandra Oliveira,0.0032,Homem
Ana Sofia S. Silvestre,0.0032,Mulher
Ubiratan Bezerra,0.0032,Homem
Alexandre Cezar,0.0032,Homem
Ayslan Trevizan Possebom,0.0032,Homem
Jean Moraes,0.0032,Homem
Maria Tostes,0.0032,Mulher
Ermeson Andrade,0.0032,Homem
Allysson Allex Araújo,0.0032,Homem
Vanessa Dantas,0.0032,Mulher
Alan Fernandes,0.0032,Homem
Laura L. A. O. Campos,0.0032,Mulher
Ana Júlia L. Briceño,0.0032,Mulher
João Victor Moreira,0.0032,Homem
Raquel Lopes,0.0032,Homem
Tais A. Oliveira,0.0032,Mulher
Luísa M. Laboissiere,0.0032,Mulher
Ana Luísa S. Milson,0.0032,Mulher
Thiago G. de Almeida,0.0032,Homem
Marcella D. Ferreira,0.0032,Mulher
Alex B. Vieira,0.0032,Homem
Thamires P. Silva,0.0032,Mulher
Karina Castelo Branco,0.0032,Mulher
Reginaldo Santos,0.0032,Homem
Lucas Ferreira,0.0032,Homem
Ramayane B. Braga,0.0032,Mulher
Silvia Bim,0.0032,Mulher
Natália C. Louzada,0.0032,Mulher
Nicolás Hidalgo,0.0029,Homem
Steffane de Oliveira Castro,0.0029,Mulher
Thiago Paiva Freire,0.0029,Homem
Joel J. P. C. Rodrigues,0.0029,Homem
Marcelly Beatriz dos Santos Silva,0.0029,Mulher
Iure Fé,0.0029,Homem
Simone Azevedo Bandeira de Melo Aquino,0.0029,Mulher
Sara L. de Farias,0.0029,Mulher
Maria Luiza Correia Oliveira Lima,0.0029,Mulher
Noemy Roberta de Oliveira Silva,0.0029,Mulher
Eduardo Grampín,0.0029,Homem
Ariany Almeida Maia,0.0029,Mulher
Rebeca Oliveira Correia Queiroz,0.0029,Mulher
Gil Andrade,0.0029,Homem
Erika Rosas,0.0029,Mulher
Mirko Perkusich,0.0029,Homem
Thalia de Oliveira Santos,0.0029,Mulher
Indra Matsiendra C. D. Ribeiro,0.0029,Mulher
Izabela A. Andrade,0.0029,Mulher
Julia M. M. Gonçalves,0.0029,Mulher
Márcia Oliveira,0.0029,Mulher
Israely Lima,0.0029,Mulher
