Autor,Grau (Centralidade),Gênero
Pedro C. Chaaban,0.0029,Homem
Vanessa Petró,0.0029,Mulher
Jonathan C. F. da Silva,0.0029,Homem
Rafael Santos,0.0029,Homem
Fernanda Mota,0.0029,Mulher
Alexandre B. Gomes,0.0029,Homem
Clara Marques Bodart,0.0029,Mulher
Wemilly Maria Rodrigues Leite de Souza,0.0029,Mulher
Paulo R. Coelho,0.0029,Homem
Daniel H. Dalip,0.0029,Homem
Rafael Pasquini,0.0029,Homem
Waleska Gonçalves de Lima,0.0029,Mulher
Rodrigo S. Miani,0.0029,Homem
Sabrina Bourscheid Sassi,0.0029,Mulher
Barbara de Lima,0.0029,Mulher
Vinicius R. P. Borges,0.0029,Homem
Javier Baliosian,0.0029,Homem
Giovanna Almeida Vieira,0.0029,Mulher
Martín Gutiérrez,0.0029,Homem
Ana Carolina Nesso Guedes,0.0029,Mulher
Ricardo A. R. Oliveira,0.0029,Homem
Antônio Alberti,0.0029,Homem
Paulo H. A. Pereira,0.0029,Homem
Rafael F. Vieira,0.0029,Homem
Diego L. Cardoso,0.0029,Homem
Igor W. A. Falcão,0.0029,Homem
Jefferson Andrade,0.0029,Homem
Clevi Rapkiewicz,0.0029,Mulher
Diego Hoss,0.0029,Homem
Rafael A. P. de Oliveira,0.0029,Homem
Tanara Lauschner,0.0029,Mulher
Suelen M. de Paula,0.0029,Mulher
Nathalia G. Teixeira,0.0029,Mulher
Rafael Ferreira Mello,0.0029,Homem
Antônio Pereira,0.0029,Homem
Rodrigo R. Righi,0.0029,Homem
Laécio Rodrigues,0.0029,Homem
Marcelino S. da Silva,0.0029,Homem
André R. Ortoncelli,0.0029,Homem
Bruno Gadelha,0.0025,Homem
Julia Luiza da Conceição,0.0025,Mulher
Matheus Bessa,0.0025,Homem
Simone André da Costa Cavalheiro,0.0025,Mulher
Adriana Nogueira,0.0025,Mulher
Raquel S. Cabral,0.0025,Mulher
Alessandra Martins Coelho,0.0025,Mulher
Manoel Campêlo,0.0025,Homem
Guilherme Melquíades,0.0025,Homem
Júlia Oliveira,0.0025,Mulher
