Autor,Grau (Centralidade),Gênero
Cristiano Maciel,0.0419,Homem
Maristela Holanda,0.0372,Mulher
Carla Castanho,0.0357,Mulher
Mirella M. Moro,0.0341,Mulher
Roberta B. Oliveira,0.0341,Mulher
Luciana B. Frigo,0.031,Mulher
Isabela Gasparini,0.031,Mulher
Anna Beatriz Marques,0.0295,Mulher
Michele A. Brandão,0.0264,Mulher
Silvia Amelia Bim,0.0233,Mulher
Carla Cavalcante Koike,0.0217,Mulher
Aleteia P. F. Araujo,0.0217,Mulher
Aleteia Araujo,0.0217,Mulher
Amanda Meincke Melo,0.0217,Mulher
Rosiane Freitas,0.0202,Mulher
Carla Rodriguez,0.0202,Mulher
Francisco Campos,0.0202,Homem
Janaina Gomide,0.0202,Mulher
Gabriel SantClair,0.0202,Homem
Julia Godinho,0.0202,Mulher
Júlia Marotti,0.0202,Mulher
Raquel da Silva Cabral,0.0202,Mulher
Letícia Gindri,0.0202,Mulher
Beatriz Becker,0.0202,Mulher
Maria Eduarda Brandão,0.0202,Mulher
Maria Adriana V. Lima,0.0202,Mulher
Denise Siloto,0.0202,Mulher
Laura Emmanuella de Oliveira,0.0202,Mulher
Valeria Nunes Belmonte,0.0202,Mulher
Camila Laricchia,0.0202,Mulher
Elisa Rocha,0.0202,Mulher
Tabatta Martins,0.0202,Mulher
Milena Estanislau,0.0202,Mulher
Camila Sass,0.0202,Mulher
Lilian Giselly Pereira Santos,0.0202,Mulher
Flávia Villela,0.0202,Mulher
Marina da S. Rocha,0.0202,Mulher
Diane Rosa da Silva,0.0186,Mulher
Maria Eduarda Alves Barbosa,0.0186,Mulher
Clara Scatena da Silva,0.0186,Mulher
Amanda Raynara Quintana Theodoro,0.0186,Mulher
Ariadne Nicoly Mori de Paula,0.0186,Mulher
Marta Luzzi,0.0186,Mulher
Josilene A. Moreira,0.0186,Mulher
Giorgia O. Mattos,0.0186,Mulher
Carla Koike,0.0186,Mulher
Nayara Arruda Cunha,0.0186,Mulher
Giovanna Mara Paes Franco,0.0186,Mulher
Alice Barbosa do Couto,0.0186,Mulher
Bianca Fernandes Ribas,0.0186,Mulher
Eunice Pereira dos Santos Nunes,0.0186,Mulher
Maria Victoria S. Fiori,0.0186,Mulher
Marcia Ferreira Cristaldo,0.0186,Mulher
Luana Arfux de Castro Nogueira,0.0186,Mulher
Claudia Santos Fernandes,0.0186,Mulher
Alice Lima,0.0171,Mulher
Aline Vieira de Mello,0.0171,Mulher
Melissa Lins,0.0155,Mulher
Poliana Ferreira,0.0155,Mulher
Rosimeire Santana,0.0155,Mulher
Rafaela V. Rocha,0.0155,Mulher
Kelly Bianca Araujo Silva,0.0155,Mulher
Bruna Mariana F. de Souza,0.0155,Mulher
Natália de Assis Sousa,0.0155,Mulher
