Autor,Grau (Centralidade),Gênero
Francisco Airton Silva,0.1189,Homem
Alex B. Vieira,0.0486,Homem
Daniel Menasch,0.0486,Homem
Ermeson Andrade,0.0486,Homem
Laécio Rodrigues,0.0432,Homem
Iure Fé,0.0432,Homem
Gabriel Alves,0.0378,Homem
Denis Rosário,0.0378,Homem
Eduardo Cerqueira,0.0378,Homem
Italo Cunha,0.0324,Homem
Júlio Mendonça,0.0324,Homem
Isaac Barros,0.027,Homem
Wendel Serra,0.027,Homem
Michele A. Brandão,0.027,Mulher
Mônica Ferreira da Silva,0.027,Mulher
Jonice Oliveira,0.027,Mulher
Luiz Paulo Carvalho,0.027,Homem
Silas Lima Filho,0.027,Homem
