Autor,Grau (Centralidade),Gênero
Adenauer Yamin,0.119,Homem
Denis Rosário,0.1115,Homem
Fabrício A. Silva,0.0818,Homem
Eduardo Cerqueira,0.0743,Homem
Thais R. M. B. Silva,0.0669,Mulher
Augusto Neto,0.0558,Homem
Helder Oliveira,0.0483,Homem
Jorge Barbosa,0.0483,Homem
Rafael Gomes,0.0409,Mulher
Renata Reiser,0.0409,Mulher
Cristiano A. da Costa,0.0372,Homem
Lucas Ferreira,0.0335,Homem
Felipe Araújo,0.0335,Homem
Eduardo Grampín,0.0297,Homem
Andre Aquino,0.0297,Homem
Rodrigo R. Righi,0.0297,Homem
Joel J. P. C. Rodrigues,0.0297,Homem
João Lopes,0.0297,Homem
Fernanda Mota,0.0297,Mulher
Rafael Pasquini,0.0297,Homem
Rodrigo S. Miani,0.0297,Homem
Erika Rosas,0.0297,Mulher
Javier Baliosian,0.0297,Homem
Paulo R. Coelho,0.0297,Homem
Antônio Alberti,0.0297,Homem
Alexandra Zimpeck,0.0297,Mulher
Martín Gutiérrez,0.0297,Homem
