Autor,Grau (Centralidade),Gênero
Luis Rivero,0.0599,Homem
Geraldo Braz Junior,0.0276,Homem
Luciana Foss,0.02,Mulher
Alana Araujo,0.0184,Mulher
Kennedy Nunes,0.0184,Homem
Reinaldo B. Braga,0.0184,Homem
Simara Rocha,0.0184,Mulher
Nathasha Pinto,0.0184,Mulher
Gabriel Costa,0.0184,Homem
Janaina Gomide,0.0184,Mulher
Carlos R. Beleti Junior,0.0184,Homem
Edson OliveiraJr,0.0169,Homem
Davi Viana,0.0169,Homem
Daniela Eloise Flôr,0.0169,Mulher
Felipe Silva,0.0169,Homem
Thelma E. Colanzi,0.0169,Mulher
Carina Oliveira,0.0169,Mulher
Brenno Nascimento,0.0169,Homem
Carlos Portela,0.0154,Homem
Taciana Pontual Falcão,0.0154,Mulher
João Pinheiro,0.0154,Homem
João Victor Moreira,0.0138,Homem
Juliana Maria Oliveira dos Santos,0.0138,Mulher
Alinne C. Correa Souza,0.0138,Mulher
Wladimir Araújo Tavares,0.0138,Homem
Simone R. S. Souza,0.0138,Mulher
Renan Vinicius Aranha,0.0123,Homem
Mirko Perkusich,0.0123,Homem
Catarina Costa,0.0123,Mulher
Rafael Santos,0.0123,Homem
Alexandre B. Gomes,0.0123,Homem
Danyllo W. Albuquerque,0.0123,Homem
Jacilane de H. Rabelo,0.0123,Mulher
Pedro C. Chaaban,0.0123,Homem
Marina Rocha,0.0123,Mulher
Israely Lima,0.0123,Mulher
Cleon X. Pereira Junior,0.0123,Homem
André R. Ortoncelli,0.0123,Homem
Jerffeson Souza,0.0123,Homem
Rafael A. P. de Oliveira,0.0123,Homem
Gil Andrade,0.0123,Homem
Lucas L. Silva,0.0123,Homem
Diego Hoss,0.0123,Homem
Italo Dovera,0.0108,Homem
Matheus Bessa,0.0108,Homem
Júlia Oliveira,0.0108,Mulher
Christiane G. von Wangenheim,0.0108,Mulher
Antonio J. R. Castro,0.0108,Homem
Jonas B. C. Máximo,0.0108,Homem
Camila D. Guerra,0.0108,Mulher
Adriana Nogueira,0.0108,Mulher
Jefferson Nogueira,0.0108,Homem
Flávia Villela,0.0108,Mulher
Maikon Costa,0.0108,Homem
Simone Cavalheiro,0.0108,Mulher
Rafael Gomes,0.0108,Mulher
Elaine H. T. Oliveira,0.0108,Mulher
Esdras Bispo Jr.,0.0108,Homem
Ana Júlia Taqueuti,0.0108,Mulher
Marianna Severo,0.0108,Mulher
Maria Simone Nunes,0.0108,Mulher
Ricardo Anchieta,0.0108,Homem
Andrea Charão,0.0108,Mulher
Renata Reiser,0.0108,Mulher
Placida Oliveira,0.0108,Mulher
