Autor,Grau (Centralidade),Gênero
Jayme L. Szwarcfiter,0.062,Homem
Guilherme Mota,0.0537,Homem
Fábio Botler,0.0496,Homem
Diana Sasaki,0.0455,Mulher
Vinicius F. Santos,0.0455,Homem
Alexandre Cezar,0.0372,Homem
Carla N. Lintzmayer,0.0289,Mulher
Ana Karolina Maia,0.0289,Mulher
Diane Castonguay,0.0289,Mulher
Manoel Campêlo,0.0289,Homem
Ana Silva,0.0289,Mulher
Celina M. H. de Figueiredo,0.0289,Mulher
Fabiano Oliveira,0.0289,Homem
Vinicius Fernandes dos Santos,0.0248,Homem
Teobaldo Bulhões,0.0248,Homem
Cláudia Linhares Sales,0.0248,Mulher
Carlos V. G. C. Lima,0.0248,Homem
Lucas Colucci,0.0248,Homem
Orlando Lee,0.0207,Homem
Flávio K. Miyazawa,0.0207,Homem
Jonas Costa,0.0207,Homem
Cláudio Carvalho,0.0207,Homem
Leandro M. Zatesko,0.0207,Homem
Raquel Lopes,0.0207,Homem
