Autor,Grau (Centralidade),Gênero
João Gabriel R. Silva,0.0648,Homem
Karin Komati,0.0405,Mulher
Carlos A. Silva,0.0324,Homem
Letícia C. T. Nascimento,0.0283,Mulher
Ana Luisa D. Almeida,0.0283,Mulher
Isabele B. Prates,0.0283,Mulher
Pedro H. O. Souza,0.0283,Homem
Gabriel C. Carrara,0.0283,Homem
Marcelo Augusto Rauh Schimitt,0.0283,Homem
André Peres,0.0283,Homem
Fernanda Nunes Deitos,0.0283,Mulher
Fábio Yoshimitsu Okuyama,0.0283,Homem
Lilian Stavizki,0.0283,Mulher
Claiton Correa,0.0283,Homem
Márcia Häfele Islabão Franco,0.0283,Mulher
Silvia de Castro Bertagnolli,0.0283,Mulher
Thiago G. de Almeida,0.0283,Homem
Marlon Carvalho Mariano,0.0283,Homem
Renato C. Cani,0.0283,Homem
Guilherme Á. R. M. Esmeraldo,0.0283,Homem
Harley M. de Mello,0.0283,Homem
Yuri D. Santos,0.0283,Homem
Robson G. Fechine Feitosa,0.0283,Homem
Danyllo W. Albuquerque,0.0283,Homem
