Autor1,Gênero_Autor1,Autor2,Gênero_Autor2,Peso
Alexandre Scaico,Homem,Juliana Aragão,Mulher,1
Alexandre Scaico,Homem,Willams Pinto Ferreira,Homem,1
Alexandre da Rosa,Homem,Andreia de Jesus,Mulher,1
Alexandre da Rosa,Homem,Gabriel Vaz Igarashi,Homem,1
Alexandre da Rosa,Homem,Vinicius Struginski Pereira,Homem,1
Alice Barbosa,Mulher,Carina Oliveira,Mulher,1
Alice Barbosa,Mulher,Daniel Saraiva,Homem,1
Alice Barbosa,Mulher,Mércia Ferreira,Mulher,1
Alice Barbosa,Mulher,Reinaldo B. Braga,Homem,1
Aline Amaral,Mulher,André F. R. Cordeiro,Homem,1
Aline Amaral,Mulher,Edson OliveiraJr,Homem,1
Aline Amaral,Mulher,João Choma Neto,Homem,1
Aline Amaral,Mulher,Simone R. S. Souza,Mulher,1
Aline Amaral,Mulher,Thelma E. Colanzi,Mulher,1
Aline M. M. M. Amaral,Mulher,Edson OliveiraJr,Homem,1
Aline M. M. M. Amaral,Mulher,Giovanna Bettin,Mulher,1
Aline M. M. M. Amaral,Mulher,Gislaine C. L. Leal,Mulher,1
Aline M. M. M. Amaral,Mulher,Julio B. Herculani,Homem,1
Aline M. M. M. Amaral,Mulher,Marcelo Y. Shigenaga,Homem,1
Aline M. M. M. Amaral,Mulher,Renato Balancieri,Homem,1
Aline M. M. M. Amaral,Mulher,Thelma E. Colanzi,Mulher,1
Aline de S. M. dos Santos,Mulher,Rozelma Soares de França,Mulher,1
Aline de S. M. dos Santos,Mulher,Wellington G. Pereira,Homem,1
Alirio Santos de Sá,Homem,Ana Carolina Sokolonski,Mulher,1
Alirio Santos de Sá,Homem,Raimundo José de Araújo Macêdo,Homem,1
Allan K. Barros,Homem,Davi Viana,Homem,1
Allan K. Barros,Homem,João B. Bottentuit Junior,Homem,1
Allan K. Barros,Homem,Luis Rivero,Homem,1
Allan Mori,Homem,Italo Santos,Homem,1
Allan Mori,Homem,Simone R. S. Souza,Mulher,1
Allan Veras,Homem,Bruno Merlin,Homem,1
Allan Veras,Homem,Heleno Fülber,Homem,1
Allan Veras,Homem,João Ferreira,Homem,1
Allan Veras,Homem,Leonardo Zamprogno,Homem,1
Allysson Allex Araújo,Homem,Emanuel Coutinho,Homem,1
Allysson Allex Araújo,Homem,Francisco Gomes,Homem,1
Allysson Allex Araújo,Homem,Jerffeson Souza,Homem,1
Allysson Allex Araújo,Homem,Saori Costa,Mulher,1
Almir de O. Costa Junior,Homem,José Anglada Rivera,Homem,1
Almir de Oliveira Costa Junior,Homem,Lucimara Cruz de Souza,Mulher,1
Aluizio Filho,Homem,André Raabe,Homem,1
Aluizio Filho,Homem,Luiz Noschang,Homem,1
Alzira Ferreira da Silva,Mulher,Antônio Cezar de Castro Lima,Homem,1
Alzira Ferreira da Silva,Mulher,João Vitor Ferraz,Homem,1
Alzira Ferreira da Silva,Mulher,Matheus Lima Viana,Homem,1
Alzira Ferreira da Silva,Mulher,Maísa Soares dos Santos Lopes,Mulher,1
Alzira Ferreira da Silva,Mulher,Rodrigo Silva Lima,Homem,1
Alzira Ferreira da Silva,Mulher,Roque Mendes Prado Trindade,Homem,1
Amanda Maria D. de Oliveira,Mulher,Flávia Roldan Viana,Mulher,1
Amanda Maria D. de Oliveira,Mulher,Gabriel Vieira Barreto,Homem,1
Amaury A. de Castro Jr.,Homem,Anderson C. Lima,Homem,1
Amaury A. de Castro Jr.,Homem,João Vítor M. Santos,Homem,1
Amaury A. de Castro Jr.,Homem,Pedro Enrique M. Santos,Homem,1
Amaury Antônio de Castro Junior,Homem,Anderson Corrêa de Lima,Homem,1
Amaury Antônio de Castro Junior,Homem,Luciana Montera Cheung,Mulher,1
Ana Barbosa,Mulher,Diego Hoss,Homem,1
Ana Barbosa,Mulher,Gil Andrade,Homem,1
Ana Barbosa,Mulher,Lana Gomes,Mulher,1
Ana Carolina Sokolonski,Mulher,Raimundo José de Araújo Macêdo,Homem,1
Ana Flávia C. Moura,Mulher,Andrea B. Nascimento,Mulher,1
Ana Flávia C. Moura,Mulher,Giorgia de O. Mattos,Mulher,1
Ana Flávia C. Moura,Mulher,Josilene A. Moreira,Mulher,1
Ana Inocêncio,Mulher,Caique Souza,Homem,1
Ana Inocêncio,Mulher,Esdras Bispo Jr.,Homem,1
Ana Inocêncio,Mulher,Lucas Costa,Homem,1
Ana Lucia Machado dos Santos,Mulher,David B. F. Oliveira,Homem,1
Ana Lucia Machado dos Santos,Mulher,Elaine H. T. Oliveira,Mulher,1
Ana Lucia Machado dos Santos,Mulher,Filipe Dwan Pereira,Homem,1
Ana Lucia Machado dos Santos,Mulher,Leandro S. G. Carvalho,Homem,1
Ana Luísa V. Solórzano,Mulher,Andrea Charão,Mulher,1
Ana Luísa V. Solórzano,Mulher,Rafael G. Trindade,Homem,1
Ana Paula Gonçalves Serra,Mulher,Francisco de Assis Zampirolli,Homem,1
Ana Paula Gonçalves Serra,Mulher,Leandro Silva Galvão de Carvalho,Homem,1
Ana Paula Gonçalves Serra,Mulher,Miguel Jonathan,Homem,1
Ana Paula Gonçalves Serra,Mulher,Ronaldo Celso Messias Correia,Homem,1
Ana Rita Mazzini,Mulher,Andre Du Bois,Homem,2
Ana Rita Mazzini,Mulher,Clause Piana,Mulher,2
Ana Rita Mazzini,Mulher,Johnny Marques,Homem,1
Ana Rita Mazzini,Mulher,Luciana Foss,Mulher,2
Ana Rita Mazzini,Mulher,Placida Oliveira,Mulher,1
Ana Rita Mazzini,Mulher,Renata Reiser,Mulher,2
Ana Rita Mazzini,Mulher,Simone Cavalheiro,Mulher,2
Ana Rita Mazzini,Mulher,Simão Martin,Homem,1
Ana Santos,Mulher,Elaine Oliveira,Mulher,1
Ana Santos,Mulher,Fabíola G. Nakamura,Mulher,1
Ana Santos,Mulher,Leandro Carvalho,Homem,1
Ana Solórzano,Mulher,Andrea Charão,Mulher,1
