Autor1,Gênero_Autor1,Autor2,Gênero_Autor2,Peso
Celina M. H. de Figueiredo,Mulher,Matheus N. Adauto,Homem,1
Claudson Bornstein,Homem,Jayme L. Szwarcfiter,Homem,2
Claudson Bornstein,Homem,José Wilson C. Pinto,Homem,1
Claudson Bornstein,Homem,Tanilson D. Santos,Homem,1
Claudson Bornstein,Homem,Ueverton Souza,Homem,1
Cláudia Linhares Sales,Mulher,Cláudio Carvalho,Homem,1
Cláudia Linhares Sales,Mulher,Efraim Rodrigues,Homem,1
Cláudia Linhares Sales,Mulher,Jonas Costa,Homem,1
Cláudia Linhares Sales,Mulher,Nicolas Nisse,Homem,1
Cláudia Linhares Sales,Mulher,Raul Lopes,Homem,1
Cláudio Carvalho,Homem,Jonas Costa,Homem,1
Cláudio Carvalho,Homem,Nicolas Nisse,Homem,1
Cláudio Carvalho,Homem,Raul Lopes,Homem,1
Cristina Fernandes,Mulher,Fábio Botler,Homem,1
Cristina Fernandes,Mulher,Juan Gutiérrez,Homem,1
Cristina Fernandes,Mulher,Mário César San Felice,Homem,2
Cristina Fernandes,Mulher,Rafael Pocai,Homem,1
Criston P. S.,Homem,Emanuel F. C.,Homem,1
Criston P. S.,Homem,Fábio C. S. D.,Homem,1
Criston P. S.,Homem,Paulo Henrique M. A.,Homem,1
Criston P. S.,Homem,Wallesson C. S.,Homem,1
Cândida Nunes da Silva,Mulher,Orlando Lee,Homem,2
Cândida Nunes da Silva,Mulher,Vinícius de Souza Carvalho,Homem,1
Cândida Silva,Mulher,Orlando Lee,Homem,1
Daniel O. Martínez-Rivillas,Homem,Ruy J. G. B. de Queiroz,Homem,1
Daniel Ratton Figueiredo,Homem,Pamela Tabak,Mulher,1
Denis G. Fantinato,Homem,Lucas F. Muniz,Homem,1
Diana Sasaki,Mulher,Ingrid Borchert,Mulher,1
Diana Sasaki,Mulher,Marcus T. Costa,Homem,1
Diana Sasaki,Mulher,Mariana M. F. da Cruz,Mulher,1
Diana Sasaki,Mulher,Matheus N. Adauto,Homem,1
Diana Sasaki,Mulher,Mauro N. Alves Junior,Homem,1
Diana Sasaki,Mulher,Mauro Nigro,Homem,2
Diana Sasaki,Mulher,Sérgio Fusquino,Homem,1
Diane Castonguay,Mulher,Luis Kowada,Homem,1
Diego P. Rubert,Homem,Eloi Araujo,Homem,1
Diego P. Rubert,Homem,Fábio H. V. Martinez,Homem,1
Diego P. Rubert,Homem,Helmuth O. M. Silva,Homem,1
Diego Rangel Piranga Costa,Homem,Phablo F. S. Moura,Homem,1
Diego Rangel Piranga Costa,Homem,Vinicius Fernandes dos Santos,Homem,1
Douglas Cordeiro,Homem,Maicon Lima,Homem,1
Douglas Cordeiro,Homem,Melque Henrique Castro,Homem,1
Douglas Cordeiro,Homem,Nubia Rosa da Silva,Mulher,1
Douglas Cordeiro,Homem,Thiago Leite,Homem,1
Edimar Bauer,Homem,Saulo Queiroz,Homem,1
Edson N. Cáceres,Homem,Rafael F. Schmid,Homem,1
Eduardo C. Xavier,Homem,Flávio K. Miyazawa,Homem,1
Eduardo C. Xavier,Homem,Pedro Amorim,Homem,1
Eduardo Candido Xavier,Homem,Flávio K. Miyazawa,Homem,1
Eloi Araujo,Homem,Fábio H. V. Martinez,Homem,1
Eloi Araujo,Homem,Helmuth O. M. Silva,Homem,1
Emanuel F. C.,Homem,Fábio C. S. D.,Homem,1
Emanuel F. C.,Homem,Paulo Henrique M. A.,Homem,1
Emanuel F. C.,Homem,Wallesson C. S.,Homem,1
Erika Coelho,Mulher,Márcia R. Cappelle,Mulher,1
Erika Coelho,Mulher,Otávio S. Mortosa,Homem,1
Fabiano Oliveira,Homem,Flavia Bonomo,Mulher,1
Fabiano Oliveira,Homem,Flavia Bonomo-Braberman,Mulher,1
Fabiano Oliveira,Homem,Jayme L. Szwarcfiter,Homem,5
Fabiano Oliveira,Homem,Juan P. A. Lopes,Homem,1
Fabiano Oliveira,Homem,Lívia S. Medeiros,Mulher,1
Fabiano Oliveira,Homem,María Pía Mazzoleni,Mulher,1
Fabiano Oliveira,Homem,Moysés S. Sampaio Jr.,Homem,3
Fabiano Oliveira,Homem,Paulo E. D. Pinto,Homem,1
Fabiano Oliveira,Homem,Raquel M. Souza,Mulher,1
Fabiano Oliveira,Homem,Valmir C. Barbosa,Homem,1
Fabiano Oliveira,Homem,Vitor T. F. de Luca,Homem,1
Fabiano de Souza Oliveira,Homem,Jayme L. Szwarcfiter,Homem,2
Fabiano de Souza Oliveira,Homem,Lívia Salgado Medeiros,Mulher,1
