Autor1,Gênero_Autor1,Autor2,Gênero_Autor2,Peso
Adriano Braga,Homem,Ianka Assis,Mulher,1
Adriano Braga,Homem,Letícia S. Camargo,Mulher,1
Adriano Braga,Homem,Maria Alice N. Silva,Mulher,1
Adriano Braga,Homem,Maria Isabela S. Nunes,Mulher,1
Adriano Braga,Homem,Natália C. Louzada,Mulher,3
Adriano Braga,Homem,Ramayane B. Braga,Mulher,3
Adriano Braga,Homem,Sara L. de Farias,Mulher,1
Adriano Braga,Homem,Thalia S. Santana,Mulher,4
Adrielly C. E. Dias,Mulher,Daniela C. Terra,Mulher,1
Adrielly C. E. Dias,Mulher,Isabella A. D. Melo,Mulher,1
Adrielly C. E. Dias,Mulher,Leticia M. M. S. Cheloni,Mulher,1
Adrielly C. E. Dias,Mulher,Raylla L. S. Gama,Mulher,1
Adrielly C. E. Dias,Mulher,Suelen M. de Paula,Mulher,1
Adrya Araújo,Mulher,Bruna Mariana F. de Souza,Mulher,2
Adrya Araújo,Mulher,Fabiola G. Nakamura,Mulher,2
Adrya Araújo,Mulher,Jeovana Leão,Mulher,2
Adrya Araújo,Mulher,Julis Figueira de Araújo,Homem,2
Adrya Araújo,Mulher,Kalil Ferreira,Homem,2
Adrya Araújo,Mulher,Mariana Barros,Mulher,2
Adrya Araújo,Mulher,Tanara Lauschner,Mulher,2
Agatha Alves Martins Rodrigues,Mulher,Ariadna Carreiro de Miranda,Mulher,1
Agatha Alves Martins Rodrigues,Mulher,Claudia Sousa Barbosa,Mulher,1
Agatha Alves Martins Rodrigues,Mulher,Lucas Lima Sousa Torres,Homem,1
Agatha Alves Martins Rodrigues,Mulher,Maria Rodrigues Gomes,Mulher,1
Agatha Alves Martins Rodrigues,Mulher,Simone de Oliveira Santos,Mulher,1
Alessandra Herranz Gazquez,Mulher,Regiane da Silva Macuch,Mulher,1
Alessandra Martins Coelho,Mulher,Gabriela Cardoso Montes,Mulher,1
Alessandra Martins Coelho,Mulher,Ivy Oliveira Magesti,Mulher,1
Alessandra Martins Coelho,Mulher,Julie Silva Pereira,Mulher,1
Alessandra Martins Coelho,Mulher,Luiza Rosa de Moura,Mulher,1
Alessandra Martins Coelho,Mulher,Nurian Maria Amâncio Coelho,Mulher,1
Aleteia Araujo,Mulher,Maristela Holanda,Mulher,1
Aleteia P. F. Araujo,Mulher,Alice Borges,Mulher,1
Aleteia P. F. Araujo,Mulher,Alice Lima,Mulher,1
Aleteia P. F. Araujo,Mulher,Ana Júlia L. Briceño,Mulher,1
Aleteia P. F. Araujo,Mulher,Ana Sofia S. Silvestre,Mulher,1
Aleteia P. F. Araujo,Mulher,Bianca P. Castro,Mulher,1
Aleteia P. F. Araujo,Mulher,Carla Castanho,Mulher,1
Aleteia P. F. Araujo,Mulher,Carla Cavalcante Koike,Mulher,3
Aleteia P. F. Araujo,Mulher,Fernanda de Sousa,Mulher,1
Aleteia P. F. Araujo,Mulher,Maria Eduarda Santos,Mulher,1
Aleteia P. F. Araujo,Mulher,Maristela Holanda,Mulher,3
Aleteia P. F. Araujo,Mulher,Roberta B. Oliveira,Mulher,3
Aleteia P. F. Araujo,Mulher,Tais A. Oliveira,Mulher,1
Aleteia P. F. Araujo,Mulher,Thamires P. Silva,Mulher,1
Aleteia P. F. Araujo,Mulher,Vinicius R. P. Borges,Homem,1
Aleteia Patricia Araujo,Mulher,Maristela Holanda,Mulher,1
Aleteia Patricia Araujo,Mulher,Thayanna Klysnney Moreira Nunes,Mulher,1
Aleteia Patrícia F. de Araújo,Mulher,Camila N. Soares,Mulher,1
Aleteia Patrícia F. de Araújo,Mulher,Guilherme N. Ramos,Homem,1
Aleteia Patrícia F. de Araújo,Mulher,Gustavo Couto,Homem,1
Aleteia Patrícia F. de Araújo,Mulher,Jan Mendonça Correa,Homem,1
Aleteia Patrícia F. de Araújo,Mulher,Leticia L. Leite,Mulher,1
Aleteia Patrícia F. de Araújo,Mulher,Lucas M. Chagas,Homem,1
Aleteia Patrícia F. de Araújo,Mulher,Luiza A. Hansen,Mulher,1
Aleteia Patrícia F. de Araújo,Mulher,Maria Clicia Steling de Castro,Mulher,1
Aleteia Patrícia F. de Araújo,Mulher,Maria Emília T. Walter,Mulher,2
Aleteia Patrícia F. de Araújo,Mulher,Maristela Holanda,Mulher,3
Aleteia Patrícia F. de Araújo,Mulher,Maristela Terto de Holanda,Mulher,1
Aleteia Patrícia F. de Araújo,Mulher,Marília Dantas,Mulher,1
Aleteia Patrícia F. de Araújo,Mulher,Rafaela Brum,Mulher,1
Aleteia Patrícia F. de Araújo,Mulher,Roberto Mourão,Homem,1
Aleteia Patrícia F. de Araújo,Mulher,Rosa Maria E. Moreira da Costa,Mulher,1
Aleteia Patrícia F. de Araújo,Mulher,Vera Maria B. Werneck,Mulher,1
Aleteia Patrícia F. de Araújo,Mulher,Vinicius R. P. Borges,Homem,1
Alexandre Martinazzo,Homem,Andrea Britto Mattos,Mulher,1
Alexandre Martinazzo,Homem,Marisa Vasconcelos,Mulher,1
Alexandre Martinazzo,Homem,Maysa M. G. Macedo,Mulher,1
Alexandre Martinazzo,Homem,Roseli Lopes,Mulher,1
Alice Barbosa do Couto,Mulher,Amanda Raynara Quintana Theodoro,Mulher,1
Alice Barbosa do Couto,Mulher,Ariadne Nicoly Mori de Paula,Mulher,1
Alice Barbosa do Couto,Mulher,Bianca Fernandes Ribas,Mulher,1
Alice Barbosa do Couto,Mulher,Clara Scatena da Silva,Mulher,1
Alice Barbosa do Couto,Mulher,Claudia Santos Fernandes,Mulher,1
Alice Barbosa do Couto,Mulher,Diane Rosa da Silva,Mulher,1
Alice Barbosa do Couto,Mulher,Giovanna Mara Paes Franco,Mulher,1
Alice Barbosa do Couto,Mulher,Luana Arfux de Castro Nogueira,Mulher,1
Alice Barbosa do Couto,Mulher,Marcia Ferreira Cristaldo,Mulher,1
Alice Barbosa do Couto,Mulher,Maria Eduarda Alves Barbosa,Mulher,1
Alice Barbosa do Couto,Mulher,Marta Luzzi,Mulher,1
Alice Barbosa do Couto,Mulher,Nayara Arruda Cunha,Mulher,1
Alice Borges,Mulher,Carla Cavalcante Koike,Mulher,1
Alice Borges,Mulher,Fernanda de Sousa,Mulher,1
Alice Borges,Mulher,Maristela Holanda,Mulher,1
Alice Borges,Mulher,Roberta B. Oliveira,Mulher,1
Alice F. Barbosa,Mulher,Carina Oliveira,Mulher,1
Alice F. Barbosa,Mulher,Helen Abdala R. Ferreira,Mulher,1
Alice F. Barbosa,Mulher,Marcia N. Viana,Mulher,1
Alice F. Barbosa,Mulher,Reinaldo B. Braga,Homem,1
Alice F. Finger,Mulher,Aline Vieira de Mello,Mulher,1
Alice F. Finger,Mulher,Andréa S. Bordin,Mulher,1
Alice F. Finger,Mulher,Letícia Gindri,Mulher,1
Alice Fonseca Finger,Mulher,Aline Vieira de Mello,Mulher,2
Alice Fonseca Finger,Mulher,Amanda Meincke Melo,Mulher,1
Alice Fonseca Finger,Mulher,Andréa Sabedra Bordin,Mulher,1
Alice Fonseca Finger,Mulher,Letícia Gindri,Mulher,1
Alice Lima,Mulher,Carla Cavalcante Koike,Mulher,1
Alice Lima,Mulher,Maria Eduarda Santos,Mulher,1
Alice Lima,Mulher,Maristela Holanda,Mulher,1
Alice Lima,Mulher,Roberta B. Oliveira,Mulher,1
Alice Lima,Mulher,Vinicius R. P. Borges,Homem,1
Aline Mello,Mulher,Amanda Melo,Mulher,1
Aline Mello,Mulher,Fláva Amim,Mulher,1
Aline Mello,Mulher,Isadora Ferrão,Mulher,1
Aline Mello,Mulher,Jaqueline Moura,Mulher,1
Aline Mello,Mulher,Karina Fernandes,Mulher,1
Aline Mello,Mulher,Ketrin Vargas,Mulher,1
Aline Vieira de Mello,Mulher,Amanda Meincke Melo,Mulher,2
Aline Vieira de Mello,Mulher,Andréa S. Bordin,Mulher,1
Aline Vieira de Mello,Mulher,Andréa Sabedra Bordin,Mulher,1
Aline Vieira de Mello,Mulher,Isadora Garcia Ferrão,Mulher,1
Aline Vieira de Mello,Mulher,Letícia Gindri,Mulher,2
Allan Thales Ramos de Oliveira,Homem,Ana Carolina Cerqueira Ferreira,Mulher,1
Allan Thales Ramos de Oliveira,Homem,Débora Abdalla Santos,Mulher,1
Allan Thales Ramos de Oliveira,Homem,Ecivaldo de Souza Matos,Homem,1
Allan Thales Ramos de Oliveira,Homem,Juliana M. Oliveira dos Santos,Mulher,1
Amanda Martins,Mulher,Ayla Rebouças,Mulher,1
Amanda Martins,Mulher,Joana Silva,Mulher,1
Amanda Martins,Mulher,Joyce Santos,Mulher,1
Amanda Meincke Melo,Mulher,Aíla Maciel,Mulher,1
Amanda Meincke Melo,Mulher,Isadora Garcia Ferrão,Mulher,1
Amanda Meincke Melo,Mulher,Ketrin Diovana Alves Rodrigues Vargas,Mulher,1
Amanda Meincke Melo,Mulher,Letícia Gindri,Mulher,2
Amanda Meincke Melo,Mulher,Marina Braun Otokovieski,Mulher,1
Amanda Meincke Melo,Mulher,Patrícia Araújo de Oliveira,Mulher,1
Amanda Meincke Melo,Mulher,Raniely dos Anjos,Mulher,1
Amanda Melo,Mulher,Isadora Ferrão,Mulher,1
Amanda Raynara Quintana Theodoro,Mulher,Ariadne Nicoly Mori de Paula,Mulher,1
Amanda Raynara Quintana Theodoro,Mulher,Bianca Fernandes Ribas,Mulher,1
Amanda Raynara Quintana Theodoro,Mulher,Clara Scatena da Silva,Mulher,1
Amanda Raynara Quintana Theodoro,Mulher,Claudia Santos Fernandes,Mulher,1
Amanda Raynara Quintana Theodoro,Mulher,Diane Rosa da Silva,Mulher,1
Amanda Raynara Quintana Theodoro,Mulher,Giovanna Mara Paes Franco,Mulher,1
Amanda Raynara Quintana Theodoro,Mulher,Luana Arfux de Castro Nogueira,Mulher,1
Amanda Raynara Quintana Theodoro,Mulher,Marcia Ferreira Cristaldo,Mulher,1
Amanda Raynara Quintana Theodoro,Mulher,Maria Eduarda Alves Barbosa,Mulher,1
Amanda Raynara Quintana Theodoro,Mulher,Marta Luzzi,Mulher,1
Amanda Raynara Quintana Theodoro,Mulher,Nayara Arruda Cunha,Mulher,1
Amanda Saccol,Mulher,Carla Castanho,Mulher,1
Amanda Saccol,Mulher,Eduardo Silva,Homem,1
Amanda Saccol,Mulher,Eduardo Spies,Homem,1
Amanda Saccol,Mulher,Victor Alves,Homem,1
Amanda Vilas Boas Oliveira,Mulher,Felipe de Melo Santos,Homem,1
Amanda Vilas Boas Oliveira,Mulher,Guilherme Gonçalves da Silva,Homem,1
Amanda Vilas Boas Oliveira,Mulher,Lucas Almeida Silva,Homem,1
Amanda Vilas Boas Oliveira,Mulher,Queilane da Conceição Rocha,Mulher,1
Amanda Vilas Boas Oliveira,Mulher,Yasmin Solrac Ribeiro dos Santos,Mulher,1
Amanda Vilas Boas Oliveira,Mulher,Érica Pereira Machado,Mulher,1
Amanda de Oliveira Casagrande,Mulher,Caroline Reis Vieira Santos Rauta,Mulher,1
Amanda de Oliveira Casagrande,Mulher,Daniela Sbizera Justo,Mulher,1
Amanda de Oliveira Casagrande,Mulher,Rayana Prata Neves,Mulher,1
Ana Alencar,Mulher,Anna Marques,Mulher,2
Ana Alencar,Mulher,Kalinka Branco,Mulher,1
