Autor1,Gênero_Autor1,Autor2,Gênero_Autor2,Peso
Adenauer C. Yamin,Homem,Alex Braga,Homem,1
Adenauer C. Yamin,Homem,Alexandre Wolf,Homem,1
Adenauer C. Yamin,Homem,Alysson Nogueira,Homem,1
Adenauer C. Yamin,Homem,Amanda Argou,Mulher,1
Adenauer C. Yamin,Homem,Ana M. Pernas,Mulher,4
Adenauer C. Yamin,Homem,Ana Marilza Pernas,Mulher,3
Adenauer C. Yamin,Homem,Anderson Cardoso,Homem,1
Adenauer C. Yamin,Homem,Bruno Mota,Homem,1
Adenauer C. Yamin,Homem,Cláudio Geyer,Homem,3
Adenauer C. Yamin,Homem,Diórgenes Y. L. da Rosa,Homem,1
Adenauer C. Yamin,Homem,Diórgenes da Rosa,Homem,1
Adenauer C. Yamin,Homem,Douglas Scheunemann,Homem,1
Adenauer C. Yamin,Homem,Eduardo Abreu,Homem,1
Adenauer C. Yamin,Homem,Gerson Cavalheiro,Homem,2
Adenauer C. Yamin,Homem,Gerson G. H. Cavalheiro,Homem,1
Adenauer C. Yamin,Homem,Huberto Filho,Homem,1
Adenauer C. Yamin,Homem,Huberto Kaiser Filho,Homem,1
Adenauer C. Yamin,Homem,Jorge Aranda,Homem,1
Adenauer C. Yamin,Homem,Jorge Barbosa,Homem,3
Adenauer C. Yamin,Homem,João Ladislau Lopes,Homem,1
Adenauer C. Yamin,Homem,João Lopes,Homem,4
Adenauer C. Yamin,Homem,João Tavares,Homem,1
Adenauer C. Yamin,Homem,Juliano Carvalho,Homem,1
Adenauer C. Yamin,Homem,Julio Machado,Homem,1
Adenauer C. Yamin,Homem,Lucas Agostini,Homem,1
Adenauer C. Yamin,Homem,Lucas Dias,Homem,1
Adenauer C. Yamin,Homem,Lucas M. S. Xavier,Homem,2
Adenauer C. Yamin,Homem,Mauricio Tavares,Homem,1
Adenauer C. Yamin,Homem,Maurício de Azevedo,Homem,1
Adenauer C. Yamin,Homem,Patrícia Davet,Mulher,2
Adenauer C. Yamin,Homem,Renata Reiser,Mulher,2
Adenauer C. Yamin,Homem,Renato Dilli,Homem,2
Adenauer C. Yamin,Homem,Ricardo Almeida,Homem,3
Adenauer C. Yamin,Homem,Rodrigo Real,Homem,1
Adenauer C. Yamin,Homem,Rodrigo Souza,Homem,1
Adenauer C. Yamin,Homem,Roger Machado,Homem,3
Adenauer C. Yamin,Homem,Tainã Carvalho,Mulher,1
Adenauer C. Yamin,Homem,Tatiana Tavares,Mulher,1
Adenauer Correa Yamin,Homem,Ana Marilza Pernas,Mulher,1
Adenauer Correa Yamin,Homem,Diórgenes Y. L. da Rosa,Homem,1
Adenauer Correa Yamin,Homem,Lisane B. Brisolara,Mulher,1
Adenauer Correa Yamin,Homem,Lucas Medeiros Donato,Homem,1
Adenauer Correa Yamin,Homem,Ricardo Borges Almeida,Homem,1
Adenauer Correa Yamin,Homem,Roger da Silva Machado,Homem,1
Adilson Costa,Homem,Bruno Martini,Homem,1
Adilson Costa,Homem,Gilson Helfer,Homem,1
Adilson Costa,Homem,Jorge Barbosa,Homem,1
Adilson Costa,Homem,Ronaldo Santos,Homem,1
Adriano M. Souza,Homem,Carlos O. Rolim,Homem,1
Adriano M. Souza,Homem,Claudio F. R. Geyer,Homem,1
Adriano M. Souza,Homem,Guilherme A. Borges,Homem,1
Adriano M. Souza,Homem,Tatiana F. M. dos Santos,Mulher,1
Adriano M. Souza,Homem,Valderi R. Q. Leithardt,Homem,1
Alberto Vianna Dias da Silva,Homem,Vaninha Vieira,Mulher,1
Aldri Santos,Homem,Carmem Hara,Mulher,1
Aldri Santos,Homem,Katriny Zamproni,Mulher,1
Aldri Santos,Homem,Marcos Carrero,Homem,1
Aldri Santos,Homem,Martin A. Musicante,Homem,1
Alessandro Arpetti,Homem,Danilo Artigas,Homem,1
Alessandro Arpetti,Homem,Eduardo Gomes,Homem,1
Alessandro Arpetti,Homem,Izabela Mocaiber,Mulher,1
Alessandro Arpetti,Homem,Natália Melgaço Pereira Torres,Mulher,1
Alex Braga,Homem,Alysson Nogueira,Homem,1
Alex Braga,Homem,Julio Machado,Homem,1
Alex Braga,Homem,Lucas Agostini,Homem,1
Alex Braga,Homem,Tatiana Tavares,Mulher,1
Alex V. Bastos,Homem,Cristiano G. Pitangui,Homem,1
Alex V. Bastos,Homem,Cristiano M. Silva,Homem,1
