Autor1,Gênero_Autor1,Autor2,Gênero_Autor2,Peso
Esther Luna Colombini,Mulher,Rafael Anicet Zanini,Homem,1
Estêvão Bissoli Saleme,Homem,George Ghinea,Homem,1
Fabiano Oliveira,Homem,Juan P. A. Lopes,Homem,1
Fabiano Oliveira,Homem,Paulo E. D. Pinto,Homem,1
Fabrício Benevenuto,Homem,Julio C. S. Reis,Homem,1
Felipe A. Louza,Homem,Guilherme P. Telles,Homem,1
Felipe A. Louza,Homem,Simon Gog,Homem,1
Felipe de C. Pereira,Homem,Pedro J. de Rezende,Homem,1
Fernanda S. H. de Souza,Mulher,Geraldo R. Mateus,Homem,1
Fernanda S. H. de Souza,Mulher,Samuel M. A. Araújo,Homem,1
Fernando Magno Quintão Pereira,Homem,Gleison Souza Diniz Mendonça,Homem,1
Fernando Magno Quintão Pereira,Homem,Marcos Yukio Siraichi,Homem,1
Fernando Magno Quintão Pereira,Homem,Vinicius F. Santos,Homem,1
Flávio E. A. Horita,Homem,João Porto de Albuquerque,Homem,1
Flávio K. Miyazawa,Homem,Matheus J. Ota,Homem,1
Flávio K. Miyazawa,Homem,Phablo F. S. Moura,Homem,1
Flávio K. Miyazawa,Homem,Thiago A. de Queiroz,Homem,1
Flávio K. Miyazawa,Homem,Vinícius L. de Lima,Homem,1
Franklin de L. Marquezino,Homem,Matheus Guedes de Andrade,Homem,1
Fábio H. V. Martinez,Homem,Jens Stoye,Homem,1
Gabriel Ammes Pinho,Homem,Renato P. Ribas,Homem,1
Gabriel H. Nunes,Homem,Mário S. Alvim,Homem,1
Gabriel P. Oliveira,Homem,Mirella M. Moro,Mulher,1
Gabriel Siqueira,Homem,Zanoni Dias,Homem,1
Geraldo R. Mateus,Homem,Samuel M. A. Araújo,Homem,1
Gerson Zaverucha,Homem,Rodrigo Azevedo Santos,Homem,1
Guilherme P. Telles,Homem,Simon Gog,Homem,1
Helio Pedrini,Homem,Marcos Roberto e Souza,Homem,1
Hugo Sadok,Homem,Luis Henrique M. K. Costa,Homem,1
Hugo Sadok,Homem,Miguel Elias M. Campista,Homem,1
Ingrid Nunes,Mulher,Jhonny Mertz,Homem,1
Jacques Wainer,Homem,Ramon Pires,Homem,1
Janio Carlos Nascimento Silva,Homem,Luiz Satoru Ochi,Homem,1
Janio Carlos Nascimento Silva,Homem,Uéverton dos Santos Souza,Homem,1
Jayme L. Szwarcfiter,Homem,Tanilson D. Santos,Homem,1
Jayme L. Szwarcfiter,Homem,Uéverton S. Souza,Homem,1
Jean Luca Bez,Homem,Philippe O. A. Navaux,Homem,1
Jorge A. Wagner Filho,Homem,Luciana Nedel,Mulher,1
João Eduardo Montandon,Homem,Marco Túlio Valente,Homem,1
João P. M. Ferreira,Homem,Renato Martins,Homem,1
Juan P. A. Lopes,Homem,Paulo E. D. Pinto,Homem,1
Juliana Freire,Mulher,Laís M. A. Rocha,Mulher,1
Juliana Freire,Mulher,Mirella M. Moro,Mulher,1
Jônatas Wehrmann,Homem,Rodrigo C. Barros,Homem,1
Laís M. A. Rocha,Mulher,Mirella M. Moro,Mulher,1
Leandro M. Zatesko,Homem,Renato Carmo,Homem,1
Leonardo Rocha,Homem,Marcos Gonçalves,Homem,1
Lucas Correia Ribas,Homem,Odemir Martinez Bruno,Homem,1
Luciana S. Buriol,Mulher,Toni I. Wickert,Homem,1
Luciana Salete Buriol,Mulher,Luciano Paschoal Gaspary,Homem,1
Luciana Salete Buriol,Mulher,Marcelo Caggiani Luizelli,Homem,1
Luciano Paschoal Gaspary,Homem,Marcelo Caggiani Luizelli,Homem,1
Luigi Carro,Homem,Marcelo Brandalero,Homem,1
Luis Henrique M. K. Costa,Homem,Miguel Elias M. Campista,Homem,1
Luiz C. V. dos Santos,Homem,Marleson Graf,Homem,1
Luiz F. M. Vieira,Homem,Marcos A. M. Vieira,Homem,1
Luiz Filipe Menezes Vieira,Homem,Marcos Augusto Menezes Vieira,Homem,1
Luiz Satoru Ochi,Homem,Uéverton dos Santos Souza,Homem,1
Luiz Vieira,Homem,Rodolfo W. L. Coutinho,Homem,1
Lúcia Maria de A. Drummond,Mulher,Pablo Carvalho,Homem,1
Manoel Horta Ribeiro,Homem,Virgílio A. F. Almeida,Homem,1
Manoel Horta Ribeiro,Homem,Wagner Meira Jr,Homem,1
Manuel M. Oliveira Neto,Homem,Marcos H. Backes,Homem,1
Marcelo S. Porto,Homem,Wagner I. Penny,Homem,1
Marcos André Gonçalves,Homem,Raphael R. Campos,Homem,1
Marcos Yukio Siraichi,Homem,Vinicius F. Santos,Homem,1
Maria Andréia Formico Rodrigues,Mulher,Ygor Rebouças Serpa,Homem,1
Mario F. M. Campos,Homem,Michel M. Silva,Homem,1
Matheus J. Ota,Homem,Phablo F. S. Moura,Homem,1
Michael Canesche,Homem,Ricardo Ferreira,Homem,1
Murilo V. G. da Silva,Homem,Nicollas M. Sdroievski,Homem,1
Mária Andréia F. Rodrigues,Mulher,Yvens R. Serpa,Homem,1
Olga Goussevskaia,Mulher,Vinicius F. Santos,Homem,1
Paulo L. J. Drews-Jr,Homem,Ricardo B. Grando,Homem,1
Phablo F. S. Moura,Homem,Yoshiko Wakabayashi,Mulher,1
Tanilson D. Santos,Homem,Uéverton S. Souza,Homem,1
Thiago A. de Queiroz,Homem,Vinícius L. de Lima,Homem,1
Virgílio A. F. Almeida,Homem,Wagner Meira Jr,Homem,1
