Autor1,Gênero_Autor1,Autor2,Gênero_Autor2,Peso
Acacia Terra,Mulher,Braulio Mello,Homem,1
Acacia Terra,Mulher,Edimar Roque Martello Junior,Homem,1
Acacia Terra,Mulher,Ricardo Parizotto,Homem,1
Adenauer Correa Yamin,Homem,Alexandre Renato Rodrigues de Souza,Homem,1
Adenauer Correa Yamin,Homem,Bruno Mota,Homem,1
Adenauer Correa Yamin,Homem,Cláudio Machado Diniz,Homem,1
Adenauer Correa Yamin,Homem,Eduardo Maroñas Monks,Homem,1
Adenauer Correa Yamin,Homem,Fabrício Neitzke Ferreira,Homem,1
Adenauer Correa Yamin,Homem,Guilherme Bayer Scheneider,Homem,1
Adenauer Correa Yamin,Homem,Helida Santos,Mulher,1
Adenauer Correa Yamin,Homem,Leonardo Costa Reichow,Homem,1
Adenauer Correa Yamin,Homem,Mateus Parker Porto,Homem,1
Adenauer Correa Yamin,Homem,Renata Hax Sander Reiser,Mulher,2
Adenauer Correa Yamin,Homem,Rodrigo Blanke Lambrecht,Homem,1
Adenauer Yamin,Homem,Alexandra Zimpeck,Mulher,1
Adenauer Yamin,Homem,Alexandre Souza,Homem,1
Adenauer Yamin,Homem,Ana Marilza Pernas,Mulher,3
Adenauer Yamin,Homem,Ana Pernas,Mulher,1
Adenauer Yamin,Homem,Cleber S. Peter,Homem,1
Adenauer Yamin,Homem,Felipe Haertel,Homem,1
Adenauer Yamin,Homem,Felipe Marques,Homem,1
Adenauer Yamin,Homem,Franklin Barcellos,Homem,1
Adenauer Yamin,Homem,Jorge Barbosa,Homem,2
Adenauer Yamin,Homem,João Lopes,Homem,2
Adenauer Yamin,Homem,Leandro Camargo,Homem,3
Adenauer Yamin,Homem,Lucas Penning,Homem,1
Adenauer Yamin,Homem,Patrick Fernandes,Homem,1
Adenauer Yamin,Homem,Renata Reiser,Mulher,1
Adenauer Yamin,Homem,Renato Dilli,Homem,1
Adenauer Yamin,Homem,Rodrigo Lambrecht,Homem,1
Adenauer Yamin,Homem,Roger Machado,Homem,2
Adenauer Yamin,Homem,Rogério Albandes,Homem,3
Adiel de Almeida Filho,Homem,Diogo Lima Silva,Homem,1
Adiel de Almeida Filho,Homem,Julio Cezar Silva,Homem,1
Adriano Fiorese,Homem,Kauã B. Hopfer,Homem,1
Adrisson Rodrigues,Homem,João Marcos Cavalcanti,Homem,1
Adrisson Rodrigues,Homem,Marcela Pessoa,Mulher,1
Adrisson Rodrigues,Homem,Robson Melo,Homem,1
Adrisson Rodrigues,Homem,Sergio Cleger,Homem,1
Alan Fernandes,Homem,Bruna Soares,Mulher,1
Alan Fernandes,Homem,Bruno Matias,Homem,1
Alan Fernandes,Homem,Everton Cavalcante,Homem,2
Alan Fernandes,Homem,Felipe Rocha,Homem,2
Alan Fernandes,Homem,José Gameleira Neto,Homem,1
Alan Fernandes,Homem,Luís Felipe Santos,Homem,1
Alan Fernandes,Homem,Oswaldo de Oliveira,Homem,1
Alan Fernandes,Homem,Sâmela Ferreira,Mulher,1
Alan Fernandes,Homem,Thais Batista,Mulher,2
Alan Salvany Felinto,Homem,Rafael Lucien Bahr Arias,Homem,1
Alana V. B. S. Neo,Mulher,Arthur C. Correia,Homem,1
Alana V. B. S. Neo,Mulher,Evandro C. Barros,Homem,1
Alana V. B. S. Neo,Mulher,Giseldo S. Neo,Homem,1
Alana V. B. S. Neo,Mulher,Wanderson R. M. Rodrigues,Homem,1
Alberto H. F. Laender,Homem,João M. M. C. Cota,Homem,1
Alberto H. F. Laender,Homem,Raquel O. Prates,Mulher,1
Alejandro Pereira,Homem,Carlos Santos,Homem,1
Alejandro Pereira,Homem,Daniel Welfer,Homem,1
Alejandro Pereira,Homem,Marcelo Dias,Homem,1
Alejandro Pereira,Homem,Marcelo Ribeiro,Homem,1
Alejandro Pereira,Homem,Marilton Aguiar,Homem,1
Alexandra Zimpeck,Mulher,Cleber S. Peter,Homem,1
Alexandra Zimpeck,Mulher,Felipe Marques,Homem,1
Alexandra Zimpeck,Mulher,Jorge Barbosa,Homem,1
Alexandra Zimpeck,Mulher,Lucas Penning,Homem,1
Alexandre Neves Louzada,Homem,Flávia Maria Santoro,Mulher,1
Alexandre Neves Louzada,Homem,Jonice Oliveira,Mulher,1
Alexandre Neves Louzada,Homem,Luiz Paulo Carvalho,Homem,1
Alexandre Neves Louzada,Homem,Michele A. Brandão,Mulher,1
Alexandre Neves Louzada,Homem,Thais Batista,Mulher,1
Alexandre Renato Rodrigues de Souza,Homem,Fabrício Neitzke Ferreira,Homem,1
Alexandre Renato Rodrigues de Souza,Homem,Leonardo Costa Reichow,Homem,1
Alexandre Renato Rodrigues de Souza,Homem,Renata Hax Sander Reiser,Mulher,1
Alexandre Renato Rodrigues de Souza,Homem,Rodrigo Blanke Lambrecht,Homem,1
Alexandre Souza,Homem,Franklin Barcellos,Homem,1
Alexandre Souza,Homem,Rodrigo Lambrecht,Homem,1
Alexandre Souza,Homem,Rogério Albandes,Homem,1
Alison Vinicius,Homem,Eduardo Tavares,Homem,1
Alison Vinicius,Homem,Gustavo Callou,Homem,1
Alison Vinicius,Homem,Thiago Valentim,Homem,1
Alison da Silva,Homem,Gustavo Callou,Homem,1
Alison da Silva,Homem,Jamilson Dantas,Homem,1
Alison da Silva,Homem,Thiago Valentim,Homem,1
Aluizio Haendchen Filho,Homem,Anita Fernandes,Mulher,1
Aluizio Haendchen Filho,Homem,Jonathan Nau,Homem,1
Aluizio Haendchen Filho,Homem,Rudimar Luís Scaranto Dazzi,Homem,1
Aluízio Rocha Neto,Homem,André Solino,Homem,1
Aluízio Rocha Neto,Homem,Everton Cavalcante,Homem,1
Aluízio Rocha Neto,Homem,Jorge Pereira,Homem,1
Aluízio Rocha Neto,Homem,João Victor Lopes,Homem,1
Aluízio Rocha Neto,Homem,Thais Batista,Mulher,1
Ana Beatriz Alvarez,Mulher,Eder Silva dos Santos Júnior,Homem,1
Ana Beatriz Alvarez,Mulher,Roger Fredy Larico Chavez,Homem,1
Ana Beatriz Alvarez,Mulher,Salomão Machado Mafalda,Homem,1
Ana Marilza Pernas,Mulher,João Lopes,Homem,1
Ana Marilza Pernas,Mulher,Leandro Camargo,Homem,2
Ana Marilza Pernas,Mulher,Roger Machado,Homem,1
Ana Marilza Pernas,Mulher,Rogério Albandes,Homem,1
Ana Pernas,Mulher,Felipe Haertel,Homem,1
Ana Pernas,Mulher,Jorge Barbosa,Homem,1
Ana Pernas,Mulher,João Lopes,Homem,1
Ana Pernas,Mulher,Leandro Camargo,Homem,1
Anderson F. B. F. da Costa,Homem,Ruan Delgado Gomes,Homem,1
Anderson F. B. F. da Costa,Homem,Zenildo Cézar,Homem,1
Anderson Y. Iwasaki,Homem,Elisa Yumi Nakagawa,Mulher,1
Anderson Y. Iwasaki,Homem,João Paulo K. S. Nunes,Homem,1
Anderson Y. Iwasaki,Homem,Thiago Bianchi,Homem,1
Andreia Gentil Bonfante,Mulher,Claudia Aparecida Martins,Mulher,1
Andreia Gentil Bonfante,Mulher,Henrique Camacho Farias,Homem,1
André Ferraz,Homem,Carlos Ferraz,Homem,1
André Luiz de O. Cezário,Homem,Dayvson Sales,Homem,1
André Luiz de O. Cezário,Homem,Fábio J. Coutinho,Homem,1
André Luiz de O. Cezário,Homem,John Davi D. C. Pires,Homem,1
André Luiz de O. Cezário,Homem,Rebeca de Jesus Brandão,Mulher,1
André Luiz de O. Cezário,Homem,Samuel Lucas V. L. Barbosa,Homem,1
André Luiz de O. Cezário,Homem,Victor Accete,Homem,1
André Luiz de O. Cezário,Homem,Wagner Fontes,Homem,1
André Oliveira,Homem,Fernanda Campos,Mulher,1
André Oliveira,Homem,Lucas Bressan,Homem,1
André Oliveira,Homem,Regina Braga,Mulher,1
André Pinheiro,Homem,Cleidson Souza,Homem,1
André Pinheiro,Homem,Fernando Figueira Filho,Homem,1
André Pinheiro,Homem,Leandro de Almeida Melo,Homem,1
André Pinheiro,Homem,Nelson Tenório Jr.,Homem,1
André Solino,Homem,Everton Cavalcante,Homem,1
André Solino,Homem,Jorge Pereira,Homem,1
André Solino,Homem,João Victor Lopes,Homem,1
André Solino,Homem,Thais Batista,Mulher,1
Andréia Antloga,Mulher,Denis Rosário,Homem,1
Andréia Antloga,Mulher,Eduardo Cerqueira,Homem,1
Andréia Antloga,Mulher,Elen Lobato,Mulher,1
Andréia Antloga,Mulher,Jean Moraes,Homem,1
Andréia Antloga,Mulher,Maria Tostes,Mulher,1
Andréia Antloga,Mulher,Ubiratan Bezerra,Homem,1
Anita Fernandes,Mulher,Jonathan Nau,Homem,1
Anita Fernandes,Mulher,Rudimar Luís Scaranto Dazzi,Homem,1
Antonilson Alcantara,Homem,Cleidson Souza,Homem,1
Antonilson Alcantara,Homem,Emanuel Rodrigues,Homem,1
Antonilson Alcantara,Homem,Filipe Coelho,Homem,1
Antonio Brasil,Homem,Jefferson Andrade,Homem,1
Antonio Brasil,Homem,Karin Komati,Mulher,1
Antonio Brasil,Homem,Luiz Pinto,Homem,1
Antonio C. Oliveira Jr,Homem,Daniel S. Souza,Homem,1
Antonio C. Oliveira Jr,Homem,Diego L. Cardoso,Homem,1
Antonio C. Oliveira Jr,Homem,Igor W. A. Falcão,Homem,1
Antonio C. Oliveira Jr,Homem,Marcos C. R. Seruffo,Homem,1
Antonio C. Oliveira Jr,Homem,Paulo H. A. Pereira,Homem,1
Antonio C. Oliveira Jr,Homem,Rafael F. Vieira,Homem,1
Antonio L. Amadeu,Homem,Eduardo M. Pereira,Homem,1
Antonio L. Amadeu,Homem,Fernando Vinturin,Homem,1
Antonio L. Amadeu,Homem,Guilherme A. Zimeo Morais,Homem,1
Antonio L. Amadeu,Homem,Maickel Hubner,Homem,1
Antonio L. Amadeu,Homem,Marcelo Santos,Homem,1
Antônio Pereira,Homem,Luiz C. Ferreira,Homem,1
Antônio Pereira,Homem,Marcelino S. da Silva,Homem,1
Antônio Pereira,Homem,Rodrigo Dutra,Homem,1
Antônio Pereira,Homem,Vitor Hugo M. Gomes,Homem,1
Antônio Pereira,Homem,Weverson Nascimento,Homem,1
Arilo C. Dias-Neto,Homem,Daniel Fernandes,Homem,1
Arilo C. Dias-Neto,Homem,Kaio Wagner,Homem,1
Arnaldo V. Barros da Silva,Homem,Luis F. Alves Pereira,Homem,1
Aron Miranda Henrique-Alves,Homem,Helton Maia,Homem,1
Aron Miranda Henrique-Alves,Homem,John Victor Alves Luiz,Homem,1
Aron Miranda Henrique-Alves,Homem,Richardson Santiago Teles de Menezes,Homem,1
Aron Miranda Henrique-Alves,Homem,Rossana Moreno Santa Cruz,Mulher,1
Arthur Artoni,Homem,Bruno Oliveira,Homem,1
Arthur C. Correia,Homem,Evandro C. Barros,Homem,1
Arthur C. Correia,Homem,Giseldo S. Neo,Homem,1
Arthur C. Correia,Homem,Wanderson R. M. Rodrigues,Homem,1
Beatriz A. Rodrigues,Mulher,Eduardo F. Nakamura,Homem,1
Beatriz A. Rodrigues,Mulher,Fabiola F. Nakamura,Mulher,1
Beatriz M. A. Matsui,Mulher,Denise Goya,Mulher,1
Beatriz M. A. Matsui,Mulher,Sara B. O. G. Carturan,Mulher,1
Bianca M. Lopes,Mulher,Júlio C. S. Mendes,Homem,1
Bianca M. Lopes,Mulher,Karina M. Johansson,Mulher,1
Bianca M. Lopes,Mulher,Livy Real,Mulher,1
Bianca M. Lopes,Mulher,Márcio T. I. Oshiro,Homem,1
Braulio Adriano de Mello,Homem,Ricardo Parizotto,Homem,1
Braulio Mello,Homem,Edimar Roque Martello Junior,Homem,1
Braulio Mello,Homem,Ricardo Parizotto,Homem,2
Brendo Cavalcante,Homem,Bruno Gadelha,Homem,1
Brendo Cavalcante,Homem,João Gustavo Kienen,Homem,1
Brendo Cavalcante,Homem,Julia Luiza da Conceição,Mulher,1
Brendo Cavalcante,Homem,Rosiane Freitas,Mulher,1
Brendo Cavalcante,Homem,Sérgio Anders,Homem,1
Bruna M. Dalmoro,Mulher,Soraia R. Musse,Mulher,1
Bruna Soares,Mulher,Bruno Matias,Homem,1
Bruna Soares,Mulher,Everton Cavalcante,Homem,1
Bruna Soares,Mulher,Felipe Rocha,Homem,1
Bruna Soares,Mulher,Oswaldo de Oliveira,Homem,1
Bruna Soares,Mulher,Sâmela Ferreira,Mulher,1
Bruna Soares,Mulher,Thais Batista,Mulher,1
Bruno Gadelha,Homem,João Gustavo Kienen,Homem,1
Bruno Gadelha,Homem,Julia Luiza da Conceição,Mulher,1
Bruno Gadelha,Homem,Rosiane Freitas,Mulher,1
