Autor1,Gênero_Autor1,Autor2,Gênero_Autor2,Peso
Andre Aquino,Homem,Hyuri Maciel,Homem,1
Andre Aquino,Homem,Maurício Silva,Homem,1
Andre Aquino,Homem,Osvaldo A. Rosso,Homem,1
Andre Aquino,Homem,Ricardo Oliveira,Homem,1
Andre L. L. Aquino,Homem,Arthur M. A. Melo,Homem,1
Andre L. L. Aquino,Homem,Charles M. P. Almeida,Homem,1
Andre L. L. Aquino,Homem,Cristopher Freitas,Homem,1
Andre L. L. Aquino,Homem,Eliana Almeida,Mulher,1
Andre L. L. Aquino,Homem,Heitor S. Ramos,Homem,1
Andre L. L. Aquino,Homem,Igor H. D. Fontes,Homem,1
Andre L. L. Aquino,Homem,Israel L. C. Vasconcelos,Homem,1
Andre L. L. Aquino,Homem,Marcelo O. Souza,Homem,1
Andre L. L. Aquino,Homem,Osvaldo A. Rosso,Homem,1
Andre L. L. Aquino,Homem,Pedro H. Barros,Homem,1
Andre L. L. Aquino,Homem,Raquel S. Cabral,Mulher,2
André Riker,Homem,Denis Rosário,Homem,1
André Riker,Homem,Renato Mota,Homem,1
Andréia Antloga,Mulher,Denis Rosário,Homem,1
Andréia Antloga,Mulher,Eduardo Cerqueira,Homem,1
Andréia Antloga,Mulher,Felipe Araújo,Homem,1
Andréia Antloga,Mulher,Iago Medeiros,Homem,1
Andréia Antloga,Mulher,Maria Tostes,Mulher,1
Andréia Antloga,Mulher,Stefany Pinheiro,Mulher,1
Andréia Antloga,Mulher,Ubiratan Bezerra,Homem,1
Antonio A. F. Loureiro,Homem,Fabrício A. Silva,Homem,2
Antonio A. F. Loureiro,Homem,Germano B. dos Santos,Homem,1
Antonio A. F. Loureiro,Homem,Leonardo J. A. S. Figueiredo,Homem,1
Antonio A. F. Loureiro,Homem,Luiz H. A. Correia,Homem,1
Antonio A. F. Loureiro,Homem,Raissa P. P. M. Souza,Mulher,1
Antonio A. F. Loureiro,Homem,Thais R. M. B. Silva,Mulher,2
Antônio Abelém,Homem,Denis Rosário,Homem,1
Antônio Abelém,Homem,Lucas B. Oliveira,Homem,1
Antônio Alberti,Homem,Cristiano A. da Costa,Homem,1
Antônio Alberti,Homem,Emiliano S. Monteiro,Homem,1
Antônio Alberti,Homem,Karine Costa,Mulher,1
Antônio Alberti,Homem,Maria Eloisa Mignoni,Mulher,1
Antônio Alberti,Homem,Rafael Kunst,Homem,1
Antônio Alberti,Homem,Rodrigo R. Righi,Homem,1
Antônio Alberti,Homem,Tibério Rezende,Homem,1
Antônio Alberti,Homem,Victor D'Ávila,Homem,1
Antônio Rodrigues,Homem,Artur Veloso,Homem,1
Antônio Rodrigues,Homem,Halysson Júnior,Homem,1
Antônio Rodrigues,Homem,Joel Rodrigues,Homem,1
Antônio Rodrigues,Homem,José Sobral,Homem,1
Antônio Rodrigues,Homem,Ricardo Rabêlo,Homem,1
Arthur M. A. Melo,Homem,Igor H. D. Fontes,Homem,1
Arthur Melo,Homem,Hugo Souza,Homem,1
Arthur Souza,Homem,Dannylo Johnathan,Homem,1
Arthur Souza,Homem,Mário Melo,Homem,1
Arthur Souza,Homem,Rafael Queiroz,Homem,1
Artur Veloso,Homem,Halysson Júnior,Homem,1
Artur Veloso,Homem,Joel Rodrigues,Homem,1
Artur Veloso,Homem,José Sobral,Homem,1
Artur Veloso,Homem,Ricardo Rabêlo,Homem,1
Augusto Neto,Homem,Denis Rosário,Homem,1
Augusto Neto,Homem,Eduardo Cerqueira,Homem,1
Augusto Neto,Homem,Eduardo Grampín,Homem,1
Augusto Neto,Homem,Eduardo Nogueira,Homem,1
Augusto Neto,Homem,Erika Rosas,Mulher,1
Augusto Neto,Homem,Helder Oliveira,Homem,1
Augusto Neto,Homem,Hugo Santos,Homem,1
Augusto Neto,Homem,Javier Baliosian,Homem,1
Augusto Neto,Homem,Leonardo Marques,Homem,1
Augusto Neto,Homem,Martín Gutiérrez,Homem,1
Augusto Neto,Homem,Nicolás Hidalgo,Homem,1
Augusto Neto,Homem,Paulo Eugênio,Homem,1
Augusto Neto,Homem,Paulo R. Coelho,Homem,1
Augusto Neto,Homem,Rafael Pasquini,Homem,1
Augusto Neto,Homem,Rodrigo S. Miani,Homem,1
Augusto Venâncio Neto,Homem,Denis Rosário,Homem,1
Augusto Venâncio Neto,Homem,Eduardo Cerqueira,Homem,1
Augusto Venâncio Neto,Homem,Wanderson Modesto,Homem,1
Brena Santos,Mulher,Francisco Airton Silva,Homem,1
Brena Santos,Mulher,Lucas Santos,Homem,1
Bruna M. O. S. Cordeiro,Mulher,Fábio M. Costa,Homem,1
Bruna M. O. S. Cordeiro,Mulher,Roberto Rodrigues Filho,Homem,1
Bruno Martini,Homem,Gilson Helfer,Homem,1
Bruno Martini,Homem,Jorge Barbosa,Homem,1
Bruno Martini,Homem,Reginaldo Santos,Homem,1
Bruno Mota,Homem,Jorge Barbosa,Homem,1
Bruno Mota,Homem,João Tavares,Homem,1
Bruno Mota,Homem,Rodrigo Real,Homem,1
Bruno Silvestre,Homem,Eliseu Germano,Homem,1
Bruno Silvestre,Homem,Sergio Carvalho,Homem,1
Carina Oliveira,Mulher,Daniel Victor Saraiva,Homem,1
Carina Oliveira,Mulher,Lindemberg Nascimento,Homem,1
Carina Oliveira,Mulher,Reinaldo B. Braga,Homem,1
Carina Oliveira,Mulher,Renato Alves,Homem,1
Carlos A. G. Ferraz,Homem,David C. P. da Cunha,Homem,1
Carlos A. G. Ferraz,Homem,José C. F. M. Júnior,Homem,1
Carlos Figueiredo,Homem,Lahis Almeida,Mulher,1
Carlos Figueiredo,Homem,Wilson Neto,Homem,2
Carlos Maurício Seródio Figueiredo,Homem,Luiz Carlos Silva de Araújo Filho,Homem,1
Carlos Storck,Homem,Efrem Lousada,Homem,2
Carlos Storck,Homem,Fátima Duarte-Figueiredo,Mulher,2
Carlos Storck,Homem,Guilherme Silva,Homem,1
Carlos Storck,Homem,Raquel Mini,Mulher,2
